"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,강남구,"566,379","566,217",99.9,…,…,0...,"126,642"
1994,강남구,"572,311","571,739",99.9,…,…,0...,"127,984"
1995,강남구,"559,032","551,532",98.7,…,…,0...,"128,851"
1996,강남구,"557,533","550,033",98.7,…,…,0...,"131,732"
1997,강남구,"555,355","555,355",100,…,…,0...,"133,393"
1998,강남구,"554,858","554,858",100,…,…,…,"124,427"
1999,강남구,"557,257","557,257",100,…,…,…,"123,563"
2000,강남구,"555,493","555,493",100,…,"265,679.5826",373,"122,222"
2001,강남구,"546,038","546,038",100,…,…,…,"119,458"
2002,강남구,"540,813","540,813",100,…,…,0...,"123,520"
2003,강남구,"536,031","536,031",100,…,…,0...,"121,181"
2004,강남구,"539,333","539,333",100,…,…,0...,0...
2005,강남구,"547,775","547,775",100,…,…,…,"120,293"
2006,강남구,"564,658","564,658",100,…,"259,468",460,"119,515"
2007,강남구,"569,176","569,176",100,…,"248,046",436,"119,150"
2008,강남구,"565,624","565,624",100,-,"247,575",438,"118,792"
2009,강남구,"569,499","569,499",100,-,"242,809",426,"119,111"
2010,강남구,"577,070","577,070",100,-,"241,303",418,"116,643"
2011,강남구,"573,003","573,003",100,-,"169,060",295,"118,621"
2012,강남구,"569,997","569,997",100,-,"230,405",404,"119,063"
2013,강남구,"569,152","569,152",100,-,"231,740",407,"122,159"
2014,강남구,"583,446","583,446",100,-,"232,856",399,"123,054"
2015,강남구,"581,760","581,760",100,-,"220,225",379,"120,590"
2016,강남구,"572,140","572,140",100,-,"230,052",402,"121,005"
2017,강남구,"561,052","561,052",100,-,"224,705",401,"120,001"
2018,강남구,"547,453","547,453",100,-,"212,202",388,"114,998"
2019,강남구,"550,209","550,209",100,-,"206,204",375,"117,039"
