"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,동대문구,"459,000","459,000",100,…,…,0...,"67,791"
1994,동대문구,"443,027","443,027",100,…,…,0...,"67,631"
1995,동대문구,"420,069","420,069",100,…,…,0...,"67,305"
1996,동대문구,"399,280","399,280",100,…,…,0...,"66,356"
1997,동대문구,"389,281","389,281",100,…,…,0...,"68,076"
1998,동대문구,"378,953","378,953",100,…,…,…,"68,148"
1999,동대문구,"368,368","368,368",100,…,…,…,"66,671"
2000,동대문구,"382,122","382,122",100,…,"161,450.973",373,"64,997"
2001,동대문구,"383,822","383,822",100,…,…,…,"63,807"
2002,동대문구,"384,356","384,356",100,…,…,0...,"79,225"
2003,동대문구,"386,814","386,814",100,…,…,0...,"66,479"
2004,동대문구,"383,896","383,896",100,…,…,0...,0...
2005,동대문구,"386,280","386,280",100,…,…,…,"66,815"
2006,동대문구,"385,712","385,712",100,…,"120,229",312,"66,560"
2007,동대문구,"385,825","385,825",100,…,"115,397",299,"65,724"
2008,동대문구,"381,663","381,663",100,-,"117,368",307,"64,476"
2009,동대문구,"374,277","374,277",100,-,"114,753",307,"62,913"
2010,동대문구,"379,343","379,343",100,-,"118,405",312,"60,585"
2011,동대문구,"378,534","378,534",100,-,"111,605",289,"63,224"
2012,동대문구,"375,683","375,683",100,-,"116,572",310,"64,024"
2013,동대문구,"376,445","376,445",100,-,"113,530",302,"65,169"
2014,동대문구,"376,319","376,319",100,-,"113,008",300,"66,366"
2015,동대문구,"373,824","373,824",100,-,"114,986",308,"66,153"
2016,동대문구,"370,312","370,312",100,-,"106,952",289,"67,499"
2017,동대문구,"366,011","366,011",100,-,"116,839",319,"67,894"
2018,동대문구,"364,338","364,338",100,-,"116,839",321,"68,688"
2019,동대문구,"363,023","363,023",100,-,"105,324",290,"68,176"
