"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,서대문구,"381,905","381,905",100,…,…,0...,"62,118"
1994,서대문구,"374,662","374,662",100,…,…,0...,"64,729"
1995,서대문구,"371,449","371,449",100,…,…,0...,"67,214"
1996,서대문구,"366,134","366,134",100,…,…,0...,"67,077"
1997,서대문구,"358,995","358,995",100,…,…,0...,"70,752"
1998,서대문구,"366,726","366,726",100,…,…,…,"67,481"
1999,서대문구,"371,240","371,240",100,…,…,…,"67,938"
2000,서대문구,"373,105","373,105",100,…,"143,713.2556",373,"68,234"
2001,서대문구,"371,316","371,316",100,…,…,…,"69,160"
2002,서대문구,"368,001","368,001",100,…,…,0...,"72,927"
2003,서대문구,"361,754","361,754",100,…,…,0...,"74,404"
2004,서대문구,"358,186","358,186",100,…,…,0...,0...
2005,서대문구,"355,934","355,934",100,…,…,…,"73,711"
2006,서대문구,"356,652","356,652",100,…,"119,988",336,"72,643"
2007,서대문구,"357,174","357,174",100,…,"111,939",313,"72,844"
2008,서대문구,"340,731","340,731",100,-,"104,934",308,"69,782"
2009,서대문구,"336,649","336,649",100,-,"111,397",331,"69,154"
2010,서대문구,"333,871","333,871",100,-,"97,585",292,"66,912"
2011,서대문구,"324,529","324,529",100,-,"101,774",344,"68,572"
2012,서대문구,"324,733","324,733",100,-,"101,348",312,"74,461"
2013,서대문구,"324,067","324,067",100,-,"97,666",301,"70,946"
2014,서대문구,"320,861","320,861",100,-,"96,047",299,"72,481"
2015,서대문구,"323,105","323,105",100,-,"96,552",299,"71,949"
2016,서대문구,"325,871","325,871",100,-,"93,619",287,"72,335"
2017,서대문구,"325,028","325,028",100,-,"98,616",303,"71,550"
2018,서대문구,"323,080","323,080",100,-,"100,628",311,"72,849"
2019,서대문구,"323,171","323,171",100,-,"103,273",320,"74,031"
