"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,성동구,"767,976","767,976",100,…,…,0...,"101,999"
1994,성동구,"753,072","753,072",100,…,…,0...,"102,083"
1995,성동구,"342,648","342,648",100,…,…,0...,"50,344"
1996,성동구,"331,206","331,206",100,…,…,0...,"53,364"
1997,성동구,"326,026","326,026",100,…,…,0...,"54,961"
1998,성동구,"323,230","323,230",100,…,…,…,"54,416"
1999,성동구,"340,704","340,704",100,…,…,…,"54,130"
2000,성동구,"342,508","342,508",100,…,"128,887.4914",376,"53,135"
2001,성동구,"343,471","343,471",100,…,…,…,"52,628"
2002,성동구,"343,018","343,018",100,…,…,0...,"69,726"
2003,성동구,"343,929","343,929",100,…,…,0...,"54,554"
2004,성동구,"343,992","343,992",100,…,…,0...,0...
2005,성동구,"342,691","342,691",100,…,…,…,"54,217"
2006,성동구,"340,895","340,895",100,…,"117,002",343,"54,317"
2007,성동구,"341,620","341,620",100,…,"106,373",311,"53,718"
2008,성동구,"322,679","322,679",100,-,"103,388",320,"49,897"
2009,성동구,"316,064","316,064",100,-,"99,712",315,"48,853"
2010,성동구,"316,892","316,892",100,-,"91,354",288,"46,662"
2011,성동구,"308,767","308,767",100,-,"134,812",281,"47,132"
2012,성동구,"306,868","306,868",100,-,"84,403",275,"46,624"
2013,성동구,"306,571","306,571",100,-,"84,306",275,"46,631"
2014,성동구,"303,891","303,891",100,-,"82,036",270,"47,483"
2015,성동구,"305,065","305,065",100,-,"85,600",281,"46,442"
2016,성동구,"307,161","307,161",100,-,"168,037",547,"47,116"
2017,성동구,"312,711","312,711",100,-,"84,498",270,"47,053"
2018,성동구,"316,463","316,463",100,-,"58,065",183,"47,942"
2019,성동구,"308,979","308,979",100,-,"92,985",301,"48,296"
