"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,송파구,"685,260","685,260",100,…,…,0...,"123,202"
1994,송파구,"680,067","680,067",100,…,…,0...,"125,351"
1995,송파구,"669,042","669,042",100,…,…,0...,"126,846"
1996,송파구,"671,560","671,560",100,…,…,0...,"131,553"
1997,송파구,"677,214","677,214",-,…,…,0...,"137,204"
1998,송파구,"671,406","671,406",100,…,…,…,"126,133"
1999,송파구,"668,421","668,421",100,…,…,…,"125,742"
2000,송파구,"665,644","665,644",100,…,"215,692.0492",373,"125,798"
2001,송파구,"658,242","658,242",100,…,…,…,"122,566"
2002,송파구,"649,888","649,888",100,…,…,0...,"128,699"
2003,송파구,"623,267","623,267",100,…,…,0...,"125,245"
2004,송파구,"608,439","608,439",100,…,…,0...,0...
2005,송파구,"610,023","610,023",100,…,…,…,"121,498"
2006,송파구,"612,527","612,527",100,…,"190,440",311,"122,601"
2007,송파구,"630,691","630,691",100,…,"192,660",305,"123,602"
2008,송파구,"676,580","676,580",100,-,"227,074",336,"123,713"
2009,송파구,"689,296","689,296",100,-,"200,271",291,"124,079"
2010,송파구,"693,144","693,144",100,-,"200,397",289,"123,107"
2011,송파구,"690,466","690,466",100,-,"200,838",291,"128,579"
2012,송파구,"680,150","680,150",100,-,"220,351",324,"128,203"
2013,송파구,"674,955","674,955",100,-,"188,914",280,"129,362"
2014,송파구,"671,794","671,794",100,-,"190,517",284,"131,707"
2015,송파구,"667,480","667,480",100,-,"193,121",289,"133,476"
2016,송파구,"664,946","664,946",100,-,"193,773",291,"135,741"
2017,송파구,"671,173","671,173",100,-,"199,875",298,"138,304"
2018,송파구,"673,507","673,507",100,-,"201,563",299,"141,329"
2019,송파구,"682,741","682,741",100,-,"230,804",338,"140,449"
