"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,영등포구,"445,221","445,221",100,…,…,0...,"58,962"
1994,영등포구,"433,512","433,512",100,…,…,0...,"59,384"
1995,영등포구,"417,914","417,914",100,…,…,0...,"61,047"
1996,영등포구,"408,087","408,087",100,…,…,0...,"61,187"
1997,영등포구,"406,841","406,841",100,…,…,0...,"66,331"
1998,영등포구,"406,019","406,019",100,…,…,…,"62,809"
1999,영등포구,"407,176","407,176",100,…,…,…,"61,773"
2000,영등포구,"409,399","409,399",100,…,"151,088.7237",373,"61,404"
2001,영등포구,"409,920","409,920",100,…,…,…,"62,156"
2002,영등포구,"412,152","412,152",100,…,…,0...,"35,442"
2003,영등포구,"410,952","410,952",100,…,…,0...,"63,476"
2004,영등포구,"415,889","415,889",100,…,…,0...,0...
2005,영등포구,"421,327","421,327",100,…,…,…,"63,504"
2006,영등포구,"429,816","429,816",100,…,"143,784",335,"63,389"
2007,영등포구,"439,151","439,151",100,…,"144,126",328,"63,357"
2008,영등포구,"443,537","443,537",100,-,"143,961",325,"63,681"
2009,영등포구,"441,747","441,747",100,-,"142,000",321,"62,930"
2010,영등포구,"445,648","445,648",100,-,"139,584",313,"60,011"
2011,영등포구,"439,555","439,555",100,-,"139,090",316,"63,017"
2012,영등포구,"426,876","426,876",100,-,"135,680",318,"62,080"
2013,영등포구,"421,577","421,577",100,-,"113,367",269,"64,155"
2014,영등포구,"421,436","421,436",100,-,"134,960",320,"64,919"
2015,영등포구,"417,811","417,811",100,-,"133,319",319,"66,339"
2016,영등포구,"406,779","406,779",100,-,"139,820",344,"66,625"
2017,영등포구,"402,024","402,024",100,-,"132,795",330,"66,584"
2018,영등포구,"403,600","403,600",100,-,"135,934",337,"69,988"
2019,영등포구,"400,986","400,986",100,-,"123,681",308,"70,690"
