"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,용산구,"276,439","276,439",100,…,…,0...,"43,348"
1994,용산구,"268,689","268,689",100,…,…,0...,"44,028"
1995,용산구,"260,993","260,993",100,…,…,0...,"43,926"
1996,용산구,"255,024","255,024",100,…,…,0...,"44,819"
1997,용산구,"245,683","245,683",100,…,…,0...,"45,437"
1998,용산구,"246,613","246,613",100,…,…,…,"46,040"
1999,용산구,"245,716","245,716",100,…,…,…,"46,161"
2000,용산구,"248,794","248,794",100,…,"136,973.7797",551,"45,161"
2001,용산구,"250,550","250,550",100,…,…,…,"45,441"
2002,용산구,"245,218","245,218",100,…,…,0...,"47,181"
2003,용산구,"240,723","240,723",100,…,…,0...,"48,482"
2004,용산구,"239,070","239,070",100,…,…,0...,0...
2005,용산구,"240,077","240,077",100,…,…,…,"48,816"
2006,용산구,"243,033","243,033",100,…,"103,300",425,"48,934"
2007,용산구,"248,362","248,362",100,…,"99,510",401,"49,903"
2008,용산구,"251,043","251,043",100,-,"97,268",387,"50,426"
2009,용산구,"251,200","251,200",100,-,"94,929",378,"50,678"
2010,용산구,"257,143","257,143",100,-,"101,371",394,"48,467"
2011,용산구,"259,288","259,288",100,-,"96,963",374,"51,121"
2012,용산구,"255,294","255,294",100,-,"98,169",385,"51,678"
2013,용산구,"251,925","251,925",100,-,"93,057",369,"52,207"
2014,용산구,"249,914","249,914",100,-,"87,946",352,"52,663"
2015,용산구,"247,909","247,909",100,-,"85,541",345,"52,783"
2016,용산구,"245,102","245,102",100,-,"80,595",329,"53,446"
2017,용산구,"244,444","244,444",100,-,"85,745",351,"54,328"
2018,용산구,"245,090","245,090",100,-,"89,148",364,"54,650"
2019,용산구,"245,185","245,185",100,-,"83,020",339,"55,551"
