Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,노원구,"35,460,000","12,149,961",-,-,-,"11,759,961","1,216,713","4,038,892","6,504,357","390,000","570,000","570,000",-,-,-,-,-,"22,740,039",-,-,"22,740,039",,,
2004,노원구,"35,456,884","12,163,367","13,390","13,390",-,"11,760,920","1,216,812","4,039,244","6,504,864","389,057","569,744","569,744",-,-,-,-,-,"22,723,773",-,-,"22,723,773",,,
2005,노원구,"35,460,000","12,254,039",-,-,-,"11,862,830","1,262,365","4,096,032","6,504,434","391,209","569,744","569,744",-,-,-,-,-,"22,636,217",-,-,"22,636,217",,,
2006,노원구,"35,460,000","12,403,595","13,390","13,390",-,"11,997,964","1,352,766","4,139,942","6,505,256","392,241","568,760","568,760",-,-,-,-,-,"22,487,645",-,-,"22,487,645",,,
2007,노원구,"35,460,000","12,482,696","92,491","13,390","79,101","11,996,807","1,352,766","4,138,785","6,505,256","393,398","568,760","568,760",-,-,-,-,-,"22,408,544",-,-,"22,408,544",,,
2008,노원구,"35,460,000","12,641,755","92,491","13,390","79,101","12,155,866","1,168,244","4,382,234","6,605,388","393,398","568,760","568,760",-,-,-,-,-,"22,249,485",-,-,"22,249,485",,,
2009,노원구,"35,460,000","12,660,833","92,491","13,390","79,101","12,174,944","1,168,244","4,401,312","6,605,388","393,398","568,760","568,760",-,-,-,-,-,"22,230,407",-,-,"22,230,407",,,
2010,노원구,"35,460,000","12,660,833","92,491","13,390","79,101","12,174,944","1,168,244","4,401,312","6,605,388","393,398","568,760","568,760",-,-,-,-,-,"22,230,407",-,-,"22,230,407",,,
2011,노원구,"35,460,000","12,660,506","92,491","13,390","79,101","12,174,617","1,168,244","4,400,985","6,605,388","393,398","568,760","568,760",-,-,-,-,-,"22,230,734",-,-,"22,230,734",,,
2012,노원구,"35,460,000","12,661,040","92,491","13,390","79,101","12,175,151","1,168,218","4,401,634","6,605,299","393,398","568,760","568,760",-,-,-,-,-,"22,230,200",-,-,"22,230,200",,,
2013,노원구,"35,460,000","12,669,956","92,491","13,390","79,101","12,184,067","1,177,134","4,401,634","6,605,299","393,398","568,760","568,760",-,-,-,-,-,"22,221,284",-,-,"22,221,284",,,
2014,노원구,"35,460,000","12,696,447","92,491","13,390","79,101","12,210,558","1,205,809","4,363,316","6,641,433","393,398","568,760","568,760",-,-,-,-,-,"22,194,793",-,-,"22,194,793",,,
2015,노원구,"35,595,942","13,978,782",,"13,361","79,094",,"1,351,894","2,054,968","7,502,606","365,142","589,023","589,023",-,-,-,-,-,"21,028,137",-,-,"21,028,137","92,455","13,521,185","2,611,717"
2016,노원구,"35,595,942","13,980,338",,"13,361","79,094",,"1,353,520","2,054,898","7,502,606","365,142","589,023","589,023",-,-,-,-,-,"21,026,581",-,-,"21,026,581","92,455","13,522,741","2,611,717"
2017,노원구,"35,595,942","13,980,338",,"13,361","79,094",,"1,351,891","2,056,527","7,502,606","365,142","589,023","589,023",-,-,-,-,-,"21,026,581",-,-,"21,026,581","92,455","13,522,741","2,611,717"
2018,노원구,"35,595,942","13,980,338",,"13,361","79,094",,"1,355,487","2,050,884","7,501,388","368,407","589,023","589,023",-,-,-,-,-,"21,026,581",-,-,"21,026,581","92,455","13,519,476","2,611,717"
2019,노원구,"35,595,942","13,978,881",,"13,361","79,094",,"1,355,487","2,050,884","7,499,931","368,407","590,480","590,480",-,-,-,-,-,"21,026,581",-,-,"21,026,581","92,455","13,518,019","2,611,717"
