Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,송파구,"33,890,000","20,990,587",-,-,-,"20,585,408","1,923,081","8,420,977","10,241,350","405,179","1,250,000","640,000",-,"610,000",-,-,-,"11,649,413",-,"1,400,000","10,249,413",,,
2004,송파구,"33,890,000","20,990,587",-,-,-,"20,585,408","1,923,081","8,420,977","10,241,350","405,179","1,250,000","640,000",-,"610,000",-,-,-,"11,649,413",-,"1,400,000","10,249,413",,,
2005,송파구,"33,890,000","20,989,598",-,-,-,"20,584,419","1,939,291","8,336,095","10,309,033","405,179","1,761,084","640,000",-,"1,121,084",-,-,-,"11,139,318",-,"1,087,620","10,051,698",,,
2006,송파구,"33,890,000","21,147,480",-,-,-,"20,734,078","1,914,508","8,442,854","10,376,716","413,402","1,841,428","787,444",-,"1,053,984",-,-,-,"10,901,092",-,"347,602","10,553,490",,,
2007,송파구,"33,890,000","21,419,485",-,-,-,"21,006,083","1,908,518","8,442,854","10,654,711","413,402","2,111,791","1,057,762",-,"1,054,029",-,-,-,"10,358,724",-,"347,593","10,011,131",,,
2008,송파구,"33,890,000","21,411,318",-,-,-,"20,997,916","1,908,830","8,289,951","10,799,135","413,402","2,159,719","1,057,762",-,"1,101,957",-,-,-,"10,318,963",-,"297,439","10,021,524",,,
2009,송파구,"33,890,000","21,411,318",-,-,-,"20,997,916","1,908,830","8,289,951","10,799,135","413,402","2,159,719","1,057,762",-,"1,101,957",-,-,-,"10,318,963",-,"297,439","10,021,524",,,
2010,송파구,"33,890,000","21,411,318",-,-,-,"20,997,916","1,908,830","8,289,951","10,799,135","413,402","2,159,719","1,057,762",-,"1,101,957",-,-,-,"10,318,963",-,"297,439","10,021,524",,,
2011,송파구,"33,890,000","21,411,318",-,-,-,"20,995,284","1,873,983","8,326,031","10,795,270","416,034","2,159,719","1,057,762",-,"1,101,957",-,-,-,"10,318,963",-,"297,439","10,021,524",,,
2012,송파구,"33,890,000","21,411,318",-,-,-,"20,995,284","1,869,978","7,983,466","11,141,841","416,034","2,159,719","1,057,762",-,"1,101,957",-,-,-,"10,318,963",-,"297,439","10,021,524",,,
2013,송파구,"33,890,000","21,606,657","64,138","64,138",-,"21,156,685","1,852,444","7,995,931","11,308,311","385,834","2,128,822","1,026,865",-,"1,101,957",-,-,-,"10,154,521",-,"297,439","9,857,082",,,
2014,송파구,"33,890,000","21,577,043","63,682","63,682",-,"21,105,552","1,852,421","7,960,014","11,293,117","407,809","2,169,745","1,067,788",-,"1,101,957",-,-,-,"10,143,212",-,"297,439","9,845,773",,,
2015,송파구,"33,858,375","21,019,060",,"72,137",-,,"1,931,949","3,571,426","9,847,088","883,080","2,281,374","1,176,981","9,067","1,095,326",-,-,-,"10,557,941",-,"422,337","10,135,604","72,137","20,063,843","4,713,380"
2016,송파구,"33,858,375","21,019,060",,"72,137",-,,"1,931,949","3,571,426","9,847,088","883,080","2,281,374","1,176,981","9,067","1,095,326",-,-,-,"10,557,941",-,"422,337","10,135,604","72,137","20,063,843","4,713,380"
2017,송파구,"33,858,375","21,017,099",,"72,137",-,,"1,891,004","3,692,098","9,889,312","880,843","2,283,335","1,178,942","9,067","1,095,326",-,-,-,"10,557,941",-,"422,337","10,135,604","72,137","20,064,119","4,591,705"
2018,송파구,"33,858,375","21,017,099",,"72,137",-,,"1,891,004","3,692,098","9,889,312","880,843","2,283,335","1,178,942","9,067","1,095,326",-,-,-,"10,557,941",-,"422,337","10,135,604","72,137","20,064,119","4,591,705"
2019,송파구,"33,858,375","21,015,588",,"72,137",-,,"1,891,004","3,692,098","9,887,801","880,843","2,284,846","1,180,453","9,067","1,095,326",-,-,-,"10,557,941",-,"422,337","10,135,604","72,137","20,062,608","4,591,705"
