Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,용산구,"21,870,000","11,379,980","350,000","350,000",-,"10,733,857","4,108,440","4,233,182","2,392,236","296,123","1,480,020","1,400,020",-,"80,000",-,-,-,"9,010,000","70,000",-,"8,940,000",,,
2004,용산구,"21,870,000","11,379,980","350,000","350,000",-,"10,733,857","4,104,054","4,233,182","2,396,621","296,123","1,480,020","1,400,020",-,"80,000",-,-,-,"9,010,000","70,000",-,"8,940,000",,,
2005,용산구,"21,865,615","11,375,595","350,000","350,000",-,"10,729,472","4,104,054","4,216,613","2,408,805","296,123","1,480,020","1,400,020",-,"80,000",-,-,-,"9,010,000","70,000",-,"8,940,000",,,
2006,용산구,"21,870,000","11,373,351","268,700","268,700",-,"10,808,528","4,104,055","4,190,242","2,514,231","296,123","1,484,349","1,484,349",-,-,-,-,-,"9,012,300","72,300",-,"8,940,000",,,
2007,용산구,"21,870,000","11,373,351","268,700","268,700",-,"10,808,528","4,104,054","4,190,243","2,514,231","296,123","1,484,349","1,484,349",-,-,-,-,-,"9,012,300","72,300",-,"8,940,000",,,
2008,용산구,"21,870,000","11,373,351","268,700","268,700",-,"10,808,528","4,104,054","4,190,243","2,514,231","296,123","1,484,349","1,484,349",-,-,-,-,-,"9,012,300","72,300",-,"8,940,000",,,
2009,용산구,"21,870,000","11,373,796","268,700","268,700",-,"10,632,881","4,108,814","3,921,997","2,602,070","472,215","1,483,904","1,483,904",-,-,-,-,-,"9,012,300","72,300",-,"8,940,000",,,
2010,용산구,"21,870,000","11,434,527","268,700","268,700",-,"10,693,612","4,107,207","3,983,231","2,603,174","472,215","1,483,904","1,483,904",-,-,-,-,-,"8,951,569","72,300",-,"8,879,269",,,
2011,용산구,"21,870,000","11,434,527","268,700","268,700",-,"10,668,961","4,108,224","3,959,752","2,600,985","496,866","1,483,904","1,483,904",-,-,-,-,-,"8,951,569","72,300",-,"8,879,269",,,
2012,용산구,"21,870,000","11,428,112","268,700","268,700",-,"10,662,546","4,105,554","3,961,365","2,595,627","496,866","1,490,319","1,490,319",-,-,-,-,-,"8,951,569","72,300",-,"8,879,269",,,
2013,용산구,"21,870,000","11,428,112","268,700","268,700",-,"10,662,546","4,105,554","3,961,365","2,595,627","496,866","1,490,319","1,490,319",-,-,-,-,-,"8,951,569","72,300",-,"8,879,269",,,
2014,용산구,"21,870,000","11,428,112","268,700","268,700",-,"10,662,546","4,105,554","3,961,364","2,595,628","496,866","1,490,319","1,490,319",-,-,-,-,-,"8,951,569","72,300",-,"8,879,269",,,
2015,용산구,"21,898,766","12,130,669",,"224,153",-,,"4,153,291","1,131,012","2,829,722","550,888","1,237,935","1,237,935",-,-,-,-,-,"8,530,162","72,603",-,"8,457,559","224,153","11,355,628","3,241,603"
2016,용산구,"21,898,766","12,130,669",,"224,153",-,,"4,153,291","1,131,012","2,829,722","550,888","1,237,935","1,237,935",-,-,-,-,-,"8,530,162","72,603",-,"8,457,559","224,153","11,355,628","3,241,603"
2017,용산구,"21,898,766","12,123,596",,"224,153",-,,"4,145,163","1,143,430","2,829,294","503,318","1,245,008","1,245,008",-,-,-,-,-,"8,530,162","72,603",-,"8,457,559","224,153","11,396,125","3,278,238"
2018,용산구,"21,898,766","12,107,810",,"224,153",-,,"4,145,163","1,094,957","2,798,402","559,729","1,260,795","1,260,795",-,-,-,-,-,"8,530,162","72,603",-,"8,457,559","224,153","11,323,928","3,285,406"
2019,용산구,"21,898,766","12,107,810",,"224,153",-,,"4,145,163","1,094,957","2,798,402","559,729","1,260,795","1,260,795",-,-,-,-,-,"8,530,162","72,603",-,"8,457,559","224,153","11,323,928","3,285,406"
