Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,중랑구,"18,530,000","10,309,925",-,-,-,"9,840,925","1,089,855","5,844,702","2,906,368","469,000","190,000","110,000","80,000",-,-,"20,000","20,000","8,010,075",-,-,"8,010,075",,,
2004,중랑구,"18,528,866","10,308,566",-,-,-,"9,619,926","1,061,059","5,717,768","2,841,100","688,640","190,230","110,000","80,230",-,-,"20,000","20,000","8,010,070",-,-,"8,010,070",,,
2005,중랑구,"18,525,679","10,305,604",-,-,-,"9,836,604","1,085,534","5,844,702","2,906,368","469,000","190,000","110,000","80,000",-,-,"20,000","20,000","8,010,075",-,-,"8,010,075",,,
2006,중랑구,"18,530,000","10,491,158","50,632","50,632",-,"9,912,395","1,084,151","5,941,503","2,886,741","528,131","252,789","110,000","142,789",-,-,"4,400","4,400","7,781,653",-,-,"7,781,653",,,
2007,중랑구,"18,530,000","10,440,527",-,-,-,"9,912,396","1,069,121","5,912,712","2,930,563","528,131","257,189","114,400","142,789",-,-,-,-,"7,832,284",-,-,"7,832,284",,,
2008,중랑구,"18,530,000","10,440,526",-,-,-,"9,912,395","1,059,105","5,927,567","2,925,723","528,131","257,189","114,400","142,789",-,-,-,-,"7,832,285",-,-,"7,832,285",,,
2009,중랑구,"18,530,000","10,491,158",-,-,-,"9,963,027","1,109,737","5,927,567","2,925,723","528,131","257,189","114,400","142,789",-,-,-,-,"7,781,653",-,-,"7,781,653",,,
2010,중랑구,"18,530,000","10,491,158",-,-,-,"9,963,027","1,109,699","5,922,391","2,930,937","528,131","257,189","114,400","142,789",-,-,-,-,"7,781,653",-,-,"7,781,653",,,
2011,중랑구,"18,530,000","10,491,158",-,-,-,"9,963,027","1,108,549","5,814,200","3,040,278","528,131","257,189","114,400","142,789",-,-,-,-,"7,781,653",-,-,"7,781,653",,,
2012,중랑구,"18,530,000","10,491,158",-,-,-,"9,963,027","1,108,549","5,814,200","3,040,278","528,131","257,189","114,400","142,789",-,-,-,-,"7,781,653",-,-,"7,781,653",,,
2013,중랑구,"18,530,001","10,973,326",-,-,-,"10,402,666","1,127,346","5,851,158","3,424,162","570,660","257,189","114,400","142,789",-,-,-,-,"7,299,486",-,-,"7,299,486",,,
2014,중랑구,"18,530,000","10,973,326",-,-,-,"10,402,666","1,127,346","5,851,158","3,424,162","570,660","257,189","114,400","142,789",-,-,-,-,"7,299,485",-,-,"7,299,485",,,
2015,중랑구,"18,531,520","10,821,891",,-,-,,"1,043,162","1,593,130","3,232,342","799,132","357,442","255,092","102,350",-,-,-,-,"7,352,187",-,-,"7,352,187",-,"10,022,759","4,154,125"
2016,중랑구,"18,531,520","10,821,891",,-,-,,"1,043,162","1,570,013","3,232,342","822,249","357,442","255,092","102,350",-,-,-,-,"7,352,187",-,-,"7,352,187",-,"9,999,642","4,154,125"
2017,중랑구,"18,531,520","10,821,891",,-,-,,"1,043,162","1,570,013","3,225,464","829,127","357,442","255,092","102,350",-,-,-,-,"7,352,187",-,-,"7,352,187",-,"9,992,764","4,154,125"
2018,중랑구,"18,531,520","10,821,891",,-,-,,"1,043,162","1,570,013","3,225,464","829,127","357,442","255,092","102,350",-,-,-,-,"7,352,187",-,-,"7,352,187",-,"9,992,764","4,154,125"
2019,중랑구,"18,531,520","10,821,891",,-,-,,"1,043,162","1,570,013","3,224,586","830,006","357,442","255,092","102,350",-,-,-,-,"7,352,187",-,-,"7,352,187",-,"9,991,886","4,154,125"
