"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
2017,합계,"605,242,806.9","10,814,801.8","11,839,241.5","307,415.4",388,"139,957,858.1","218,594,276.0","2,939,243.4","24,426,922.4","78,814,734.2","7,159,981.1","52,194,690.0","3,838,706.5","3,535,270.6","1,481,054.4","1,583,592.0","21,394,635.0","1,469,701.8","230,014.4","2,322,191.9","1,582,322.1","2,341,296.2","16,611,981.2",-,"1,124,901.6","571,252.6","106,334.7",-
2017,종로구,"23,912,788.0","821,875.5",-,-,-,"9,372,080.4","8,176,048.0",-,"907,968.6","2,370,385.6",932.9,"281,283.5","10,946.9","170,814.5",-,85.2,"309,831.0",-,-,"101,877.0","1,244,657.1","11,001.0","104,016.6",-,"22,246.9","6,737.3",-,-
2017,중구,"9,959,791.6",-,-,-,-,"1,291,056.2","5,292,421.1","4,359.6","393,798.6","2,146,271.5","125,730.7","29,443.2",-,"14,795.1",-,"29,588.0","446,160.0","25,315.0",-,"111,972.4","7,518.7",-,"7,168.1",-,"26,546.0","7,647.4",-,-
2017,용산구,"21,866,466.1","60,662.6",-,-,-,"1,605,057.0","10,065,271.8",-,"521,877.4","2,477,211.4","1,236,429.9","4,776,816.5","155,993.0","97,394.4","44,896.3",401.8,"112,809.5",484.6,-,"87,600.9","1,581.4","43,594.0","546,528.7",-,"18,909.3","9,765.0","3,180.6",-
2017,성동구,"16,856,985.0","181,834.3","22,417.0",-,-,"262,302.2","6,260,304.8","476,543.3","946,582.8","2,240,206.4","296,346.7","3,776,403.0","356,284.8","88,328.8","99,371.4","262,320.0","529,312.1","22,067.5","195,997.0","70,092.9",-,"12,165.0","732,477.6",-,"10,162.9","4,419.9","11,044.6",-
2017,광진구,"17,063,241.8","27,059.0","11,122.0",-,-,"2,482,436.4","6,992,779.7",91.2,"1,059,375.8","2,490,293.2","3,220.7","2,524,435.2","172,645.0","69,037.5","37,065.4","289,068.5","720,966.8","36,739.0",-,"53,514.8",-,"8,367.0","45,935.0",-,"17,852.7","21,236.9",-,-
2017,동대문구,"14,215,008.1","46,533.0","15,687.0",-,-,"733,459.0","7,799,019.5","3,910.0","1,315,707.7","2,638,941.3","423,774.0","574,240.8","139,591.0","81,421.8","4,324.0",724,"294,761.5","5,826.0",-,"86,709.0",-,"8,177.0","16,508.8",-,"7,584.8","18,107.9",-,-
2017,중랑구,"18,495,350.2","453,496.0","203,759.0","235,150.3",-,"2,765,577.6","6,933,165.0","4,234.9","648,733.5","2,729,512.5","415,061.0","908,517.9","170,716.0","175,080.9","73,119.3","3,958.0","988,890.2",-,-,"83,625.9",-,"1,413,631.2","172,158.2",-,"90,288.5","18,993.0","7,681.3",-
2017,성북구,"24,573,191.8","64,810.0","55,798.0",-,-,"8,131,216.2","10,245,089.2",-,"1,623,350.8","2,730,816.2","141,756.0","539,366.4","33,528.0","153,496.2","1,434.0","6,102.7","508,306.5",-,-,"187,282.7","2,694.0","53,874.0","53,979.3",-,"11,352.3","27,278.0","1,661.3",-
2017,강북구,"23,600,563.3","73,070.0","31,576.0",-,-,"12,785,360.9","6,607,763.6","4,290.4","552,284.2","1,996,878.7",-,"332,302.9",65,"87,579.9","2,092.0","22,944.0","726,024.0",-,"9,716.0","153,953.1",-,"74,183.0","96,734.2",-,"25,471.2","18,082.2",192,-
