"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,강동구,"24,442,606.0","1,943,390.0","1,794,205.0",-,-,"3,693,311.0","8,598,718.0",-,"713,770.0","2,869,952.0",-,"3,180,583.0","277,931.0","57,190.0","17,312.0","147,169.0","473,102.0",-,-,"2,390.0","78,233.0","6,252.0","589,098.0",-,-,-,-,-
1991,강동구,"24,438,165.0","1,898,711.0","1,738,696.0",370,-,"3,634,146.0","8,665,195.0",-,"744,978.0","2,906,685.0",-,"3,190,221.0","277,931.0","57,177.0","17,312.0","147,169.0","473,102.0",-,-,"2,390.0","78,233.0","5,802.0","600,047.0",-,-,-,-,-
1992,강동구,"24,438,189.3","1,901,111.4","1,694,424.8","2,670.0",-,"3,542,134.9","8,679,791.2",-,"642,670.5","3,280,601.4",-,"3,031,231.0","287,666.7","55,184.0","16,296.2","147,871.0","459,614.6",-,-,"2,687.8","78,133.0","6,603.0","609,497.8",-,-,-,-,-
1993,강동구,"24,461,945.4","1,855,925.4","1,672,846.8","2,670.0",-,"3,438,153.9","8,685,391.9",-,"654,485.5","3,323,235.4",-,"3,053,100.0","331,944.7","54,884.0","16,296.2","218,825.0","459,614.6",-,-,"2,687.8","78,133.0","6,584.0","601,628.2","5,539.0",-,-,-,-
1994,강동구,"24,576,571.4","1,816,755.4","1,623,496.0","2,670.0",-,"3,432,104.9","8,701,938.6",-,"660,676.6","3,329,695.4",-,"3,236,374.0","331,944.7","53,689.0","37,587.2","218,825.0","459,614.6",-,-,"3,249.8","78,133.0","6,455.0","583,362.2",-,-,-,-,-
1995,강동구,"24,576,574.5","1,950,080.4","1,487,927.0","2,670.0",-,"3,431,769.9","8,704,174.0",-,"660,676.6","3,329,929.1",-,"3,230,626.0","331,944.7","53,689.0","43,448.2","218,825.0","459,614.6",-,-,"3,722.8","78,133.0","5,982.0","583,362.2",-,-,-,-,-
1996,강동구,"24,577,218.5","2,004,249.0","1,381,706.0","2,670.0",-,"3,406,242.9","8,701,089.6",-,"660,676.6","3,406,097.6",-,"3,230,626.0","339,122.7","53,684.0","43,448.2","218,825.0","459,011.5",-,-,"5,328.2","78,133.0","5,982.0","580,326.2",-,-,-,-,-
1997,강동구,"24,576,965.9","1,964,144.0","1,176,407.0","2,670.0",-,"3,400,362.9","8,695,674.0",-,"661,173.2","3,426,112.1","258,572.0","3,222,960.0","339,129.7","48,282.0","43,448.2","218,825.0","459,011.5",-,-,"6,585.1","78,133.0","5,982.0","569,494.2",-,-,-,-,-
1998,강동구,"24,576,802.2","1,957,818.0","1,175,206.0","2,670.0",-,"3,398,889.8","8,698,363.0",-,"662,167.2","3,431,626.9","258,572.0","3,222,707.0","339,230.7","47,023.0","43,448.2","218,825.0","460,239.1",-,-,"6,287.1","78,793.0","5,982.0","568,954.2",-,-,-,-,-
1999,강동구,"24,576,494.3","1,919,869.0","1,120,574.0","2,670.0",-,"3,312,339.8","8,703,910.4","4,395.0","662,649.2","3,429,050.4","258,572.0","3,222,435.0","339,230.7","47,023.0","43,448.2","309,813.0","543,436.3",-,-,"6,287.1","78,793.0","5,321.0","566,677.2",-,-,-,-,-
2000,강동구,"24,577,412.2","1,922,151.0","1,113,322.0","2,670.0",-,"3,311,957.8","8,678,591.4","4,395.0","662,649.2","3,431,466.0","258,572.0","3,222,435.0","339,230.7","47,328.5","43,448.2","309,813.0","570,133.1",-,-,"6,287.1","78,793.0","5,321.0","568,848.2",-,-,-,-,-
2001,강동구,"24,577,412.2","1,901,957.0","1,113,126.0","2,670.0",-,"3,302,915.8","8,672,852.8","4,395.0","688,280.2","3,437,601.6","258,572.0","3,222,435.0","339,230.7","47,328.5","43,448.2","309,813.0","572,359.1",-,-,"6,287.1","78,793.0","5,321.0","570,026.2",-,-,-,-,-
2002,강동구,"24,577,662.9","1,758,581.0","1,081,595.0","2,670.0",-,"3,271,754.8","8,643,365.7","4,395.0","688,280.2","3,492,846.5","258,572.0","3,324,093.0","345,076.7","47,187.5","43,448.2","309,813.0","572,679.1",-,-,"6,287.1","78,793.0","5,321.0","573,848.2",-,"40,645.1","28,410.8",-,-
2003,강동구,"24,577,410.2","1,746,292.0","1,064,190.0","2,670.0",0,"3,260,441.6","8,643,840.2","4,395.0","695,380.2","3,500,276.0","258,572.0","3,345,080.0","345,076.7","46,199.5","43,448.2","309,813.0","572,679.1",0,0,"9,972.0","78,793.0","5,321.0","570,411.9",0,"43,147.0","31,411.8",0,0
2004,강동구,"24,577,505.3","1,719,407.0","1,062,595.0","11,087.0",0,"3,257,182.6","8,646,565.7","4,395.0","695,367.2","3,501,444.4","258,572.0","3,344,389.0","345,076.7","46,199.5","43,448.2","309,813.0","573,812.3",0,0,"9,972.0","94,460.0","5,321.0","570,370.9",0,"47,652.0","30,374.8",0,0
2005,강동구,"24,577,494.0","1,723,696.5","1,057,843.0","11,087.0",0,"3,253,453.8","8,655,960.9","4,395.0","695,367.2","3,502,353.5","258,572.0","3,344,389.0","345,076.7","46,199.5","43,448.2","309,813.0","573,812.3",0,0,"10,434.0","95,410.0","5,354.0","560,462.7",0,"49,990.9","30,374.8",0,0
2006,강동구,"24,577,965.8","1,724,380.5","1,055,208.0","11,087.0",-,"3,252,401.8","8,653,500.7","4,395.0","695,367.2","3,507,346.0","258,572.0","3,339,745.0","344,998.7","46,199.5","43,448.2","309,813.0","576,364.3",-,-,"13,546.5","95,410.0","5,354.0","560,462.7",-,"49,990.9","30,374.8",-,-
2007,강동구,"24,577,686.4","1,721,464.5","1,052,639.0","11,087.0",-,"3,248,816.0","8,649,480.8","4,395.0","695,424.2","3,515,806.8","258,572.0","3,340,985.0","344,998.7","46,199.5","43,448.2","309,813.0","581,858.1",-,-,"14,574.5","95,420.0","5,139.0","558,152.7",-,"50,789.6","28,622.8",-,-
2008,강동구,"24,577,346.6","1,718,368.5","1,051,098.0","11,087.0",-,"3,248,816.0","8,652,376.5","4,395.0","695,424.2","3,517,406.3","258,572.0","3,340,985.0","344,998.7","46,199.5","43,448.2","309,813.0","581,858.1",-,-,"14,574.5","95,420.0","5,139.0","557,789.7",-,"50,954.6","28,622.8",-,-
