"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1995,금천구,"13,083,250.6","164,244.0","116,442.0",-,-,"3,247,483.9","5,065,266.8","1,228,417.7","254,600.5","1,766,321.9","201,063.5","713,114.0","43,960.0","98,787.5","15,355.0","30,111.0","82,018.9","14,105.0",-,"3,212.5",-,"1,671.0","37,075.4",-,-,-,-,-
1996,금천구,"13,004,127.7","143,058.0","106,114.0",-,-,"3,224,692.1","5,068,308.0","1,237,353.7","254,538.5","1,751,232.9","211,335.0","728,498.0","47,523.0","53,481.5","15,267.0","30,111.0","82,018.9","14,105.0",-,"3,212.5",-,"1,671.0","31,607.6",-,-,-,-,-
1997,금천구,"13,007,782.4","142,492.0","77,529.0",-,-,"3,224,220.1","5,050,677.8","1,277,257.7","254,538.5","1,776,123.0","211,546.0","629,171.0","110,258.0","54,266.5","39,145.0","30,111.0","82,018.9","14,105.0",-,"3,405.3",-,"1,572.0","29,345.6",-,-,-,-,-
1998,금천구,"13,002,204.4","141,197.0","72,307.0",-,-,"3,206,598.1","5,042,246.5","1,277,135.7","254,538.5","1,802,679.9","211,712.0","634,657.0","115,899.0","51,367.5","39,145.0","30,111.0","82,018.9","14,105.0",-,"3,405.3",-,"1,120.0","21,961.0",-,-,-,-,-
1999,금천구,"13,002,478.9","135,038.0","69,788.0",-,-,"3,172,322.5","5,030,539.2","1,279,487.7","254,538.5","1,846,625.3","211,917.0","633,177.0","115,899.0","51,418.5","39,145.0","28,496.0","94,050.9","14,105.0",-,"3,405.3",-,"1,120.0","21,406.0",-,-,-,-,-
2000,금천구,"13,002,444.6","131,478.0","69,432.0",-,-,"3,170,976.4","5,033,925.4","1,279,718.7","254,538.5","1,848,585.1","211,917.0","633,177.0","115,899.0","51,073.3","39,145.0","28,496.0","94,050.9","14,105.0",-,"3,405.3",-,"1,120.0","21,402.0",-,-,-,-,-
2001,금천구,"13,002,452.8","127,504.0","64,962.0",-,-,"3,032,216.4","5,117,129.7","1,267,547.0","267,936.5","1,871,488.7","211,917.0","633,177.0","115,899.0","44,612.3","38,897.0","50,213.0","119,478.9","14,105.0",-,"3,405.3",-,"1,120.0","20,844.0",-,-,-,-,-
2002,금천구,"13,002,682.0","124,501.0","57,743.0",-,-,"2,982,198.8","5,111,103.7","1,274,110.0","308,365.9","1,881,511.4","212,052.0","633,011.0","115,899.0","45,008.3","38,830.0","50,213.0","122,697.9","14,105.0",-,"3,212.5",-,"1,120.0","20,063.0",-,"6,936.5",-,-,-
2003,금천구,"13,002,712.8","118,279.0","55,932.0",0,0,"2,979,823.8","5,090,164.6","1,282,094.0","308,365.9","1,888,074.3","212,546.0","632,974.0","115,899.0","44,887.3","38,830.0","50,160.0","123,610.9","14,105.0",0,"3,212.5",0,"1,120.0","19,447.0",0,"8,597.3","14,590.2",0,0
2004,금천구,"13,005,903.1","117,931.0","43,371.0",0,0,"2,947,319.8","5,139,285.1","1,278,014.0","321,621.1","1,878,739.4","212,561.0","632,631.0","115,899.0","43,634.3","39,154.0","50,160.0","122,891.6","14,105.0",0,"4,509.4",0,"1,120.0","19,447.0",0,"8,919.2","14,590.2",0,0
2005,금천구,"13,015,257.6","117,854.0","40,271.0",0,0,"2,944,568.8","5,134,967.0","1,277,687.0","321,621.1","1,885,252.7","212,561.0","639,177.0","116,504.0","45,368.3","39,154.0","49,791.0","122,890.6","17,043.0",0,"4,509.4",0,"1,318.0","18,842.0",0,"11,287.5","14,590.2",0,0
