"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,도봉구,"44,549,549.0","1,479,055.0","964,721.0","23,860.0",-,"23,587,806.0","11,879,434.0","378,422.0","684,850.0","3,176,746.0","208,399.0","887,220.0","18,524.0","398,615.0","9,951.0",752,"67,268.0",-,"9,554.0","63,199.0",138,"32,706.0","311,098.0","367,231.0",-,-,-,-
1991,도봉구,"44,547,231.0","1,198,940.0","711,131.0","23,860.0",-,"23,812,713.0","12,315,101.0","368,076.0","737,571.0","3,353,289.0","208,618.0","875,277.0","18,438.0","375,848.0","7,139.0",752,"96,525.0",-,"9,554.0","64,596.0",138,"32,706.0","226,102.0","110,857.0",-,-,-,-
1992,도봉구,"44,548,969.0","959,000.6","579,903.0","23,860.0",-,"23,668,716.4","12,660,600.4","367,520.3","785,936.1","3,472,853.9","212,973.9","890,136.0","18,437.7","359,383.3","7,139.0",752.1,"120,033.9",-,"9,554.0","68,386.3",138,"31,760.0","201,027.1","110,857.0",-,-,-,-
1993,도봉구,"44,546,857.9","939,490.6","570,640.0","23,860.0",-,"23,625,246.4","12,714,694.2","353,785.3","802,381.1","3,497,044.7","212,795.9","889,839.0","18,437.7","356,570.3","7,139.0",752.1,"120,033.9",-,"9,554.0","70,582.6",138,"31,760.0","193,180.1","108,933.0",-,-,-,-
1994,도봉구,"44,476,184.7","585,088.0","551,247.9","23,860.0",-,"23,869,542.2","12,587,095.4","358,547.2","893,881.0","3,534,984.9","198,430.8","979,255.9","18,349.7","333,207.7","3,015.0","23,391.1","151,152.3",-,"9,554.0","77,706.5",-,"90,292.0","187,583.1",-,-,-,-,-
1995,도봉구,"20,862,851.0","411,590.0","429,749.9","23,860.0",-,"10,150,398.2","6,007,229.0","284,918.3","535,067.8","1,828,894.2","198,430.8","585,201.9","18,349.7","208,067.9",417,572.1,"93,356.8",-,-,"11,070.4",-,"3,490.0","72,187.0",-,-,-,-,-
1996,도봉구,"20,842,410.5","395,157.0","397,522.9","23,860.0",-,"10,121,849.2","6,073,531.6","269,840.3","546,262.8","1,841,090.1","199,827.8","565,517.9","18,349.7","206,539.9",417,572.1,"93,404.8",-,-,"11,070.4",-,"3,490.0","74,107.0",-,-,-,-,-
1997,도봉구,"20,826,620.6","390,388.0","385,110.9","23,860.0",-,"10,106,349.2","6,174,388.3","130,066.3","546,262.8","1,904,631.3","199,119.3","565,517.9","16,762.7","205,080.6",417,572.1,"93,333.8",-,-,"11,070.4",-,"3,930.0","69,760.0",-,-,-,-,-
1998,도봉구,"20,816,931.3","378,705.0","367,517.9","23,860.0",-,"10,096,482.2","6,200,818.8","118,493.3","569,534.0","1,907,608.4","199,119.3","551,972.9","16,762.7","201,571.6",417,572.1,"93,333.8",-,-,"15,490.3",-,"3,930.0","70,742.0",-,-,-,-,-
1999,도봉구,"20,815,672.1","358,359.0","321,887.0","23,860.0",-,"10,076,610.2","6,194,456.5","116,846.3","575,350.4","1,957,170.5","206,552.3","553,361.9","16,762.7","193,603.6",417,572.1,"92,201.4",-,-,"16,034.2",-,"3,930.0","107,697.0",-,-,-,-,-
