"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,마포구,"23,897,602.0","2,490,285.0","654,110.0",-,-,"1,082,488.0","8,208,655.0",-,"584,264.0","2,590,714.0","525,572.0","5,836,897.0","131,407.0","222,304.0","87,993.0","13,476.0","46,505.0",-,-,"26,762.0","1,419.0","19,374.0","1,375,377.0",-,-,-,-,-
1991,마포구,"23,872,652.0","2,477,050.0","646,786.0",-,-,"1,082,421.0","8,203,524.0",-,"579,616.0","2,598,789.0","525,572.0","5,836,897.0","130,630.0","222,055.0","87,993.0","13,476.0","45,758.0",-,-,"31,933.0","1,419.0","19,374.0","1,369,359.0",-,-,-,-,-
1992,마포구,"23,861,005.9","2,470,273.0","623,407.2",-,-,"1,081,029.0","8,192,472.6",-,"579,546.5","2,606,395.3","555,996.5","5,836,897.1","130,629.6","215,106.6","87,993.3","13,476.0","47,064.4",-,-,"32,077.9","1,365.0","18,520.5","1,368,755.4",-,-,-,-,-
1993,마포구,"23,860,803.0","2,466,583.0","623,285.2",-,-,"1,077,115.0","8,205,375.1",-,"571,287.5","2,617,159.4","548,710.4","5,836,897.1","130,629.6","214,016.6","87,993.3","13,476.0","47,064.4",-,-,"31,760.5","1,365.0","18,520.5","1,369,564.4",-,-,-,-,-
1994,마포구,"23,867,503.7","1,031,094.3","612,902.0",-,-,"1,014,002.5","8,236,790.9",-,"569,979.6","2,691,991.4","551,255.4","5,802,424.2","132,954.4","208,467.6","88,223.3","13,476.0","40,978.4",-,-,"35,123.0","1,365.0","18,818.8","2,817,656.9",-,-,-,-,-
1995,마포구,"23,874,037.6","1,027,878.3","595,322.0",-,-,"1,013,239.5","8,229,736.6",-,"570,313.6","2,684,185.7","587,019.3","5,802,424.2","132,954.4","208,467.6","88,223.3","13,476.0","40,978.4",-,-,"34,801.0","1,365.0","18,818.8","2,824,833.9",-,-,-,-,-
1996,마포구,"23,874,567.4","1,019,287.3","591,367.0",-,-,"1,013,335.5","8,225,185.3",-,"559,576.6","2,709,593.1","584,734.6","5,802,424.2","132,954.4","208,442.6","88,223.3","13,476.0","40,978.4",-,-,"34,449.9","1,365.0","18,818.8","2,830,355.4",-,-,-,-,-
1997,마포구,"23,876,444.8","1,008,280.3","589,507.0",-,-,"1,006,357.2","8,219,544.5",-,"559,576.6","2,731,790.6","585,523.2","5,800,785.1","132,954.4","208,382.6","88,223.3","13,542.0","40,978.4",-,-,"37,596.4","1,365.0","17,745.8","2,834,292.4",-,-,-,-,-
1998,마포구,"23,876,520.3","964,017.5","589,184.0",-,-,"996,901.3","8,254,395.2",-,"559,519.6","2,729,388.1","586,193.2","5,770,204.1","132,858.4","207,919.8","88,223.3","13,542.0","44,444.6",-,-,"38,442.8","1,365.0","17,745.8","2,882,175.6",-,-,-,-,-
1999,마포구,"23,875,623.8","942,405.7","589,058.0",-,-,"986,619.3","8,255,392.8",-,"557,856.6","2,752,566.6","586,128.2","5,748,153.1","132,700.4","206,492.8","88,223.3","13,542.0","44,643.8",-,-,"38,815.8","1,365.0","17,745.8","2,913,914.6",-,-,-,-,-
