"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,성북구,"24,296,774.0","127,591.0","134,027.0",-,-,"9,222,632.0","10,257,622.0",-,"1,178,106.0","2,252,781.0","162,088.0","528,892.0","31,693.0","188,646.0","1,619.0",486,"27,635.0",-,-,"51,744.0","4,067.0","58,351.0","68,794.0",-,-,-,-,-
1991,성북구,"24,296,986.0","127,082.0","132,901.0",-,-,"9,207,446.0","10,244,045.0",-,"1,178,406.0","2,270,969.0","162,088.0","528,355.0","31,693.0","198,912.0","1,619.0",486,"27,635.0",-,-,"54,392.0","4,067.0","58,698.0","68,192.0",-,-,-,-,-
1992,성북구,"24,297,584.9","126,401.0","123,361.0",-,-,"9,191,382.1","10,258,694.6",-,"1,177,110.1","2,282,372.3","161,910.0","528,820.7","31,693.0","198,662.0","1,619.0",486,"26,975.6",-,-,"57,912.9","4,067.0","58,698.0","67,419.6",-,-,-,-,-
1993,성북구,"24,294,404.5","120,171.0","120,372.0",-,-,"8,948,794.1","10,195,265.7",-,"1,454,931.6","2,300,289.5","161,910.0","528,400.7","31,693.0","198,368.0","1,619.0",486,"26,975.6",-,-,"76,165.7","4,067.0","58,698.0","66,197.6",-,-,-,-,-
1994,성북구,"24,548,900.7","138,016.0","110,410.0",-,-,"8,989,507.7","10,277,768.7",-,"1,466,730.9","2,431,546.8","159,793.0","535,621.5","33,616.0","182,972.0","1,619.0",486,"26,490.0",-,-,"78,137.7","2,409.0","54,221.0","59,555.4",-,-,-,-,-
1995,성북구,"24,548,932.0","137,954.0","110,354.0",-,-,"8,965,770.9","10,269,113.2",-,"1,478,643.9","2,451,265.4","159,859.0","534,998.5","33,616.0","182,262.0","1,619.0",486,"26,490.0",-,-,"80,850.7","2,409.0","54,221.0","59,019.4",-,-,-,-,-
1996,성북구,"24,552,639.6","136,665.0","107,257.0",-,-,"8,954,399.9","10,282,986.2",-,"1,486,382.9","2,451,156.4","159,830.0","538,794.5","33,616.0","180,332.0","1,441.0",486,"26,273.8",-,-,"77,712.5","2,409.0","54,221.0","58,676.4",-,-,-,-,-
1997,성북구,"24,552,530.8","121,785.0","76,527.0",-,-,"8,937,639.9","10,333,317.8",-,"1,486,429.9","2,468,828.1","159,785.0","536,401.5","33,616.0","176,240.0","1,441.0",486,"25,853.8",-,-,"79,849.4","2,409.0","54,221.0","57,700.4",-,-,-,-,-
1998,성북구,"24,546,740.1","118,279.0","70,062.0",-,-,"8,934,560.7","10,318,974.9",-,"1,493,301.1","2,479,553.3","159,785.0","541,543.5","33,616.0","175,666.0","1,441.0",486,"25,853.8",-,-,"79,759.4","2,409.0","53,943.0","57,506.4",-,-,-,-,-
1999,성북구,"24,546,005.7","108,725.0","64,269.0",-,-,"8,911,032.7","10,328,920.6",-,"1,509,600.7","2,483,502.9","159,785.0","541,600.5","33,616.0","174,919.0","1,441.0",486,"29,639.9",-,-,"84,670.4","2,409.0","53,943.0","57,445.0",-,-,-,-,-
2000,성북구,"24,566,491.8","108,553.0","66,290.0",-,-,"8,893,983.7","10,326,868.3",-,"1,518,409.7","2,501,137.7","161,769.0","547,822.5","33,678.0","174,637.0","1,434.0",486,"29,639.9",-,-,"89,531.0","2,409.0","53,943.0","55,900.0",-,-,-,-,-
