"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,양천구,"17,576,019.0","316,913.0","548,346.0",-,-,"2,877,553.0","8,485,052.0","45,266.0","495,801.0","2,536,420.0","12,049.0","262,275.0","296,836.0","667,122.0","143,932.0","123,935.0","339,264.0","159,569.0",-,"17,091.0",-,"4,245.0","244,350.0",-,-,-,-,-
1991,양천구,"17,565,062.0","316,655.0","537,375.0",-,-,"2,862,869.0","8,473,633.0","45,266.0","527,624.0","2,525,782.0","12,049.0","262,275.0","295,841.0","667,219.0","143,932.0","123,935.0","339,264.0","159,569.0",-,"23,480.0",-,"4,245.0","244,049.0",-,-,-,-,-
1992,양천구,"17,565,481.1","314,411.8","515,211.4",-,-,"2,794,819.2","8,495,242.6","45,266.0","591,952.4","2,536,566.7","12,048.9","262,275.1","284,880.4","656,681.2","143,932.3","123,935.1","339,263.6","159,569.4",-,"39,365.3",-,"4,245.1","245,814.6",-,-,-,-,-
1993,양천구,"17,565,783.1","303,543.8","493,383.4",-,-,"2,772,512.2","8,443,003.0","45,266.0","639,515.8","2,610,796.8","12,048.9","270,246.1","253,755.4","644,617.7","143,932.3","123,522.1","342,427.6","159,569.4",-,"39,365.3",-,"2,793.1","265,484.2",-,-,-,-,-
1994,양천구,"17,403,909.6","267,111.9","605,245.0",-,-,"2,744,608.1","8,202,091.5","45,626.0","682,399.1","2,783,879.3","12,048.9","335,217.0","214,019.9","432,843.9","143,779.3","130,458.0","351,858.8","151,533.3",-,"40,260.6",-,"1,722.0","259,207.0",-,-,-,-,-
1995,양천구,"17,403,978.8","267,473.9","589,825.0",-,-,"2,728,869.0","8,192,722.7","45,626.0","682,399.1","2,810,619.2","12,048.9","335,217.0","213,940.9","432,746.9","143,779.3","130,458.0","351,465.3","151,533.3",-,"44,405.3",-,"1,722.0","269,127.0",-,-,-,-,-
1996,양천구,"17,404,804.2","267,458.9","585,045.0",-,-,"2,728,869.0","8,195,784.8","45,584.0","684,319.1","2,815,243.2","12,048.9","335,217.0","213,298.9","432,291.4","143,779.3","131,129.0","349,545.3","151,533.3",-,"44,405.3",-,"1,024.0","268,227.8",-,-,-,-,-
1997,양천구,"17,405,113.4","256,160.9","571,580.0",-,-,"2,728,324.0","8,235,268.7",-,"691,634.1","2,828,270.3","12,048.9","334,685.0","211,469.9","428,807.4","143,779.3","131,129.0","369,145.4","151,533.3",-,"44,929.4",-,"1,024.0","265,323.8",-,-,-,-,-
1998,양천구,"17,406,581.1","234,904.9","381,447.0",-,-,"2,724,241.0","8,225,579.3",-,"691,441.2","2,849,259.6","235,510.5","333,500.0","211,469.9","408,560.8","143,779.3","131,129.0","369,145.4","151,533.3",-,"45,529.0",-,"1,024.0","268,527.3",-,-,-,-,-
1999,양천구,"17,406,760.7","233,707.9","375,929.0",-,-,"2,709,433.3","8,227,667.5",-,"709,636.2","2,849,682.9","235,510.5","333,500.0","211,469.9","404,583.4","143,779.3","131,129.0","369,145.4","151,533.3",-,"45,702.3",-,"1,024.0","273,326.8",-,-,-,-,-
2000,양천구,"17,401,888.5","189,483.9","343,312.0",-,-,"2,618,331.0","8,334,672.8","8,876.4","719,760.0","2,859,202.7","235,510.5","333,500.0","211,469.9","400,602.4","143,779.3","131,129.0","398,054.5","151,533.3",-,"50,291.3",-,"1,024.0","271,355.5",-,-,-,-,-
2001,양천구,"17,401,849.5","188,699.9","341,986.0",-,-,"2,618,150.0","8,328,739.3","5,596.4","734,340.6","2,852,638.6","235,510.5","333,500.0","211,469.9","400,181.4","143,779.3","130,458.0","401,334.5","151,533.3",-,"50,291.3",-,974,"272,666.5",-,-,-,-,-
2002,양천구,"17,403,181.3","188,189.9","340,797.0",-,-,"2,588,093.0","8,292,422.7","5,596.4","734,340.6","2,854,772.4","235,510.5","333,500.0","211,469.9","399,193.4","143,779.3","156,838.0","401,334.5","151,533.3",-,"50,291.3",-,974,"252,112.6",-,"26,839.5","35,593.0",-,-
2003,양천구,"17,400,135.3","121,463.9","280,427.0",0,0,"2,455,268.1","8,405,345.9","5,596.4","754,066.6","2,932,329.6","235,510.5","323,283.0","211,469.9","397,891.4","143,779.3","156,838.0","459,306.4","151,533.3",0,"52,461.4",0,974,"244,794.8",0,"30,046.3","37,749.5",0,0
2004,양천구,"17,399,988.7","121,463.9","276,687.0",0,0,"2,454,474.1","8,410,064.2","5,596.4","754,066.6","2,931,918.9","235,510.5","323,283.0","211,469.9","397,666.4","143,779.3","156,838.0","459,306.4","151,533.3",0,"52,852.1",0,974,"244,599.8",0,"30,155.4","37,749.5",0,0
2005,양천구,"17,403,410.7","163,615.9","274,077.0",0,0,"2,395,709.6","8,421,599.1","5,596.4","754,066.6","2,941,892.7","235,510.5","323,283.0","211,469.9","397,666.4","143,779.3","165,170.0","459,430.4","146,916.7",0,"54,297.9",0,974,"236,941.4",0,"33,664.4","37,749.5",0,0
2006,양천구,"17,403,832.1","162,784.9","254,924.0",-,-,"2,393,768.6","8,428,491.8","5,596.4","754,066.6","2,949,708.7","235,510.5","322,480.0","211,014.9","396,431.4","146,861.3","165,170.0","460,991.1","146,916.7",-,"57,793.9",-,974,"241,441.4",-,"33,664.4","35,241.5",-,-
2007,양천구,"17,404,175.1","145,374.9","235,395.0",-,-,"2,379,285.6","8,422,060.5","5,596.4","754,159.6","2,951,636.1","235,510.5","322,480.0","211,014.9","396,431.4","146,861.3","165,170.0","460,991.1","146,916.7",-,"64,203.3",-,974,"243,757.4",-,"81,114.9","35,241.5",-,-
2008,양천구,"17,404,175.9","145,271.9","234,288.0",-,-,"2,377,092.6","8,422,023.3","5,596.4","754,159.6","2,953,373.8","235,510.5","321,598.0","211,014.9","396,431.4","146,861.3","165,170.0","461,001.2","146,916.7",-,"64,203.3",-,974,"241,368.6",-,"82,110.9","39,209.5",-,-
2009,양천구,"17,409,198.9","144,821.9","230,414.0",-,-,"2,379,369.6","8,413,142.7","5,596.4","759,139.5","2,965,403.8","235,510.5","321,598.0","211,014.9","396,431.4","146,861.3","165,253.0","460,809.9","146,916.7",-,"64,203.3",-,974,"240,012.6",-,"82,110.9","39,614.5",-,-
2010,양천구,"17,404,771.4","144,517.9","230,245.0",-,-,"2,376,250.6","8,416,273.0","5,596.4","759,385.5","2,956,408.4","235,510.5","315,896.0","211,014.9","397,210.4","146,861.3","164,742.0","460,809.9","146,916.7",-,"64,203.3",-,974,"240,992.1",-,"91,349.0","39,614.5",-,-
2011,양천구,"17,405,467.9","135,168.9","183,965.0",-,-,"2,248,117.7","8,412,640.9","5,596.4","759,889.3","2,961,298.7","235,510.5","315,646.1","211,014.9","395,823.4","146,861.3","38,684.0","677,823.9","146,916.7",-,"64,203.3",-,974,"244,835.0",-,"177,245.1","43,252.8",-,-
2012,양천구,"17,398,382.8","123,568.0","178,313.0",-,-,"2,254,137.6","8,408,795.0","5,596.4","759,889.3","2,975,383.6","235,510.5","305,916.0","211,014.9","393,857.4","149,046.3","38,684.0","741,768.3","146,916.7",-,"64,203.3",-,974,"184,310.6",-,"177,245.1","43,252.8",-,-
2013,양천구,"17,403,552.8","72,777.0","28,883.0",-,-,"1,219,673.8","8,636,686.6","5,596.4","784,943.5","3,106,596.0","235,510.5","299,631.0","210,259.9","343,016.3","149,046.3","38,586.0","1,649,344.3","146,916.7",-,"66,560.3",-,974,"186,076.2",-,"180,165.1","42,309.9",-,-
2014,양천구,"17,403,680.3","72,777.0","26,369.0",-,-,"1,214,793.8","8,623,083.3","6,885.4","798,565.2","3,109,921.1","235,510.5","299,631.0","210,259.9","343,016.3","149,046.3","38,586.0","1,652,345.3","146,916.7",-,"66,560.3",-,974,"185,964.2",-,"180,165.1","42,309.9",-,-
2015,양천구,"17,403,680.3","98,067.0","20,533.0",-,-,"1,126,575.8","8,629,966.1","6,885.4","791,657.4","3,110,362.1","235,510.5","443,561.0","210,259.9","199,086.3","149,046.3","38,586.0","1,712,543.3","146,916.7",-,"75,908.8",-,974,"185,249.9",-,"180,165.1","41,825.7",-,-
2016,양천구,"17,406,819.5","107,319.0","20,126.0",-,-,"1,115,773.8","8,632,874.8","6,885.4","791,657.4","3,108,155.4","235,510.5","446,846.0","210,259.9","199,086.3","149,046.3","38,586.0","1,715,778.4","146,916.7",-,"76,979.8",-,974,"184,331.9",-,"180,165.1","39,546.8",-,-
2017,양천구,"17,406,811.5","101,900.0","13,740.0",-,-,"1,094,627.8","8,655,356.7","6,885.4","791,657.4","3,105,446.0","235,510.5","446,846.0","210,259.9","198,856.3","149,046.3","38,586.0","1,724,849.2","146,916.7",-,"80,518.8",-,974,"184,331.9",-,"180,165.1","40,337.5",-,-
2018,양천구,"17,406,824.5","107,915.0","13,740.0",-,-,"1,088,625.8","8,655,322.7","6,885.4","791,657.4","3,105,319.0","235,510.5","446,846.0","210,259.9","198,856.3","149,046.3","38,586.0","1,724,849.2","146,916.7",-,"81,543.8",-,974,"184,331.9",-,"180,165.1","39,473.5",-,-
2019,양천구,"17,405,710.1","107,915.0","13,740.0",-,-,"1,081,393.8","8,656,452.7","5,596.4","791,657.4","3,108,671.2","235,510.5","446,846.0","210,259.9","198,856.3","149,046.3","38,586.0","1,727,039.2","146,916.7",-,"81,543.8",-,974,"185,620.9",-,"179,610.5","39,473.5",-,-
