"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,영등포구,"24,435,318.0","116,834.0","121,497.0",-,-,"210,839.0","9,568,043.0","863,456.0","460,693.0","3,537,189.0","374,748.0","8,219,638.0","368,740.0","42,460.0","101,774.0","131,216.0","120,384.0","16,498.0",-,"86,549.0",-,418,"94,342.0",-,-,-,-,-
1991,영등포구,"24,435,599.0","113,289.0","114,881.0",-,-,"204,798.0","9,485,125.0","870,588.0","489,657.0","3,927,557.0","262,150.0","7,993,241.0","378,290.0","44,938.0","101,775.0","129,629.0","131,153.0",-,-,"92,540.0",-,418,"95,570.0",-,-,-,-,-
1992,영등포구,"24,435,050.0","113,446.0","107,830.0",-,-,"203,016.0","9,453,458.4","875,075.2","491,994.6","3,938,246.2","262,149.9","7,993,240.6","378,289.6","44,217.5","101,774.9","129,629.0","131,153.2",-,-,"116,313.9",-,418,"94,797.0",-,-,-,-,-
1993,영등포구,"24,435,123.6","105,951.0","104,114.0",-,-,"202,842.0","9,443,751.6","875,075.2","492,569.6","3,961,693.2","262,149.9","7,993,240.6","378,289.6","43,829.5","101,774.9","129,629.0","129,542.3",-,-,"116,614.9",-,358,"93,698.0",-,-,-,-,-
1994,영등포구,"24,564,478.5","101,434.0","101,631.0",-,-,"202,596.0","9,412,564.9","868,810.7","501,208.6","4,007,895.7","266,397.9","8,054,206.1","414,250.6","43,933.5","101,774.9","136,987.3","143,162.4",-,-,"118,076.9",-,358,"89,190.0",-,-,-,-,-
1995,영등포구,"24,564,337.7","99,044.0","99,591.0",-,-,"202,527.0","9,404,827.8","868,109.7","501,208.6","4,019,162.0","268,769.9","8,054,196.1","413,638.4","43,786.5","101,774.9","136,987.3","143,774.6",-,-,"118,523.9",-,358,"88,058.0",-,-,-,-,-
1996,영등포구,"24,564,765.8","91,355.0","98,506.0",-,-,"196,433.0","9,427,923.9","829,735.7","501,103.6","4,040,773.0","269,183.9","8,062,736.1","412,648.4","43,594.5","101,774.9","136,987.3","146,845.6",-,-,"118,398.9",-,358,"86,408.0",-,-,-,-,-
1997,영등포구,"24,565,780.0","74,140.0","96,028.0",-,-,"163,041.0","9,526,750.9","750,820.9","501,103.6","4,069,690.8","267,616.9","8,062,765.1","412,648.4","41,464.5","109,724.9","136,987.3","147,105.8",-,-,"119,256.9",-,358,"86,277.0",-,-,-,-,-
1998,영등포구,"24,566,257.5","67,542.0","91,967.0",-,-,"161,441.0","9,500,084.1","743,373.6","499,547.6","4,096,381.4","267,784.1","8,067,760.1","412,044.4","41,279.5","109,724.9","149,941.3","151,747.0",-,-,"120,105.5",-,358,"85,176.0",-,-,-,-,-
1999,영등포구,"24,566,904.0","67,469.0","91,967.0",-,-,"145,205.0","9,532,562.4","715,043.8","499,294.6","4,138,844.9","266,593.9","8,067,760.1","412,044.4","40,841.5","109,724.9","148,962.3","153,700.0",-,-,"121,557.5",-,358,"54,974.7",-,-,-,-,-
2000,영등포구,"24,566,563.4","66,720.0","90,791.0",-,-,"144,609.0","9,533,175.3","711,529.6","499,294.6","4,144,001.1","266,593.9","8,066,832.1","411,821.4","40,841.5","109,724.9","148,962.3","153,302.0",-,-,"122,094.5",-,305,"55,965.2",-,-,-,-,-
2001,영등포구,"24,566,524.4","66,707.0","90,279.0",-,-,"143,588.0","9,693,211.6","513,790.1","503,058.3","4,187,850.0","266,533.9","8,063,882.1","409,140.4","40,801.5","109,724.9","148,962.3","149,495.1",-,-,"123,970.0",-,305,"55,225.2",-,-,-,-,-
2002,영등포구,"24,566,493.3","62,025.0","84,848.0",-,-,"141,533.0","9,586,253.7","452,913.1","506,484.0","4,247,330.1","265,878.9","8,029,603.1","399,086.4","40,781.5","109,724.9","87,647.3","332,302.4",-,-,"124,794.9",-,305,"52,481.2",-,"36,469.2","6,031.6",-,-
2003,영등포구,"24,572,743.9","53,699.0","66,229.0",0,0,"101,076.6","9,582,820.1","437,115.3","506,484.0","4,081,788.9","265,179.9","8,024,928.1","399,086.4","40,672.5","109,724.9","87,647.3","579,323.9",0,0,"128,373.1",0,222,"46,016.2",0,"39,225.9","9,079.9","14,050.9",0
2004,영등포구,"24,564,790.3","52,849.0","57,807.0",0,0,"94,612.6","9,591,387.6","424,944.4","506,484.0","4,084,513.7","262,197.9","8,024,206.1","399,086.4","40,510.5","109,724.9","87,647.3","591,437.9",0,0,"128,467.1",0,222,"46,335.2",0,"39,225.9","9,079.9","14,050.9",0
2005,영등포구,"24,566,410.4","52,012.0","57,602.0",0,0,"95,325.6","9,568,298.2","416,795.1","516,872.2","4,088,647.0","262,197.9","8,024,206.1","398,939.4","40,113.5","109,724.9","87,647.3","592,083.7",0,0,"146,613.8",0,222,"46,011.5",0,"39,967.4","9,079.9","14,050.9",0
2006,영등포구,"24,566,231.1","51,870.0","52,680.0",-,-,"90,527.5","9,555,758.0","404,275.2","516,872.2","4,131,763.0","262,183.9","8,023,876.1","385,654.4","38,386.5","109,724.9","87,647.3","594,900.9",-,-,"150,448.8",-,138,"46,054.2",-,"40,339.4","9,079.9","14,050.9",-
2007,영등포구,"24,565,909.6","50,864.0","43,801.0",-,-,"79,800.7","9,625,664.2","308,760.2","516,872.2","4,150,049.1","262,183.9","8,023,876.1","385,654.4","38,373.5","109,724.9","87,647.3","585,561.3","16,498.0",-,"171,083.4",-,131,"44,138.1",-,"42,007.5","9,167.9","14,050.9",-
