"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,종로구,"24,004,522.0","1,082,933.0",-,-,-,"9,605,091.0","8,423,369.0",-,"741,642.0","2,069,473.0",308,"274,610.0","10,610.0","172,951.0",-,74,"195,010.0",-,-,"116,148.0","1,179,512.0","18,797.0","113,994.0",-,-,-,-,-
1991,종로구,"24,005,425.0","1,069,177.0",-,-,-,"9,598,342.0","8,427,038.0",-,"741,642.0","2,084,806.0",295,"274,610.0","10,610.0","174,005.0",-,74,"196,612.0",-,-,"116,419.0","1,179,512.0","18,797.0","113,486.0",-,-,-,-,-
1992,종로구,"24,005,269.9","1,040,557.0",-,-,-,"9,585,548.9","8,440,861.0",-,"742,694.0","2,099,845.2",294.8,"274,610.2","10,609.7","172,622.8",-,74,"202,391.0",-,-,"122,787.1","1,179,511.5","18,797.0","114,065.7",-,-,-,-,-
1993,종로구,"24,005,125.7","1,014,000.0",-,-,-,"9,580,946.4","8,475,080.1",-,"731,968.8","2,103,605.7",294.8,"274,621.8","10,609.7","172,554.7",-,74,"202,402.1",-,-,"126,399.7","1,179,631.9","18,797.0","114,139.0",-,-,-,-,-
1994,종로구,"23,915,259.6","992,200.6",-,-,-,"9,500,153.9","8,335,957.2",-,"857,221.9","2,162,718.0",496.9,"278,708.2","10,946.9","182,516.0",-,74,"204,518.9",-,-,"77,189.9","1,180,274.4","18,797.0","113,485.8",-,-,-,-,-
1995,종로구,"23,915,630.2","981,935.6",-,-,-,"9,497,759.2","8,337,828.8",-,"857,073.5","2,174,890.3",496.9,"278,657.2","10,946.9","182,178.2",-,74,"206,366.3",-,-,"78,253.0","1,180,227.3","18,797.0","110,146.0",-,-,-,-,-
1996,종로구,"23,917,606.0","956,887.6",-,-,-,"9,494,413.2","8,369,168.9",-,"857,908.2","2,166,628.8",496.9,"278,657.2","10,946.9","181,665.6",-,74,"206,366.3",-,-,"85,222.1","1,180,227.3","18,797.0","110,146.0",-,-,-,-,-
1997,종로구,"23,917,828.3","927,456.6",-,-,-,"9,488,030.8","8,379,351.8",-,"844,561.2","2,208,518.7",496.9,"278,826.2","10,946.9","180,898.8",-,-,"204,516.8",-,-,"85,382.8","1,179,897.8","18,797.0","110,146.0",-,-,-,-,-
1998,종로구,"23,914,458.5","926,850.3",-,-,-,"9,470,834.0","8,359,827.9",-,"844,561.2","2,215,231.1",492.3,"278,465.2","10,946.9","178,863.1",-,-,"209,766.7",-,-,"89,044.9","1,201,358.9","18,797.0","109,419.0",-,-,-,-,-
1999,종로구,"23,913,919.3","915,962.3",-,-,-,"9,438,844.6","8,343,141.0",-,"854,420.2","2,223,882.2",492.3,"278,465.2","10,946.9","178,821.7",-,-,"254,408.1",-,-,"93,251.9","1,201,358.9","10,505.0","109,419.0",-,-,-,-,-
2000,종로구,"23,913,969.8","910,982.3",-,-,-,"9,439,874.3","8,334,267.7",-,"854,405.4","2,234,620.9",492.3,"278,419.6","10,946.9","178,677.3",-,-,"255,227.9",-,-,"94,068.9","1,201,358.9","10,505.0","110,122.4",-,-,-,-,-
2001,종로구,"23,913,180.4","907,492.3",-,-,-,"9,447,163.7","8,319,531.9",-,"854,405.4","2,244,590.0",492.3,"278,557.6","10,946.9","178,641.4",-,-,"255,421.6",-,-,"93,951.0","1,201,358.9","10,505.0","110,122.4",-,-,-,-,-
2002,종로구,"23,913,178.6","900,196.3",-,-,-,"9,452,386.1","8,295,597.9",-,"854,400.4","2,255,087.8",492.3,"278,598.6","10,946.9","178,083.8",-,-,"255,797.9",-,-,"94,053.0","1,201,358.9","10,505.0","109,711.4",-,"10,236.8","5,725.5",-,-
