Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2012,합계,161,"27,156",21,"10,366",28,"6,436",33,"3,833",22,"1,293",16,842,31,"2,940",9,"1,431",78.1,85.6,84.5,65,54.2,69.4,89,"2,218,490","1,143,817","1,074,673",1,15,,,,,,,,,,,,,,,,,,,
2012,종로구,11,"1,137",-,-,-,-,1,80,3,181,2,80,3,568,1,213,-,-,93.1,46.7,29.9,-,96.9,"20,226","19,707",519,1,15,,,,,,,,,,,,,,,,,,,
2012,중구,32,"7,977",6,"3,568",7,"1,996",9,"1,152",-,-,3,167,4,524,3,570,81.2,88.5,91.4,-,79.4,97.6,85.6,"820,330","471,151","349,179",-,-,,,,,,,,,,,,,,,,,,,
2012,용산구,6,"1,434",1,607,1,286,3,490,1,51,-,-,-,-,-,-,84,74.2,82.6,72.4,-,-,-,"154,147","73,032","81,115",-,-,,,,,,,,,,,,,,,,,,,
2012,성동구,2,120,-,-,-,-,-,-,1,64,1,56,-,-,-,-,-,-,-,79.7,93.1,-,-,"2,579","2,402",177,-,-,,,,,,,,,,,,,,,,,,,
2012,광진구,4,"1,245",1,930,-,-,2,231,-,-,-,-,1,84,-,-,69.1,-,86,-,-,-,-,"177,045","60,132","116,912",-,-,,,,,,,,,,,,,,,,,,,
2012,동대문구,3,190,-,-,-,-,1,90,1,54,-,-,1,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2012,중랑구,2,118,-,-,-,-,-,-,-,-,1,49,1,69,-,-,-,-,-,-,92.1,-,-,970,970,-,-,-,,,,,,,,,,,,,,,,,,,
2012,성북구,3,208,-,-,1,128,-,-,1,50,-,-,1,30,-,-,-,84,-,65.4,-,-,-,"7,618","4,871","2,747",-,-,,,,,,,,,,,,,,,,,,,
2012,강북구,2,163,-,-,-,-,2,163,-,-,-,-,-,-,-,-,-,-,95.6,-,-,-,-,"6,743","2,921","3,822",-,-,,,,,,,,,,,,,,,,,,,
2012,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,17.6,-,-,160,149,11,-,-,,,,,,,,,,,,,,,,,,,
2012,노원구,1,85,-,-,-,-,1,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2012,은평구,2,116,-,-,-,-,-,-,1,64,1,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2012,서대문구,1,503,1,503,-,-,-,-,-,-,-,-,-,-,-,-,53.5,-,-,-,-,-,-,"42,747","16,222","26,525",-,-,,,,,,,,,,,,,,,,,,,
2012,마포구,8,"1,199",-,-,4,"1,020",-,-,-,-,1,44,1,40,2,95,-,88.9,-,-,-,42.9,-,"29,566","24,359","5,207",-,-,,,,,,,,,,,,,,,,,,,
2012,강서구,16,"1,247",1,239,2,295,3,195,2,80,-,-,8,438,-,-,78.8,93.2,88.8,61.7,-,82.9,-,"33,989","16,345","17,644",-,-,,,,,,,,,,,,,,,,,,,
2012,구로구,2,470,1,269,1,201,-,-,-,-,-,-,-,-,-,-,78.8,-,-,-,-,-,-,"24,821","14,431","10,391",-,-,,,,,,,,,,,,,,,,,,,
2012,금천구,3,342,-,-,1,219,-,-,-,-,-,-,2,123,-,-,-,81.9,-,-,-,88.9,-,"16,665","9,801","6,865",-,-,,,,,,,,,,,,,,,,,,,
2012,영등포구,7,"1,303",-,-,2,518,1,107,2,141,-,-,1,434,1,103,31.1,86.9,82.4,68.9,-,116.2,94.8,"42,513","27,662","14,852",-,-,,,,,,,,,,,,,,,,,,,
2012,서초구,9,"1,618",2,773,2,370,1,94,2,140,1,71,-,-,1,170,83.4,77.5,-,63,22.5,-,81.5,"174,263","66,732","107,531",-,-,,,,,,,,,,,,,,,,,,,
2012,강남구,35,"6,474",7,"2,995",7,"1,403",7,922,5,297,4,222,4,355,1,280,79.4,84.4,78.1,73.1,47.1,40.7,90.7,"584,853","294,092","290,761",-,-,,,,,,,,,,,,,,,,,,,
2012,송파구,6,877,1,482,-,-,2,224,3,171,-,-,-,-,-,-,77.6,-,67.6,67.1,-,19.6,-,"75,873","35,837","40,036",-,-,,,,,,,,,,,,,,,,,,,
2012,강동구,5,279,-,-,-,-,-,-,-,-,1,50,4,229,-,-,-,-,-,-,52.3,75.4,-,"3,383","3,004",379,-,-,,,,,,,,,,,,,,,,,,,
