Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,강북구,2,140,-,-,-,-,2,140,-,-,-,-,-,-,-,-,-,-,50.7,-,-,-,-,"5,342","2,346","2,995",,,,,,,,,,,,,,,,,,,,,
2009,강북구,2,140,-,-,-,-,2,140,-,-,-,-,-,-,-,-,-,-,78.6,-,-,-,-,"6,512","2,271","4,241",,,,,,,,,,,,,,,,,,,,,
2010,강북구,2,140,-,-,-,-,2,140,-,-,-,-,-,-,-,-,-,-,87.4,-,-,-,-,"7,061","2,577","4,484",,,,,,,,,,,,,,,,,,,,,
2011,강북구,2,124,-,-,-,-,2,124,-,-,-,-,-,-,-,-,-,-,96.6,-,-,-,-,"6,804","2,952","3,852",,,,,,,,,,,,,,,,,,,,,
2012,강북구,2,163,-,-,-,-,2,163,-,-,-,-,-,-,-,-,-,-,95.6,-,-,-,-,"6,743","2,921","3,822",-,-,,,,,,,,,,,,,,,,,,,
2013,강북구,3,240,-,-,-,-,2,164,-,-,-,-,1,76,-,-,-,-,87,-,-,-,-,"7,287","2,378","4,909",-,-,,,,,,,,,,,,,,,,,,,
2014,강북구,3,238,-,-,-,-,2,162,-,-,1,76,-,-,-,-,-,-,88.1,-,-,-,-,"1,509",512,997,-,-,,,,,,,,,,,,,,,,,,,
2015,강북구,4,348,-,-,-,-,3,240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,108,,,,,,,,,,,,,,,,,,,
2016,강북구,5,372,-,-,-,-,3,240,-,-,-,-,-,-,-,-,-,-,98.3,-,-,-,-,"2,005","2,005",-,2,132,,,,,,,,,,,,,,,,,,,
2017,강북구,5,388,,,,,,,,,,,2,164,-,-,,,,,,-,-,"1,333","1,333",-,2,148,-,-,-,-,1,76,-,-,-,-,-,-,-,-,80.4,-,-,-,-
2018,강북구,5,372,,,,,,,,,,,-,-,-,-,,,,,,-,-,"2,473","2,384",89,2,132,-,-,-,-,2,188,-,-,1,52,-,-,-,-,-,74.9,67.8,-,-
2019,강북구,5,372,,,,,,,,,,,1,52,-,-,,,,,,…,…,…,…,…,2,132,-,-,-,-,2,188,-,-,-,-,-,-,…,…,…,…,…,…,…
