Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,금천구,3,353,-,-,1,230,-,-,-,-,-,-,2,123,-,-,-,80.3,-,-,-,64.9,-,"17,588","10,255","7,332",,,,,,,,,,,,,,,,,,,,,
2009,금천구,3,353,-,-,1,230,-,-,-,-,-,-,2,123,-,-,-,80.3,-,-,-,74.2,-,"16,621","9,903","6,718",,,,,,,,,,,,,,,,,,,,,
2010,금천구,3,342,-,-,1,219,-,-,-,-,-,-,2,123,-,-,-,85.4,-,-,-,72.2,-,"18,554","10,868","7,686",,,,,,,,,,,,,,,,,,,,,
2011,금천구,3,353,-,-,1,231,-,-,-,-,-,-,2,122,-,-,-,81.9,-,-,-,-,-,"15,780","8,221","7,559",,,,,,,,,,,,,,,,,,,,,
2012,금천구,3,342,-,-,1,219,-,-,-,-,-,-,2,123,-,-,-,81.9,-,-,-,88.9,-,"16,665","9,801","6,865",-,-,,,,,,,,,,,,,,,,,,,
2013,금천구,3,342,-,-,1,219,-,-,-,-,-,-,2,123,-,-,-,77.3,-,-,-,91,-,"14,739","8,393","6,346",-,-,,,,,,,,,,,,,,,,,,,
2014,금천구,3,342,-,-,1,219,-,-,-,-,-,-,2,123,-,-,-,76.2,-,-,-,86.8,-,"13,681","8,807","4,873",-,-,,,,,,,,,,,,,,,,,,,
2015,금천구,3,341,-,-,1,218,-,-,-,-,-,-,2,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2016,금천구,3,341,-,-,1,218,-,-,-,-,-,-,2,123,-,-,-,70,-,-,-,-,-,"11,263","5,650","5,613",-,-,,,,,,,,,,,,,,,,,,,
2017,금천구,4,450,,,,,,,,,,,3,232,-,-,,,,,,59.7,-,"12,747","7,596","5,151",-,-,-,-,1,218,-,-,-,-,-,-,-,-,-,54.5,-,-,-,-,-
2018,금천구,7,899,,,,,,,,,,,3,299,-,-,,,,,,70.7,-,"14,898","10,214","4,684",2,273,-,-,1,218,1,109,-,-,-,-,-,-,-,61.9,70.3,-,-,16.9,-
2019,금천구,9,"1,197",,,,,,,,,,,3,381,-,-,,,,,,…,…,"13,017","6,482","6,536",3,313,-,-,1,218,2,285,-,-,-,-,-,-,…,68.8,76,…,…,…,…
