Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,19.5,-,-,150,126,24,,,,,,,,,,,,,,,,,,,,,
2009,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,24.3,-,-,202,173,29,,,,,,,,,,,,,,,,,,,,,
2010,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,32.9,-,-,337,294,43,,,,,,,,,,,,,,,,,,,,,
2011,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,23.6,-,-,244,216,28,,,,,,,,,,,,,,,,,,,,,
2012,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,17.6,-,-,160,149,11,-,-,,,,,,,,,,,,,,,,,,,
2013,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,17,-,-,171,171,-,-,-,,,,,,,,,,,,,,,,,,,
2014,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,24.3,-,-,204,204,-,-,-,,,,,,,,,,,,,,,,,,,
2015,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,23.2,-,-,179,179,-,-,-,,,,,,,,,,,,,,,,,,,
2016,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,41.9,-,-,274,274,-,-,-,,,,,,,,,,,,,,,,,,,
2017,도봉구,3,183,,,,,,,,,,,-,-,-,-,,,,,,-,-,81,81,-,-,-,-,-,-,-,-,-,1,72,2,111,-,-,-,-,-,-,9.8,-,-
2018,도봉구,3,183,,,,,,,,,,,-,-,-,-,,,,,,-,-,751,751,-,-,-,-,-,-,-,-,-,1,72,2,111,-,-,-,-,-,-,68.6,-,-
2019,도봉구,3,156,,,,,,,,,,,-,-,-,-,,,,,,…,…,960,960,…,1,24,-,-,-,-,-,-,1,72,1,60,-,-,…,…,…,…,69.2,…,…
