Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,송파구,5,812,1,482,-,-,2,211,2,119,-,-,-,-,-,-,71.2,-,70.6,62.1,-,-,-,"80,920","23,942","56,978",,,,,,,,,,,,,,,,,,,,,
2009,송파구,5,812,1,482,-,-,2,211,2,119,-,-,-,-,-,-,87,-,70.6,53.9,-,-,-,"60,869","27,235","33,634",,,,,,,,,,,,,,,,,,,,,
2010,송파구,5,826,1,482,-,-,2,225,2,119,-,-,-,-,-,-,87.9,-,66.1,69.2,-,-,-,"67,565","30,057","37,508",,,,,,,,,,,,,,,,,,,,,
2011,송파구,5,779,1,482,-,-,2,181,2,116,-,-,-,-,-,-,82.6,-,68,72.8,-,-,-,"73,439","34,015","39,425",,,,,,,,,,,,,,,,,,,,,
2012,송파구,6,877,1,482,-,-,2,224,3,171,-,-,-,-,-,-,77.6,-,67.6,67.1,-,19.6,-,"75,873","35,837","40,036",-,-,,,,,,,,,,,,,,,,,,,
2013,송파구,8,"1,044",1,482,-,-,2,225,3,171,-,-,2,166,-,-,72.4,-,69.1,61.8,-,59.7,-,"76,055","36,111","39,944",-,-,,,,,,,,,,,,,,,,,,,
2014,송파구,8,"1,037",1,482,-,-,3,305,3,167,-,-,1,83,-,-,74.7,-,72.6,67,-,77.7,-,"74,790","38,096","36,694",-,-,,,,,,,,,,,,,,,,,,,
2015,송파구,9,"1,087",1,482,-,-,2,175,3,254,1,53,2,123,-,-,66.6,-,-,-,-,-,-,"56,753","21,578","35,176",-,-,,,,,,,,,,,,,,,,,,,
2016,송파구,14,"1,274",1,482,-,-,3,227,3,242,1,53,5,264,-,-,73,-,71.8,-,92.4,-,-,"63,288","29,486","33,802",1,6,,,,,,,,,,,,,,,,,,,
2017,송파구,17,"2,034",,,,,,,,,,,2,136,-,-,,,,,,-,-,"93,705","44,175","49,531",1,6,2,717,-,-,4,699,6,403,1,53,1,20,61.4,-,73.8,68.8,79.7,-,-
2018,송파구,18,"2,087",,,,,,,,,,,1,53,-,-,,,,,,-,-,"123,797","60,484","63,312",1,6,2,717,-,-,4,699,6,403,3,189,1,20,66.1,-,44.4,76.6,-,153,-
2019,송파구,20,"2,184",,,,,,,,,,,2,121,-,-,,,,,,…,…,"117,673","58,243","59,430",1,6,2,717,-,-,4,699,6,403,3,189,2,49,71.6,…,80.3,77.5,52.4,85.5,…
