Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,종로구,8,635,-,-,-,-,1,80,4,262,2,80,-,-,1,213,-,-,74.9,48,32,-,89.4,"16,109","15,476",633,,,,,,,,,,,,,,,,,,,,,
2009,종로구,8,635,-,-,-,-,1,80,4,262,2,80,-,-,1,213,-,-,82,64.9,32,-,89.3,"13,136","12,702",434,,,,,,,,,,,,,,,,,,,,,
2010,종로구,8,635,-,-,-,-,1,80,4,262,2,80,-,-,1,213,-,-,86.9,70.7,33.2,-,92.8,"18,360","17,974",386,,,,,,,,,,,,,,,,,,,,,
2011,종로구,8,635,-,-,-,-,1,80,4,262,2,80,-,-,1,213,-,-,88.4,70.9,33,-,94.3,"19,294","18,940",355,,,,,,,,,,,,,,,,,,,,,
2012,종로구,11,"1,137",-,-,-,-,1,80,3,181,2,80,3,568,1,213,-,-,93.1,46.7,29.9,-,96.9,"20,226","19,707",519,1,15,,,,,,,,,,,,,,,,,,,
2013,종로구,19,"1,838",-,-,3,568,1,80,3,181,3,114,3,563,1,213,-,81.7,91.5,43.3,34,-,92.9,"23,597","21,867","1,730",5,119,,,,,,,,,,,,,,,,,,,
2014,종로구,27,"2,214",1,170,3,568,2,443,3,181,3,114,3,304,1,213,60.8,82.1,81.4,50.2,60.5,-,95.3,"47,709","39,644","8,065",11,221,,,,,,,,,,,,,,,,,,,
2015,종로구,33,"3,125",1,170,3,568,4,689,3,129,4,192,3,894,1,213,-,-,84.2,37.3,42.2,-,-,"2,956","2,452",504,14,270,,,,,,,,,,,,,,,,,,,
2016,종로구,37,"3,298",2,487,1,250,5,844,4,179,3,142,5,882,1,213,77.1,84.8,63.6,83.8,52.5,-,51.5,"70,168","52,419","17,749",16,301,,,,,,,,,,,,,,,,,,,
2017,종로구,38,"3,434",,,,,,,,,,,1,83,1,213,,,,,,-,62.9,"56,752","51,983","4,769",17,404,2,487,1,338,7,"1,351",6,416,3,142,-,-,-,74.1,72.5,58.9,35.4,-,-
2018,종로구,41,"3,656",,,,,,,,,,,1,127,1,213,,,,,,-,-,"54,807","49,962","4,844",17,397,2,487,1,339,8,"1,430",9,599,2,64,-,-,-,80.3,83,73.5,46.6,-,-
2019,종로구,44,"4,151",,,,,,,,,,,7,993,1,213,,,,,,48.8,88.1,"101,704","86,941","14,762",17,396,2,487,-,-,7,"1,351",8,647,2,64,-,-,77.1,…,85.6,81.9,54.4,93.4,…
