Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,중구,27,"7,306",6,"3,549",8,"2,213",8,928,-,-,3,158,-,-,2,458,71.6,82,84.2,-,67.8,-,87.2,"564,854","276,637","288,217",,,,,,,,,,,,,,,,,,,,,
2009,중구,29,"7,505",6,"3,549",8,"2,213",9,"1,136",-,-,3,158,-,-,3,449,77.6,84.4,91.3,-,85.8,-,80.3,"619,316","338,430","280,887",,,,,,,,,,,,,,,,,,,,,
2010,중구,29,"7,547",6,"3,470",8,"2,213",9,"1,136",-,-,3,158,-,-,3,570,80.2,88.1,93,-,85.1,-,91.2,"654,130","369,466","284,664",,,,,,,,,,,,,,,,,,,,,
2011,중구,28,"7,231",6,"3,643",7,"1,901",9,"1,137",-,-,2,117,1,-,3,433,80.6,88.5,93.3,-,74.2,-,67.3,"624,842","357,173","267,669",,,,,,,,,,,,,,,,,,,,,
2012,중구,32,"7,977",6,"3,568",7,"1,996",9,"1,152",-,-,3,167,4,524,3,570,81.2,88.5,91.4,-,79.4,97.6,85.6,"820,330","471,151","349,179",-,-,,,,,,,,,,,,,,,,,,,
2013,중구,38,"8,845",6,"3,584",7,"2,042",13,"1,543",-,-,2,117,6,843,4,716,74.2,86.4,82.2,-,66.6,67.5,92.6,"659,610","346,048","313,563",-,-,,,,,,,,,,,,,,,,,,,
2014,중구,43,"9,756",6,"3,584",7,"2,032",16,"2,182",1,136,3,167,5,744,4,716,77.1,86,81.7,-,61.1,88.8,94,"696,377","390,986","305,391",1,195,,,,,,,,,,,,,,,,,,,
2015,중구,65,"12,401",7,"3,918",8,"2,163",22,"3,134",3,643,1,52,13,"1,680",4,676,65.4,74.4,73.5,73.7,69.4,79.5,69.5,"665,677","364,205","301,472",7,135,,,,,,,,,,,,,,,,,,,
2016,중구,80,"15,316",7,"3,918",13,"4,070",24,"3,868",5,604,1,35,12,"1,406",5,"1,084",73.8,75,83.7,93.2,86.6,62.3,81.7,"795,873","486,036","309,837",13,331,,,,,,,,,,,,,,,,,,,
2017,중구,88,"16,128",,,,,,,,,,,4,400,5,"1,084",,,,,,74.9,83.4,"805,673","472,627","333,046",18,393,6,"3,585",16,"5,223",30,"4,549",7,834,1,35,1,25,62.7,73.9,76.9,85.6,81.6,-,-
2018,중구,97,"17,807",,,,,,,,,,,7,"1,334",6,"1,276",,,,,,78.8,88.2,"855,733","520,681","335,052",20,415,7,"3,916",14,"4,664",32,"4,968",9,"1,174",1,35,1,25,66,79.7,82.4,87.3,90.3,-,-
2019,중구,101,"17,879",,,,,,,,,,,-,-,6,"1,276",,,,,,84.2,84.7,"474,801","287,745","187,056",25,511,7,"3,916",14,"4,662",36,"5,999",12,"1,491",-,-,1,24,75.3,80.5,82.5,83,88,64.4,…
