"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2012,합계,285,87,198,19,101,165
2012,종로구,97,11,86,1,19,77
2012,중구,29,13,16,2,18,9
2012,용산구,7,5,2,2,3,2
2012,성동구,3,2,1,-,2,1
2012,광진구,13,4,9,3,7,3
2012,중랑구,1,1,-,-,1,-
2012,성북구,5,5,-,-,2,3
2012,강북구,3,3,-,-,1,2
2012,도봉구,3,3,-,-,1,2
2012,노원구,4,2,2,1,1,2
2012,은평구,1,1,-,-,1,-
2012,서대문구,7,1,6,-,4,3
2012,마포구,19,2,17,-,4,15
2012,양천구,5,2,3,-,4,1
2012,강서구,1,1,-,-,1,-
2012,구로구,7,2,5,1,4,2
2012,금천구,4,3,1,-,2,2
2012,영등포구,8,1,7,1,5,2
2012,관악구,1,1,-,-,1,-
2012,서초구,18,9,9,3,8,7
2012,강남구,31,7,24,2,6,23
2012,송파구,13,5,8,3,4,6
2012,강동구,5,3,2,-,2,3
