"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,강남구,4,…,…,-,1,3
1994,강남구,4,…,…,-,1,3
1995,강남구,5,…,…,-,-,5
1996,강남구,3,…,…,-,1,2
1997,강남구,3,…,…,-,1,2
1999,강남구,4,…,…,-,1,3
2000,강남구,6,…,…,1,2,3
2001,강남구,4,…,…,1,1,2
2002,강남구,11,…,…,1,3,7
2003,강남구,11,…,…,1,2,8
2004,강남구,9,4,5,1,1,7
2005,강남구,16,6,10,1,4,11
2006,강남구,20,6,14,2,4,14
2007,강남구,22,6,16,2,5,15
2008,강남구,23,7,16,2,5,16
2009,강남구,22,2,20,2,6,14
2010,강남구,29,7,22,2,6,21
2011,강남구,26,7,19,2,6,18
2012,강남구,31,7,24,2,6,23
2013,강남구,29,5,24,2,6,21
2014,강남구,29,…,…,2,6,21
2015,강남구,28,…,…,2,6,20
2016,강남구,32,5,27,2,8,22
2017,강남구,34,5,29,2,8,24
2018,강남구,37,5,32,2,8,27
2019,강남구,39,5,34,2,8,29
