"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,광진구,-,…,…,-,-,-
1994,광진구,-,…,…,-,-,-
1995,광진구,1,…,…,-,-,1
1996,광진구,5,…,…,1,1,3
1997,광진구,5,…,…,1,1,3
1999,광진구,4,…,…,1,1,2
2000,광진구,4,…,…,1,1,2
2001,광진구,7,…,…,3,1,3
2002,광진구,7,…,…,3,3,1
2003,광진구,8,…,…,3,5,-
2004,광진구,7,-,7,3,3,1
2005,광진구,8,2,6,3,4,1
2006,광진구,9,3,6,3,5,1
2007,광진구,10,3,7,3,5,2
2008,광진구,9,3,6,3,5,1
2009,광진구,10,3,7,3,5,2
2010,광진구,12,4,8,3,6,3
2011,광진구,12,4,8,3,6,3
2012,광진구,13,4,9,3,7,3
2013,광진구,15,4,11,3,8,4
2014,광진구,15,…,…,3,8,4
2015,광진구,15,…,…,3,8,4
2016,광진구,14,3,11,4,8,2
2017,광진구,13,3,10,3,8,2
2018,광진구,12,3,9,2,8,2
2019,광진구,12,3,9,2,8,2
