"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,노원구,1,…,…,-,-,1
1994,노원구,1,…,…,-,-,1
1995,노원구,1,…,…,-,-,1
1996,노원구,1,…,…,-,-,1
1997,노원구,1,…,…,-,-,1
1999,노원구,-,…,…,-,-,-
2000,노원구,1,…,…,-,1,-
2001,노원구,4,…,…,1,1,2
2002,노원구,4,…,…,1,-,3
2003,노원구,4,…,…,1,3,-
2004,노원구,3,1,2,1,-,2
2005,노원구,5,3,2,1,1,3
2006,노원구,5,3,2,1,1,3
2007,노원구,5,3,2,1,1,3
2008,노원구,5,3,2,1,1,3
2009,노원구,4,2,2,1,1,2
2010,노원구,4,2,2,1,1,2
2011,노원구,4,2,2,1,1,2
2012,노원구,4,2,2,1,1,2
2013,노원구,4,3,1,1,1,2
2014,노원구,4,…,…,1,1,2
2015,노원구,4,…,…,1,1,2
2016,노원구,4,3,1,1,2,1
2017,노원구,5,3,2,1,2,2
2018,노원구,5,3,2,1,2,2
2019,노원구,5,3,2,1,2,2
