"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,동작구,-,…,…,-,-,-
1994,동작구,-,…,…,-,-,-
1995,동작구,-,…,…,-,-,-
1996,동작구,-,…,…,-,-,-
1997,동작구,-,…,…,-,-,-
1999,동작구,-,…,…,-,-,-
2000,동작구,-,…,…,-,-,-
2001,동작구,1,…,…,-,1,-
2002,동작구,-,…,…,-,-,-
2003,동작구,-,…,…,-,-,-
2013,동작구,1,-,1,-,1,-
2014,동작구,1,…,…,-,1,-
2015,동작구,1,…,…,-,1,-
2016,동작구,1,-,1,-,1,-
2017,동작구,2,-,2,-,1,1
2018,동작구,2,-,2,-,1,1
2019,동작구,2,-,2,-,1,1
