"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,성북구,3,…,…,-,-,3
1994,성북구,3,…,…,-,-,3
1995,성북구,-,…,…,-,-,-
1996,성북구,-,…,…,-,-,-
1997,성북구,-,…,…,-,-,-
1999,성북구,-,…,…,-,-,-
2000,성북구,-,…,…,-,-,-
2001,성북구,3,…,…,-,1,2
2002,성북구,3,…,…,-,-,3
2003,성북구,3,…,…,-,-,3
2004,성북구,3,3,-,-,-,3
2005,성북구,3,3,-,-,-,3
2006,성북구,3,3,-,-,-,3
2007,성북구,3,3,-,-,-,3
2008,성북구,5,5,-,-,2,3
2009,성북구,5,5,-,-,2,3
2010,성북구,5,5,-,-,2,3
2011,성북구,5,5,-,-,2,3
2012,성북구,5,5,-,-,2,3
2013,성북구,6,5,1,-,2,4
2014,성북구,6,…,…,-,2,4
2015,성북구,7,…,…,-,2,5
2016,성북구,7,5,2,-,2,5
2017,성북구,9,5,4,-,2,7
2018,성북구,10,5,5,-,2,8
2019,성북구,12,6,6,-,2,10
