"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,영등포구,-,…,…,-,-,-
1994,영등포구,-,…,…,-,-,-
1995,영등포구,-,…,…,-,-,-
1996,영등포구,-,…,…,-,-,-
1997,영등포구,-,…,…,-,-,-
1999,영등포구,-,…,…,-,-,-
2000,영등포구,-,…,…,-,-,-
2001,영등포구,3,…,…,1,-,2
2002,영등포구,3,…,…,1,1,1
2003,영등포구,2,…,…,1,-,1
2004,영등포구,3,-,3,1,1,1
2005,영등포구,2,1,1,1,-,1
2006,영등포구,3,1,2,1,1,1
2007,영등포구,3,1,2,1,1,1
2008,영등포구,3,1,2,1,1,1
2009,영등포구,6,2,4,1,4,1
2010,영등포구,6,2,4,1,4,1
2011,영등포구,7,2,5,1,4,2
2012,영등포구,8,1,7,1,5,2
2013,영등포구,7,2,5,1,5,1
2014,영등포구,8,…,…,1,6,1
2015,영등포구,6,…,…,1,4,1
2016,영등포구,7,3,4,1,4,2
2017,영등포구,7,3,4,1,4,2
2018,영등포구,8,3,5,1,3,4
2019,영등포구,8,3,5,1,3,4
