"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,강서구,20.7,6.7,72.6,22.8
2010,강서구,21.2,5.9,72.9,22.8
2011,강서구,23.9,4.8,71.3,22.9
2012,강서구,24.5,6.4,69.1,23
2013,강서구,20.5,6.1,73.4,22.8
2014,강서구,23.7,6.3,70,23
2015,강서구,24.6,7.1,68.2,23
2016,강서구,26.8,4.6,68.6,23.3
2017,강서구,25.2,6,68.7,23.1
2018,강서구,34.1,4.8,61.1,23.7
2019,강서구,30.7,5.4,64,23.6
