"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,동대문구,20,6.1,73.9,22.7
2010,동대문구,22.7,4.7,72.7,23
2011,동대문구,26.3,5.1,68.6,23.2
2012,동대문구,27.4,4.2,68.4,23.3
2013,동대문구,26.1,4.3,69.6,23.3
2014,동대문구,26.7,6.5,66.8,23.2
2015,동대문구,25.4,5.3,69.3,23.1
2016,동대문구,28,5.3,66.7,23.3
2017,동대문구,27.3,5.3,67.4,23.4
2018,동대문구,26.4,4,69.5,23.5
2019,동대문구,36.1,2.7,61.2,24
