"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,동작구,20.9,7,72.1,22.8
2010,동작구,24.7,5.5,69.8,22.9
2011,동작구,22.5,5.2,72.3,22.9
2012,동작구,23.7,5.6,70.7,23
2013,동작구,23.5,7.3,69.2,22.9
2014,동작구,20.8,6.8,72.3,22.8
2015,동작구,25.7,4.9,69.4,23.2
2016,동작구,21.7,5,73.3,22.8
2017,동작구,25.2,6.1,68.7,23.1
2018,동작구,32.7,3.9,63.4,23.6
2019,동작구,30,6,63.9,23.4
