"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,성동구,22.7,5.9,71.4,22.9
2010,성동구,21.6,6.6,71.9,22.8
2011,성동구,22.1,5.7,72.2,23
2012,성동구,21.7,6.7,71.6,22.8
2013,성동구,24.2,5.5,70.3,23.1
2014,성동구,24.3,5.8,69.9,22.9
2015,성동구,24.1,5.3,70.6,23
2016,성동구,26.1,6.7,67.2,23.1
2017,성동구,26.9,4,69.1,23.3
2018,성동구,32.8,4.3,63,23.7
2019,성동구,32.4,6.7,60.8,23.6
