"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,성북구,22.5,3.6,73.9,23
2010,성북구,23.2,5.7,71.1,23
2011,성북구,23.6,6.5,69.9,22.9
2012,성북구,26.6,5.3,68.1,23.1
2013,성북구,25,5.1,69.9,23.1
2014,성북구,24.5,6.7,68.8,23.1
2015,성북구,25.4,5.2,69.4,23
2016,성북구,28.6,5.8,65.6,23.3
2017,성북구,23.4,5,71.6,23
2018,성북구,39,4.2,56.8,24.2
2019,성북구,32.6,4.8,62.6,23.7
