"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,종로구,21.1,8.2,70.8,22.6
2010,종로구,22.7,5.9,71.3,22.9
2011,종로구,22,4.9,73.2,22.9
2012,종로구,22.7,5.4,72,23.1
2013,종로구,24,5.5,70.5,23
2014,종로구,24.6,6.7,68.7,23.1
2015,종로구,25,6.5,68.5,23.2
2016,종로구,26,5.1,68.8,23.2
2017,종로구,25.8,6.1,68,23.3
2018,종로구,34.5,5.7,59.8,23.8
2019,종로구,34.2,5.3,60.5,23.8
