"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,중구,23.5,5.7,70.8,23
2010,중구,19.7,5.6,74.7,22.7
2011,중구,20.1,6.2,73.6,22.7
2012,중구,20.9,6.1,73,22.8
2013,중구,23.9,7.5,68.6,22.9
2014,중구,25.6,6.6,67.8,23.1
2015,중구,23.6,5,71.4,23.1
2016,중구,25.7,6.4,67.9,23.3
2017,중구,24.5,6.4,69.1,23.2
2018,중구,31.6,8.8,59.6,23.2
2019,중구,29.1,5.3,65.5,23.4
