Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2004,서울시,"12,904","61,556",62,"30,711",116,"9,405","6,283","15,863",6,801,"3,787",82,-,-,33,"2,105","2,607",54,5,11,5,"2,524",,,,,,,,,,
2004,종로구,456,"3,566",5,"3,320",3,111,143,95,-,-,168,40,-,-,-,-,137,-,-,-,-,-,,,,,,,,,,
2004,중구,491,"1,766",3,"1,270",2,213,202,283,-,-,218,-,-,-,-,-,66,-,-,-,-,-,,,,,,,,,,
2004,용산구,253,"1,515",4,"1,315",1,40,112,160,-,-,90,-,-,-,-,-,46,-,-,-,-,-,,,,,,,,,,
2004,성동구,336,"1,933",1,933,6,536,167,419,-,-,93,-,-,-,1,45,68,-,-,-,-,-,,,,,,,,,,
2004,광진구,398,"2,594",2,583,3,153,191,848,-,-,120,-,-,-,1,50,80,-,-,-,1,960,,,,,,,,,,
2004,동대문구,586,"4,319",5,"2,175",6,568,232,697,-,-,121,26,-,-,2,348,218,-,1,5,1,500,,,,,,,,,,
2004,중랑구,405,"1,735",2,455,2,170,223,"1,080",-,-,107,-,-,-,1,30,70,-,-,-,-,-,,,,,,,,,,
2004,성북구,469,"2,312",1,806,6,487,243,758,-,-,128,-,-,-,1,61,89,-,-,-,1,200,,,,,,,,,,
2004,강북구,372,"1,618",1,194,6,542,207,849,-,-,89,-,-,-,1,30,68,3,-,-,-,-,,,,,,,,,,
2004,도봉구,306,"1,247",1,477,3,268,153,405,1,81,84,-,-,-,-,-,64,16,-,-,-,-,,,,,,,,,,
2004,노원구,560,"3,372",4,"2,249",-,-,295,"1,003",1,120,159,-,-,-,-,-,101,-,-,-,-,-,,,,,,,,,,
2004,은평구,462,"2,532",1,267,7,464,236,879,-,-,122,-,-,-,1,58,93,-,-,-,2,864,,,,,,,,,,
2004,서대문구,416,"2,517",2,"1,733",3,162,198,442,-,-,127,9,-,-,1,171,85,-,-,-,-,-,,,,,,,,,,
2004,마포구,474,900,-,-,4,329,243,469,-,-,130,-,-,-,2,102,95,-,-,-,-,-,,,,,,,,,,
2004,양천구,481,"2,115",4,"1,361",2,85,217,556,-,-,148,5,-,-,2,108,108,-,-,-,-,-,,,,,,,,,,
2004,강서구,504,"2,381",1,100,11,860,255,"1,072",1,207,137,-,-,-,3,140,95,-,1,2,-,-,,,,,,,,,,
2004,구로구,384,"1,510",2,774,2,136,196,596,-,-,113,-,-,-,-,-,69,-,2,4,-,-,,,,,,,,,,
2004,금천구,240,851,1,120,3,201,118,460,-,-,70,-,-,-,1,70,47,-,-,-,-,-,,,,,,,,,,
2004,영등포구,571,"4,589",7,"2,968",7,682,254,623,2,222,179,-,-,-,2,94,119,-,1,-,-,-,,,,,,,,,,
2004,동작구,447,"2,186",2,"1,105",5,521,215,560,-,-,128,-,-,-,-,-,97,-,-,-,-,-,,,,,,,,,,
2004,관악구,557,"1,521",1,202,5,382,273,918,-,-,160,-,-,-,-,-,118,19,-,-,-,-,,,,,,,,,,
2004,서초구,770,"2,527",1,828,7,904,352,396,1,171,252,-,-,-,4,228,153,-,-,-,-,-,,,,,,,,,,
2004,강남구,"1,656","4,629",5,"2,869",13,874,909,572,-,-,472,2,-,-,5,312,252,-,-,-,-,-,,,,,,,,,,
2004,송파구,745,"4,293",3,"2,947",4,288,373,855,-,-,216,-,-,-,4,187,145,16,-,-,-,-,,,,,,,,,,
2004,강동구,565,"3,028",3,"1,660",5,429,276,868,-,-,156,-,-,-,1,71,124,-,-,-,-,-,,,,,,,,,,
