Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1988,노원구,168,…,1,500,-,-,100,…,-,-,45,…,-,-,19,…,-,-,3,…,-,…,,,,,,,,,,
1989,노원구,210,…,2,950,-,-,118,…,-,-,59,…,-,-,29,…,-,-,2,…,-,…,,,,,,,,,,
1990,노원구,226,…,2,950,-,-,125,…,-,-,68,…,-,-,31,…,-,-,-,…,-,…,,,,,,,,,,
1991,노원구,238,…,2,950,-,-,132,-,-,-,71,…,-,-,33,…,-,-,-,…,-,…,,,,,,,,,,
1992,노원구,261,…,2,"1,005",-,-,140,…,-,-,81,…,-,-,38,…,-,-,-,…,-,-,,,,,,,,,,
1993,노원구,295,"1,390",2,"1,005",1,71,151,314,-,-,94,-,-,-,47,-,-,-,-,-,-,-,,,,,,,,,,
1994,노원구,317,"1,604",2,"1,005",1,251,167,348,-,-,102,-,-,-,45,-,-,-,-,-,-,-,,,,,,,,,,
1995,노원구,338,"2,366",4,"1,741",2,282,178,343,-,-,104,-,-,-,50,-,-,-,-,-,-,-,,,,,,,,,,
1996,노원구,336,"2,121",4,"1,747",1,31,175,343,-,-,104,-,-,-,52,-,-,-,-,-,-,-,,,,,,,,,,
1997,노원구,349,"2,599",4,"2,177",1,31,185,341,-,-,106,-,-,-,53,50,-,-,-,-,-,-,,,,,,,,,,
1998,노원구,362,"2,656",4,"2,177",1,31,189,398,-,-,111,-,-,-,57,50,-,-,-,-,-,-,,,,,,,,,,
1999,노원구,410,"2,773",4,"2,123",1,31,220,569,-,-,127,-,-,-,58,50,-,-,-,-,-,-,,,,,,,,,,
2000,노원구,433,"2,864",4,"2,118",1,31,237,660,-,-,130,-,-,-,61,55,-,-,-,-,-,-,,,,,,,,,,
2001,노원구,486,"2,884",4,"2,100",-,-,271,784,-,-,139,-,-,-,72,-,-,-,-,-,-,-,,,,,,,,,,
2002,노원구,532,"3,134",4,"2,249",-,-,294,885,-,-,148,-,-,-,86,-,-,-,-,-,-,-,,,,,,,,,,
2003,노원구,527,"3,335",4,"2,223",-,-,286,992,1,120,145,-,-,-,91,-,-,-,-,-,-,-,,,,,,,,,,
2004,노원구,560,"3,372",4,"2,249",-,-,295,"1,003",1,120,159,-,-,-,-,-,101,-,-,-,-,-,,,,,,,,,,
2005,노원구,594,"3,441",3,"1,913",2,290,306,"1,008",2,190,170,-,-,-,-,-,110,-,-,-,1,40,,,,,,,,,,
2006,노원구,592,"3,554",3,"1,888",3,320,304,"1,061",3,245,1,-,163,-,-,-,113,-,1,-,1,40,,,,,,,,,,
2007,노원구,606,"3,580",3,"1,901",4,360,306,964,3,264,1,-,166,-,-,-,121,-,1,-,1,91,,,,,,,,,,
2008,노원구,631,"3,515",4,"2,043",5,268,315,922,2,205,1,-,172,-,-,-,130,-,1,-,1,77,,,,,,,,,,
2009,노원구,652,"3,305",4,"2,039",5,268,330,756,2,165,1,-,176,-,-,-,133,-,-,-,1,77,,,,,,,,,,
2010,노원구,672,"3,363",4,"2,043",5,266,335,750,3,214,2,-,179,-,-,-,142,8,,,,,1,-,1,82,-,-,-,-,-,-
2011,노원구,674,"3,384",3,"1,822",6,443,331,623,3,406,2,-,180,-,-,-,147,8,,,,,1,-,1,82,-,-,-,-,-,-
2012,노원구,667,"3,477",3,"1,804",7,542,324,586,3,442,2,-,182,-,-,-,144,14,,,,,1,-,1,89,-,-,-,-,-,-
2013,노원구,678,"3,447",3,"1,754",7,541,328,470,4,540,2,-,181,-,1,32,150,21,,,,,1,-,1,89,-,-,-,-,-,-
2014,노원구,684,"3,503",3,"1,816",6,368,327,454,5,712,2,-,185,-,1,32,153,21,,,,,1,-,1,100,-,-,-,-,-,-
2015,노원구,698,"3,488",3,"1,748",6,340,334,493,5,697,2,-,187,-,2,85,157,-,,,,,1,-,1,125,-,-,-,-,-,-
2016,노원구,712,"3,814",3,"1,738",7,438,340,425,6,"1,003",2,-,191,-,2,85,159,-,,,,,1,-,1,125,-,-,-,-,-,-
2017,노원구,717,"3,906",3,"1,664",7,471,346,421,8,"1,265",2,-,191,-,2,85,157,-,,,,,1,-,-,-,-,-,-,-,-,-
2018,노원구,717,"3,773",3,"1,657",6,419,348,425,7,"1,185",2,-,192,-,2,85,157,2,,,,,-,-,-,-,-,-,-,-,-,-
2019,노원구,725,"3,489",3,"1,566",7,416,350,423,6,977,3,-,195,-,2,85,159,22,,,,,-,-,-,-,-,-,-,-,-,-
