Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,도봉구,201,…,-,…,1,…,106,…,-,…,-,…,37,…,-,…,39,-,18,…,-,-,,,,,,,,,,
1981,도봉구,216,…,2,193,1,50,117,…,-,-,38,…,-,-,39,…,-,-,19,…,-,…,,,,,,,,,,
1982,도봉구,220,…,2,193,2,59,115,…,-,-,42,…,-,-,39,…,-,-,20,…,-,…,,,,,,,,,,
1983,도봉구,229,…,2,248,1,20,124,…,-,-,45,…,-,-,35,…,-,-,22,…,-,…,,,,,,,,,,
1984,도봉구,241,…,2,202,2,40,136,…,-,-,46,…,-,-,37,…,-,-,18,…,-,…,,,,,,,,,,
1985,도봉구,257,…,3,589,2,40,142,…,-,-,50,…,-,-,37,…,-,-,23,-,-,…,,,,,,,,,,
1986,도봉구,284,…,3,824,2,40,162,…,-,-,61,…,-,-,40,…,-,-,16,…,-,…,,,,,,,,,,
1987,도봉구,310,…,3,824,2,40,182,…,-,-,72,…,-,-,39,…,-,-,12,…,-,…,,,,,,,,,,
1988,도봉구,219,…,3,624,2,40,127,…,-,-,51,…,-,-,30,…,-,-,6,…,-,…,,,,,,,,,,
1989,도봉구,279,…,3,861,2,40,161,…,-,-,71,…,-,-,39,…,-,-,3,…,-,…,,,,,,,,,,
1990,도봉구,315,…,3,861,2,40,176,…,-,-,82,…,-,-,49,…,-,-,3,…,-,…,,,,,,,,,,
1991,도봉구,355,…,3,861,2,40,198,-,-,-,98,…,-,-,51,…,-,-,3,…,-,…,,,,,,,,,,
1992,도봉구,395,…,3,861,3,113,213,…,-,-,109,…,-,-,64,…,-,-,3,…,-,-,,,,,,,,,,
1993,도봉구,415,"1,480",3,861,4,206,214,407,-,-,123,-,-,-,69,-,-,-,2,6,-,-,,,,,,,,,,
1994,도봉구,453,"2,364",3,895,7,984,232,485,-,-,134,-,-,-,76,-,-,-,1,-,-,-,,,,,,,,,,
1995,도봉구,211,"1,557",1,477,4,801,101,276,-,-,70,-,-,-,34,-,-,-,1,3,-,-,,,,,,,,,,
1996,도봉구,209,"1,417",1,477,3,601,100,336,-,-,71,-,-,-,33,-,-,-,1,3,-,-,,,,,,,,,,
1997,도봉구,227,"1,449",1,477,3,601,111,371,-,-,74,-,-,-,38,-,-,-,-,-,-,-,,,,,,,,,,
1998,도봉구,229,995,1,477,3,155,111,363,-,-,74,-,-,-,40,-,-,-,-,-,-,-,,,,,,,,,,
1999,도봉구,237,"1,408",1,477,3,549,118,382,-,-,74,-,-,-,41,-,-,-,-,-,-,-,,,,,,,,,,
2000,도봉구,238,"1,450",1,477,3,589,117,384,-,-,72,-,-,-,45,-,-,-,-,-,-,-,,,,,,,,,,
2001,도봉구,260,939,1,477,2,149,136,313,-,-,75,-,-,-,46,-,-,-,-,-,-,-,,,,,,,,,,
2002,도봉구,279,"1,123",1,477,3,268,147,378,-,-,74,-,-,-,54,-,-,-,-,-,-,-,,,,,,,,,,
2003,도봉구,300,"1,119",1,477,3,268,153,374,-,-,80,-,-,-,63,-,-,-,-,-,-,-,,,,,,,,,,
2004,도봉구,306,"1,247",1,477,3,268,153,405,1,81,84,-,-,-,-,-,64,16,-,-,-,-,,,,,,,,,,
2005,도봉구,306,"1,360",1,477,3,324,154,462,-,-,84,-,-,-,-,-,63,16,-,-,1,81,,,,,,,,,,
2006,도봉구,311,"1,377",1,477,3,268,148,484,1,51,1,-,87,-,-,-,69,16,-,-,1,81,,,,,,,,,,
2007,도봉구,323,"1,805",1,477,4,504,155,513,2,149,1,-,85,-,-,-,74,-,-,-,1,162,,,,,,,,,,
2008,도봉구,333,"2,259",1,477,5,622,155,507,3,211,1,-,87,-,-,-,78,-,-,-,3,442,,,,,,,,,,
2009,도봉구,335,"2,365",1,477,6,809,153,467,3,250,1,-,90,-,-,-,79,-,-,-,2,362,,,,,,,,,,
2010,도봉구,334,"2,584",1,477,6,771,150,377,5,597,1,-,91,-,-,-,77,-,,,,,1,-,1,162,-,-,1,200,-,-
2011,도봉구,335,"2,747",1,477,5,731,146,348,6,731,1,-,93,-,-,-,79,-,,,,,1,-,1,162,-,-,2,298,-,-
2012,도봉구,336,"2,898",1,477,6,839,145,335,7,787,2,-,93,-,-,-,78,-,,,,,1,-,1,162,-,-,2,298,-,-
2013,도봉구,346,"2,947",1,454,6,687,147,335,8,929,2,-,98,-,-,-,80,-,,,,,1,-,1,162,-,-,2,380,-,-
2014,도봉구,345,"2,769",1,367,6,657,148,301,8,902,1,-,98,-,-,-,79,-,,,,,1,-,1,162,-,-,2,380,-,-
2015,도봉구,352,"2,810",1,384,7,914,155,244,7,732,1,-,99,-,-,-,78,-,,,,,1,-,1,162,-,-,2,374,-,-
2016,도봉구,363,"3,040",1,449,5,522,158,184,7,856,1,-,101,-,2,195,83,-,,,,,1,-,1,162,-,-,3,672,-,-
2017,도봉구,367,"3,002",1,414,5,525,159,180,7,846,1,-,102,-,2,204,85,-,,,,,1,-,1,162,-,-,3,671,-,-
2018,도봉구,364,"2,988",1,417,8,"1,205",156,174,7,860,1,-,103,-,2,170,84,-,,,,,1,-,1,162,-,-,-,-,-,-
2019,도봉구,369,"2,648",1,417,8,"1,197",162,140,5,551,1,-,103,-,2,183,85,-,,,,,1,-,1,160,-,-,-,-,-,-
