Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,서대문구,251,…,2,…,4,…,118,…,-,…,1,…,55,…,2,…,57,-,12,…,-,-,,,,,,,,,,
1981,서대문구,257,…,2,956,5,177,116,…,-,-,61,…,-,-,62,…,-,-,11,…,-,…,,,,,,,,,,
1982,서대문구,253,…,2,956,6,265,112,…,-,-,60,…,-,-,64,…,-,-,9,…,-,…,,,,,,,,,,
1983,서대문구,247,…,2,956,6,236,109,…,-,-,57,…,-,-,64,…,-,-,8,…,1,…,,,,,,,,,,
1984,서대문구,243,…,2,"1,200",6,249,105,…,-,-,59,…,-,-,64,…,-,-,7,…,-,…,,,,,,,,,,
1985,서대문구,243,…,2,"1,200",5,319,104,…,-,-,62,…,-,-,63,…,-,-,7,-,-,…,,,,,,,,,,
1986,서대문구,251,…,2,"1,136",6,315,112,…,-,-,65,…,-,-,60,…,-,-,6,…,-,…,,,,,,,,,,
1987,서대문구,254,…,2,"1,200",6,247,118,…,-,-,66,…,-,-,56,…,-,-,6,…,-,…,,,,,,,,,,
1988,서대문구,258,…,2,"1,200",5,225,126,…,-,-,67,…,-,-,53,…,-,-,5,…,-,…,,,,,,,,,,
1989,서대문구,265,…,2,"1,350",6,249,131,…,-,-,69,…,-,-,52,…,-,-,5,…,-,…,,,,,,,,,,
1990,서대문구,273,…,2,"1,370",5,254,128,…,-,-,76,…,-,-,59,…,-,-,3,…,-,…,,,,,,,,,,
1991,서대문구,275,…,2,"1,570",5,270,135,-,-,-,75,…,-,-,57,…,-,-,1,…,-,…,,,,,,,,,,
1992,서대문구,284,…,2,"1,570",4,250,134,…,-,-,81,…,-,-,62,…,-,-,1,…,-,-,,,,,,,,,,
1993,서대문구,290,"2,035",2,"1,570",3,173,134,194,-,-,84,24,-,-,66,72,-,-,1,2,-,-,,,,,,,,,,
1994,서대문구,306,"2,141",3,"1,750",2,91,143,202,-,-,88,24,-,-,69,72,-,-,1,2,-,-,,,,,,,,,,
1995,서대문구,297,"2,256",3,"1,770",2,100,130,257,-,-,94,10,-,-,68,119,-,-,-,-,-,-,,,,,,,,,,
1996,서대문구,299,"2,293",2,"1,670",3,208,127,286,-,-,95,-,-,-,72,129,-,-,-,-,-,-,,,,,,,,,,
1997,서대문구,303,"2,155",2,"1,670",2,90,133,287,-,-,94,9,-,-,72,99,-,-,-,-,-,-,,,,,,,,,,
1998,서대문구,323,"1,999",2,"1,670",2,90,143,120,-,-,102,9,-,-,74,110,-,-,-,-,-,-,,,,,,,,,,
1999,서대문구,355,"2,115",2,"1,610",2,124,166,262,-,-,112,9,-,-,73,110,-,-,-,-,-,-,,,,,,,,,,
2000,서대문구,374,"2,270",2,"1,683",2,124,171,344,-,-,117,9,-,-,82,110,-,-,-,-,-,-,,,,,,,,,,
2001,서대문구,411,"2,204",2,"1,643",2,131,195,311,-,-,126,9,-,-,86,110,-,-,-,-,-,-,,,,,,,,,,
2002,서대문구,425,"1,587",1,267,8,"1,238",215,-,-,-,116,9,-,-,85,73,-,-,-,-,-,-,,,,,,,,,,
2003,서대문구,407,"2,377",2,"1,723",2,131,198,441,-,-,120,9,-,-,85,73,-,-,-,-,-,-,,,,,,,,,,
2004,서대문구,416,"2,517",2,"1,733",3,162,198,442,-,-,127,9,-,-,1,171,85,-,-,-,-,-,,,,,,,,,,
2005,서대문구,422,"2,841",2,"2,060",3,179,202,422,-,-,128,9,-,-,1,171,86,-,-,-,-,-,,,,,,,,,,
2006,서대문구,421,"3,151",2,"2,264",3,179,200,421,1,107,1,9,125,-,1,171,88,-,-,-,-,-,,,,,,,,,,
2007,서대문구,426,"3,363",2,"2,239",3,179,206,579,1,186,1,9,125,-,1,171,87,-,-,-,-,-,,,,,,,,,,
2008,서대문구,425,"3,496",2,"2,247",5,395,202,470,2,258,1,9,126,-,1,117,86,-,-,-,-,-,,,,,,,,,,
2009,서대문구,409,"3,309",2,"2,246",4,264,191,435,2,258,1,9,124,-,1,78,84,19,-,-,-,-,,,,,,,,,,
2010,서대문구,403,"3,139",2,"2,104",4,252,191,433,2,258,1,9,120,-,1,64,82,19,,,,,-,-,-,-,-,-,-,-,-,-
2011,서대문구,400,"3,353",2,"2,329",4,252,186,422,2,258,1,9,123,-,1,64,81,19,,,,,-,-,-,-,-,-,-,-,-,-
2012,서대문구,397,"3,280",2,"2,325",3,186,182,419,2,258,1,9,123,-,1,64,83,19,,,,,-,-,-,-,-,-,-,-,-,-
2013,서대문구,412,"3,244",2,"2,291",3,186,190,371,2,258,1,9,125,-,1,108,88,21,,,,,-,-,-,-,-,-,-,-,-,-
2014,서대문구,413,"3,706",2,"2,686",3,186,191,439,2,258,1,9,121,-,1,108,92,20,,,,,-,-,-,-,-,-,-,-,-,-
2015,서대문구,424,"3,545",2,"2,468",5,270,195,411,2,259,2,9,123,-,1,108,94,20,,,,,-,-,-,-,-,-,-,-,-,-
2016,서대문구,431,"3,823",3,"2,642",5,269,203,342,3,435,2,7,120,-,1,108,94,20,,,,,-,-,-,-,-,-,-,-,-,-
2017,서대문구,432,"3,755",2,"2,667",4,178,206,340,3,435,2,7,120,-,1,108,94,20,,,,,-,-,-,-,-,-,-,-,-,-
2018,서대문구,430,"3,799",2,"2,659",5,265,205,307,3,435,2,7,121,-,1,90,91,36,,,,,-,-,-,-,-,-,-,-,-,-
2019,서대문구,435,"3,742",2,"2,661",5,255,208,273,3,436,2,7,125,-,1,90,89,20,,,,,-,-,-,-,-,-,-,-,-,-
