Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1988,송파구,260,…,2,176,-,-,148,…,-,-,70,…,-,-,39,…,-,-,1,…,-,…,,,,,,,,,,
1989,송파구,324,…,3,"1,176",-,-,169,…,-,-,95,…,-,-,56,…,-,-,1,…,-,…,,,,,,,,,,
1990,송파구,395,…,3,"1,176",-,-,206,…,-,-,120,…,-,-,65,…,-,-,1,…,-,…,,,,,,,,,,
1991,송파구,448,…,4,"1,676",1,21,226,-,-,-,140,…,-,-,76,…,-,-,1,…,-,…,,,,,,,,,,
1992,송파구,484,…,4,"1,676",1,21,242,…,-,-,154,…,-,-,82,…,-,-,1,…,-,-,,,,,,,,,,
1993,송파구,505,"2,186",4,"1,676",1,56,251,337,-,-,159,-,-,-,90,117,-,-,-,-,-,-,,,,,,,,,,
1994,송파구,510,"3,679",4,"3,169",1,56,244,337,-,-,169,-,-,-,92,117,-,-,-,-,-,-,,,,,,,,,,
1995,송파구,520,"3,998",4,"3,169",2,86,251,633,-,-,172,-,-,-,91,110,-,-,-,-,-,-,,,,,,,,,,
1996,송파구,531,"3,904",3,"2,999",1,56,259,747,-,-,177,-,-,-,91,102,-,-,-,-,-,-,,,,,,,,,,
1997,송파구,560,"2,565",3,"1,655",1,65,272,711,-,-,185,-,-,-,99,134,-,-,-,-,-,-,,,,,,,,,,
1998,송파구,565,"4,048",3,"2,999",4,251,275,664,-,-,185,-,-,-,98,134,-,-,-,-,-,-,,,,,,,,,,
1999,송파구,590,"4,010",3,"2,957",4,276,289,639,-,-,185,-,-,-,109,138,-,-,-,-,-,-,,,,,,,,,,
2000,송파구,608,"3,860",3,"2,797",4,283,293,639,-,-,190,-,-,-,118,141,-,-,-,-,-,-,,,,,,,,,,
2001,송파구,644,"3,970",3,"2,838",4,294,319,651,-,-,193,-,-,-,125,187,-,-,-,-,-,-,,,,,,,,,,
2002,송파구,705,"4,267",3,"2,957",4,296,358,825,-,-,210,-,-,-,130,189,-,-,-,-,-,-,,,,,,,,,,
2003,송파구,718,"4,283",3,"2,957",4,296,366,825,-,-,212,-,-,-,133,205,-,-,-,-,-,-,,,,,,,,,,
2004,송파구,745,"4,293",3,"2,947",4,288,373,855,-,-,216,-,-,-,4,187,145,16,-,-,-,-,,,,,,,,,,
2005,송파구,783,"4,424",3,"2,947",5,341,380,844,1,89,226,-,-,-,4,187,164,16,-,-,-,-,,,,,,,,,,
2006,송파구,807,"4,391",3,"2,941",5,350,389,859,1,84,3,-,231,-,3,157,172,-,-,-,-,-,,,,,,,,,,
2007,송파구,849,"4,654",3,"2,911",7,434,401,830,2,257,3,-,250,-,3,222,180,-,-,-,-,-,,,,,,,,,,
2008,송파구,894,"4,909",2,"2,763",11,822,411,814,2,247,3,-,271,-,3,222,190,-,-,-,1,41,,,,,,,,,,
2009,송파구,942,"5,181",2,"3,142",11,797,426,906,2,247,-,-,293,-,2,89,206,-,-,-,-,-,,,,,,,,,,
2010,송파구,954,"5,466",2,"3,180",12,829,426,856,3,320,4,-,295,-,1,34,209,-,,,,,1,28,1,219,-,-,-,-,-,-
2011,송파구,974,"5,586",2,"3,180",12,879,435,856,4,390,4,-,295,-,1,34,219,-,,,,,1,28,1,219,-,-,-,-,-,-
2012,송파구,982,"6,236",2,"3,180",14,"1,087",440,929,6,748,3,-,297,-,1,34,217,11,,,,,1,28,1,219,-,-,-,-,-,-
2013,송파구,982,"6,273",2,"3,200",13,"1,152",436,804,6,837,3,-,296,-,1,30,220,4,,,,,3,28,1,218,-,-,-,-,1,-
2014,송파구,"1,006","6,511",2,"3,214",14,"1,273",451,696,6,"1,030",4,-,295,-,1,30,227,27,,,,,4,28,1,213,-,-,-,-,1,-
2015,송파구,"1,018","6,302",2,"3,203",14,"1,257",451,623,6,875,4,-,302,-,2,81,231,22,,,,,4,28,1,213,-,-,-,-,1,-
2016,송파구,"1,048","6,602",2,"3,203",14,"1,247",474,741,7,"1,067",3,-,305,-,2,81,237,22,,,,,3,28,1,213,-,-,-,-,-,-
2017,송파구,"1,106","6,677",2,"3,175",16,"1,334",508,664,8,"1,158",3,-,315,-,3,111,247,22,,,,,3,-,1,213,-,-,-,-,-,-
2018,송파구,"1,129","6,513",2,"3,155",16,"1,324",527,704,7,"1,009",3,-,318,-,2,82,250,26,,,,,3,-,1,213,-,-,-,-,-,-
2019,송파구,"1,165","6,687",2,"3,145",16,"1,208",558,653,9,"1,296",4,-,318,-,4,166,250,14,,,,,3,-,1,205,-,-,-,-,-,-
