Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1988,양천구,185,…,1,85,5,290,89,…,-,-,57,…,-,-,28,…,-,-,5,…,-,…,,,,,,,,,,
1989,양천구,210,…,1,85,5,290,98,…,-,-,71,…,-,-,31,…,-,-,4,…,-,…,,,,,,,,,,
1990,양천구,235,…,1,85,5,290,107,…,-,-,82,…,-,-,37,…,-,-,3,…,-,…,,,,,,,,,,
1991,양천구,252,…,1,85,5,290,116,-,-,-,85,…,-,-,42,…,-,-,3,…,-,…,,,,,,,,,,
1992,양천구,271,…,1,85,5,354,124,…,-,-,92,…,-,-,46,…,-,-,3,…,-,-,,,,,,,,,,
1993,양천구,287,"1,185",3,779,4,279,131,120,-,-,95,-,-,-,51,-,-,-,3,7,-,-,,,,,,,,,,
1994,양천구,294,"1,291",4,916,3,202,131,168,-,-,102,-,-,-,52,-,-,-,2,5,-,-,,,,,,,,,,
1995,양천구,306,"1,271",4,916,3,202,140,153,-,-,101,-,-,-,56,-,-,-,2,-,-,-,,,,,,,,,,
1996,양천구,313,"1,265",4,916,3,202,141,144,-,-,105,-,-,-,59,-,-,-,1,3,-,-,,,,,,,,,,
1997,양천구,299,"1,296",1,950,3,202,136,144,-,-,103,-,-,-,56,-,-,-,-,-,-,-,,,,,,,,,,
1998,양천구,316,"1,099",4,750,3,202,144,144,-,-,107,-,-,-,57,-,-,-,1,3,-,-,,,,,,,,,,
1999,양천구,343,"1,656",4,"1,130",3,202,159,323,-,-,114,-,-,-,62,-,-,-,1,1,-,-,,,,,,,,,,
2000,양천구,352,"1,710",4,"1,124",3,171,163,383,-,-,113,-,-,-,68,31,-,-,1,1,-,-,,,,,,,,,,
2001,양천구,377,"1,745",3,"1,001",4,288,175,425,-,-,121,-,-,-,74,31,-,-,-,-,-,-,,,,,,,,,,
2002,양천구,443,"1,982",3,"1,140",4,314,201,497,-,-,140,-,-,-,95,31,-,-,-,-,-,-,,,,,,,,,,
2003,양천구,440,"1,953",4,"1,259",3,165,206,498,-,-,121,-,-,-,106,31,-,-,-,-,-,-,,,,,,,,,,
2004,양천구,481,"2,115",4,"1,361",2,85,217,556,-,-,148,5,-,-,2,108,108,-,-,-,-,-,,,,,,,,,,
2005,양천구,511,"2,130",4,"1,384",2,85,228,548,-,-,156,5,-,-,2,108,119,-,-,-,-,-,,,,,,,,,,
2006,양천구,546,"2,507",4,"1,434",4,311,244,649,-,-,2,5,158,-,2,108,132,-,-,-,-,-,,,,,,,,,,
2007,양천구,558,"2,504",3,"1,303",4,384,249,657,1,84,2,6,159,-,1,70,139,-,-,-,-,-,,,,,,,,,,
2008,양천구,564,"2,505",2,"1,142",5,587,248,616,1,84,3,6,158,-,1,70,146,-,-,-,-,-,,,,,,,,,,
2009,양천구,576,"2,236",2,"1,087",4,394,255,596,1,84,4,5,161,-,1,70,148,-,-,-,-,-,,,,,,,,,,
2010,양천구,583,"2,348",2,"1,239",4,391,257,528,1,84,5,5,167,-,2,101,145,-,,,,,-,-,-,-,-,-,-,-,-,-
2011,양천구,587,"2,630",2,"1,200",5,621,262,520,2,183,5,5,164,-,2,101,145,-,,,,,-,-,-,-,-,-,-,-,-,-
2012,양천구,594,"2,832",2,"1,201",5,650,264,528,3,280,5,5,168,-,3,168,144,-,,,,,-,-,-,-,-,-,-,-,-,-
2013,양천구,591,"2,907",2,"1,173",7,823,258,515,3,280,5,5,170,-,2,101,144,10,,,,,-,-,-,-,-,-,-,-,-,-
2014,양천구,610,"2,936",2,"1,118",6,822,269,543,3,280,5,7,176,-,3,131,146,35,,,,,-,-,-,-,-,-,-,-,-,-
2015,양천구,609,"2,907",2,"1,138",5,776,267,545,3,279,4,7,176,-,3,133,149,29,,,,,-,-,-,-,-,-,-,-,-,-
2016,양천구,613,"2,853",2,"1,100",5,764,274,479,3,279,4,5,173,-,3,168,149,58,,,,,-,-,-,-,-,-,-,-,-,-
2017,양천구,621,"2,757",2,"1,064",5,750,274,383,3,279,4,-,177,-,3,192,153,89,,,,,-,-,-,-,-,-,-,-,-,-
2018,양천구,627,"2,791",2,"1,074",6,777,277,379,4,279,4,-,179,-,3,196,152,86,,,,,-,-,-,-,-,-,-,-,-,-
2019,양천구,626,"2,622",3,"1,196",5,421,279,350,5,372,4,-,177,-,3,197,150,86,,,,,-,-,-,-,-,-,-,-,-,-
