Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,영등포구,278,…,3,…,10,…,135,…,-,…,-,…,58,…,-,…,69,-,3,…,-,-,,,,,,,,,,
1981,영등포구,284,…,3,960,12,715,135,…,-,-,66,…,-,-,66,…,-,-,2,…,-,…,,,,,,,,,,
1982,영등포구,303,…,4,"1,100",10,589,145,…,-,-,68,…,-,-,74,…,-,-,2,…,-,…,,,,,,,,,,
1983,영등포구,327,…,4,"1,221",8,523,168,…,-,-,75,…,-,-,67,…,-,-,5,…,-,…,,,,,,,,,,
1984,영등포구,324,…,6,"1,415",7,320,159,…,-,-,80,…,-,-,69,…,-,-,3,…,-,…,,,,,,,,,,
1985,영등포구,338,…,6,"1,455",7,363,168,…,-,-,80,…,-,-,74,…,-,-,3,-,-,…,,,,,,,,,,
1986,영등포구,351,…,9,"2,484",5,271,174,…,-,-,84,…,-,-,76,…,-,-,3,…,-,…,,,,,,,,,,
1987,영등포구,367,…,9,"2,484",6,346,173,…,-,-,92,…,-,-,83,…,-,-,4,…,-,…,,,,,,,,,,
1988,영등포구,377,…,9,"2,484",6,346,178,…,-,-,100,…,-,-,82,…,-,-,2,…,-,…,,,,,,,,,,
1989,영등포구,394,…,9,"2,484",6,346,177,…,-,-,105,…,-,-,94,…,-,-,3,…,-,…,,,,,,,,,,
1990,영등포구,400,…,9,"2,484",6,346,176,…,-,-,109,…,-,-,98,…,-,-,2,…,-,…,,,,,,,,,,
1991,영등포구,414,…,8,"2,554",6,346,180,-,-,-,117,…,-,-,101,…,-,-,2,…,-,…,,,,,,,,,,
1992,영등포구,408,…,9,"2,667",6,346,177,…,-,-,119,…,-,-,95,…,-,-,2,…,-,-,,,,,,,,,,
1993,영등포구,432,"3,397",9,"2,717",6,346,182,310,-,-,131,-,-,-,102,22,-,-,2,2,-,-,,,,,,,,,,
1994,영등포구,443,"3,736",8,"2,688",7,716,182,310,-,-,141,-,-,-,103,22,-,-,2,-,-,-,,,,,,,,,,
1995,영등포구,446,"3,856",8,"2,838",7,676,181,302,-,-,147,-,-,-,101,40,-,-,2,-,-,-,,,,,,,,,,
1996,영등포구,436,"3,881",7,"2,733",7,746,175,378,-,-,146,-,-,-,99,24,-,-,2,-,-,-,,,,,,,,,,
1997,영등포구,435,"1,568",1,515,7,668,178,345,-,-,149,-,-,-,98,40,-,-,2,-,-,-,,,,,,,,,,
1998,영등포구,460,"3,789",7,"2,794",7,613,189,340,-,-,151,-,-,-,104,40,-,-,2,2,-,-,,,,,,,,,,
1999,영등포구,466,"3,848",7,"2,842",7,544,201,391,-,-,151,-,-,-,98,70,-,-,2,1,-,-,,,,,,,,,,
2000,영등포구,479,"4,425",7,"3,015",8,897,204,391,-,-,156,-,-,-,102,120,-,-,2,2,-,-,,,,,,,,,,
2001,영등포구,517,"4,297",7,"2,948",8,760,229,443,-,-,167,-,-,-,104,146,-,-,2,-,-,-,,,,,,,,,,
2002,영등포구,557,"4,638",7,"2,961",9,899,255,663,-,-,170,-,-,-,114,113,-,-,2,2,-,-,,,,,,,,,,
