Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1988,중랑구,183,…,1,450,4,168,103,…,-,-,45,…,-,-,26,…,-,-,4,…,-,…,,,,,,,,,,
1989,중랑구,188,…,1,450,4,168,106,…,-,-,47,…,-,-,27,…,-,-,3,…,-,…,,,,,,,,,,
1990,중랑구,202,…,1,450,4,168,109,…,-,-,58,…,-,-,27,…,-,-,3,…,-,…,,,,,,,,,,
1991,중랑구,225,…,1,450,4,168,122,-,-,-,65,…,-,-,32,…,-,-,1,…,-,…,,,,,,,,,,
1992,중랑구,244,…,2,596,3,105,131,…,-,-,72,…,-,-,35,…,-,-,1,…,-,-,,,,,,,,,,
1993,중랑구,258,858,2,596,3,143,133,118,-,-,81,-,-,-,38,-,-,-,1,1,-,-,,,,,,,,,,
1994,중랑구,265,859,2,596,3,143,134,120,-,-,84,-,-,-,41,-,-,-,1,-,-,-,,,,,,,,,,
1995,중랑구,282,"1,379",2,596,3,174,143,609,-,-,88,-,-,-,45,-,-,-,1,-,-,-,,,,,,,,,,
1996,중랑구,310,"1,456",2,596,3,174,158,686,-,-,95,-,-,-,51,-,-,-,1,-,-,-,,,,,,,,,,
1997,중랑구,333,"1,578",2,596,2,123,171,804,-,-,100,-,-,-,58,55,-,-,-,-,-,-,,,,,,,,,,
1998,중랑구,341,"1,132",1,146,2,129,178,857,-,-,103,-,-,-,57,-,-,-,-,-,-,-,,,,,,,,,,
1999,중랑구,343,"1,485",2,596,2,129,175,760,-,-,105,-,-,-,59,-,-,-,-,-,-,-,,,,,,,,,,
2000,중랑구,354,"1,042",1,134,2,132,183,776,-,-,104,-,-,-,64,-,-,-,-,-,-,-,,,,,,,,,,
2001,중랑구,381,"1,314",1,134,1,98,210,"1,082",-,-,103,-,-,-,66,-,-,-,-,-,-,-,,,,,,,,,,
2002,중랑구,405,"1,317",1,119,2,170,223,"1,028",-,-,107,-,-,-,72,-,-,-,-,-,-,-,,,,,,,,,,
2003,중랑구,408,"1,586",2,343,2,170,220,"1,023",-,-,109,-,-,-,75,50,-,-,-,-,-,-,,,,,,,,,,
2004,중랑구,405,"1,735",2,455,2,170,223,"1,080",-,-,107,-,-,-,1,30,70,-,-,-,-,-,,,,,,,,,,
2005,중랑구,407,"1,875",2,455,3,200,225,"1,190",-,-,106,-,-,-,1,30,70,-,-,-,-,-,,,,,,,,,,
2006,중랑구,416,"2,172",2,482,4,440,221,"1,172",1,48,-,-,112,-,1,30,75,-,-,-,-,-,,,,,,,,,,
2007,중랑구,427,"2,418",2,485,7,609,220,"1,191",2,103,-,-,113,-,1,30,82,-,-,-,-,-,,,,,,,,,,
2008,중랑구,437,"2,415",2,472,8,555,218,"1,110",3,248,-,-,117,-,1,30,88,-,-,-,-,-,,,,,,,,,,
2009,중랑구,448,"2,463",2,472,8,555,219,"1,039",3,268,-,-,119,-,1,30,95,-,-,-,1,99,,,,,,,,,,
2010,중랑구,455,"2,416",2,507,7,355,221,952,4,303,-,-,122,-,-,-,97,-,,,,,-,-,1,200,-,-,1,99,-,-
2011,중랑구,468,"3,295",2,"1,016",11,898,218,958,5,423,-,-,129,-,-,-,103,-,,,,,-,-,-,-,-,-,-,-,-,-
2012,중랑구,460,"3,219",2,979,11,920,212,871,5,449,-,-,128,-,-,-,102,-,,,,,-,-,-,-,-,-,-,-,-,-
2013,중랑구,465,"3,260",2,988,12,881,211,766,4,412,-,-,130,-,-,-,105,-,,,,,-,-,-,-,-,-,1,213,-,-
2014,중랑구,473,"3,185",2,990,12,891,219,728,3,363,-,-,132,-,-,-,104,-,,,,,-,-,-,-,-,-,1,213,-,-
2015,중랑구,483,"3,213",2,990,12,905,222,755,3,363,-,-,139,-,-,-,104,-,,,,,-,-,-,-,-,-,1,200,-,-
2016,중랑구,490,"3,238",2,976,14,"1,010",224,690,3,363,-,-,143,-,-,-,103,-,,,,,-,-,-,-,-,-,1,199,-,-
2017,중랑구,491,"3,003",3,"1,049",12,831,223,638,2,286,-,-,147,-,-,-,103,-,,,,,-,-,-,-,-,-,1,199,-,-
2018,중랑구,498,"3,049",3,"1,041",12,831,228,667,2,286,-,-,146,-,-,-,106,25,,,,,-,-,-,-,-,-,1,199,-,-
2019,중랑구,511,"3,018",3,"1,043",12,813,237,637,2,272,-,-,148,-,-,-,108,54,,,,,-,-,-,-,-,-,1,199,-,-
