"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
2008,합계,"4,097,562","10,456,034","5,184,732","5,271,302","10,200,827","5,061,809","5,139,018","255,207","122,923","132,284","17,275",605.27,2.49,"898,700"
2008,종로구,"74,660","179,754","89,725","90,029","170,705","85,398","85,307","9,049","4,327","4,722","7,519",23.91,2.29,"20,162"
2008,중구,"58,174","138,811","69,284","69,527","130,362","65,110","65,252","8,449","4,174","4,275","13,936",9.96,2.24,"15,427"
2008,용산구,"106,966","251,043","123,551","127,492","238,224","116,781","121,443","12,819","6,770","6,049","11,480",21.87,2.23,"27,167"
2008,성동구,"128,658","322,679","161,744","160,935","314,212","157,602","156,610","8,467","4,142","4,325","19,151",16.85,2.44,"29,525"
2008,광진구,"155,676","387,254","191,676","195,578","375,482","186,237","189,245","11,772","5,439","6,333","22,698",17.06,2.41,"28,702"
2008,동대문구,"156,267","381,663","191,888","189,775","370,250","186,744","183,506","11,413","5,144","6,269","26,876",14.2,2.37,"38,563"
2008,중랑구,"171,183","432,845","216,344","216,501","427,871","214,351","213,520","4,974","1,993","2,981","23,399",18.5,2.5,"37,180"
2008,성북구,"190,713","481,419","238,344","243,075","473,357","234,730","238,627","8,062","3,614","4,448","19,597",24.57,2.48,"47,242"
2008,강북구,"136,300","345,754","171,180","174,574","342,274","169,887","172,387","3,480","1,293","2,187","14,644",23.61,2.51,"36,649"
2008,도봉구,"139,733","376,698","186,476","190,222","373,936","185,376","188,560","2,762","1,100","1,662","18,196",20.7,2.68,"34,750"
2008,노원구,"225,065","620,808","304,068","316,740","615,981","301,982","313,999","4,827","2,086","2,741","17,524",35.43,2.74,"52,938"
2008,은평구,"182,762","463,364","228,740","234,624","458,401","226,636","231,765","4,963","2,104","2,859","15,607",29.69,2.51,"46,002"
2008,서대문구,"138,295","340,731","166,432","174,299","331,688","162,350","169,338","9,043","4,082","4,961","19,356",17.6,2.4,"36,342"
2008,마포구,"165,978","393,241","192,243","200,998","385,119","188,327","196,792","8,122","3,916","4,206","16,472",23.87,2.32,"36,811"
2008,양천구,"183,002","507,899","253,061","254,838","502,343","250,516","251,827","5,556","2,545","3,011","29,183",17.4,2.75,"35,573"
2008,강서구,"223,026","583,545","288,063","295,482","576,848","284,817","292,031","6,697","3,246","3,451","14,086",41.43,2.59,"45,762"
2008,구로구,"165,750","448,696","226,732","221,964","420,795","212,461","208,334","27,901","14,271","13,630","22,282",20.14,2.54,"35,608"
2008,금천구,"100,138","265,244","135,337","129,907","247,320","125,931","121,389","17,924","9,406","8,518","20,396",13.01,2.47,"21,649"
2008,영등포구,"168,187","443,537","223,825","219,712","408,099","205,732","202,367","35,438","18,093","17,345","18,056",24.57,2.43,"38,951"
2008,동작구,"163,742","410,934","202,654","208,280","400,866","197,951","202,915","10,068","4,703","5,365","25,136",16.35,2.45,"38,320"
2008,관악구,"241,511","551,873","279,975","271,898","534,556","271,762","262,794","17,317","8,213","9,104","18,664",29.57,2.21,"44,843"
2008,서초구,"159,907","412,065","200,313","211,752","406,320","197,570","208,750","5,745","2,743","3,002","8,767",47,2.54,"30,943"
2008,강남구,"227,533","565,624","272,953","292,671","557,832","268,963","288,869","7,792","3,990","3,802","14,307",39.54,2.45,"38,918"
2008,송파구,"256,104","676,580","332,704","343,876","668,962","329,262","339,700","7,618","3,442","4,176","19,971",33.88,2.61,"46,934"
2008,강동구,"178,232","473,973","237,420","236,553","469,024","235,333","233,691","4,949","2,087","2,862","19,285",24.58,2.63,"33,739"
