"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,강남구,"150,682","517,218","258,052","259,166",…,…,…,…,…,…,"13,271",38.97,3.43,…
1992,강남구,"165,325","559,068","278,053","281,015","556,120","276,432","279,688","2,948","1,621","1,327","14,280",39.15,3.38,"23,984"
1993,강남구,"170,433","566,379","281,304","285,075","562,792","279,362","283,430","3,587","1,942","1,645","14,426",39.26,3.32,"24,757"
1994,강남구,"177,641","572,311","283,965","288,346","568,498","281,909","286,589","3,813","2,056","1,757","14,471",39.55,3.22,"25,087"
1995,강남구,"179,387","559,032","277,480","281,552","554,573","275,106","279,467","4,459","2,374","2,085","14,135",39.55,3.12,"24,483"
1996,강남구,"184,039","557,533","276,434","281,099","552,768","273,817","278,951","4,765","2,617","2,148","14,097",39.55,3.03,"24,518"
1997,강남구,"190,255","555,355","274,650","280,705","550,803","272,129","278,674","4,552","2,521","2,031","14,042",39.55,2.92,"25,012"
1998,강남구,"188,690","554,858","273,673","281,185","550,387","271,238","279,149","4,471","2,435","2,036","14,029",39.55,2.94,"25,429"
1999,강남구,"192,164","557,257","274,013","283,244","552,293","271,269","281,024","4,964","2,744","2,220","14,090",39.55,2.87,"26,431"
2000,강남구,"193,101","555,493","273,122","282,371","550,343","270,296","280,047","5,150","2,826","2,324","14,045",39.55,2.85,"26,987"
2001,강남구,"192,505","546,038","267,550","278,488","540,640","264,593","276,047","5,398","2,957","2,441","13,806",39.55,2.81,"27,193"
2002,강남구,"193,857","540,813","264,791","276,022","535,138","261,641","273,497","5,675","3,150","2,525","13,678",39.54,2.76,"27,658"
2003,강남구,"196,628","536,031","260,868","275,163","528,977","257,776","271,201","7,054","3,092","3,962","13,556",39.54,2.73,"28,467"
2004,강남구,"201,571","539,333","261,704","277,629","531,517","258,371","273,146","7,816","3,333","4,483","13,640",39.54,2.68,"30,007"
2005,강남구,"211,338","547,775","265,943","281,832","540,909","262,628","278,281","6,866","3,315","3,551","13,853",39.54,2.59,"31,755"
2006,강남구,"222,642","564,658","273,524","291,134","556,964","269,857","287,107","7,694","3,667","4,027","14,280",39.54,2.54,"34,292"
2007,강남구,"226,149","569,176","275,010","294,166","560,958","270,925","290,033","8,218","4,085","4,133","14,395",39.54,2.52,"37,115"
2008,강남구,"227,533","565,624","272,953","292,671","557,832","268,963","288,869","7,792","3,990","3,802","14,307",39.54,2.45,"38,918"
2009,강남구,"229,431","569,499","274,480","295,019","562,138","270,720","291,418","7,361","3,760","3,601","14,405",39.54,2.45,"41,065"
2010,강남구,"234,345","577,070","277,932","299,138","570,095","274,303","295,792","6,975","3,629","3,346","14,596",39.54,2.43,"44,229"
2011,강남구,"231,983","573,003","275,906","297,097","565,710","271,991","293,719","7,293","3,915","3,378","14,501",39.51,2.44,"47,187"
2012,강남구,"230,755","569,997","274,124","295,873","564,197","270,970","293,227","5,800","3,154","2,646","14,431",39.5,2.45,"50,348"
2013,강남구,"230,645","569,152","273,583","295,569","563,599","270,601","292,998","5,553","2,982","2,571","14,409",39.5,2.44,"53,461"
2014,강남구,"237,375","583,446","280,082","303,364","578,114","277,267","300,847","5,332","2,815","2,517","14,771",39.5,2.44,"57,444"
2015,강남구,"237,373","581,760","279,209","302,551","576,495","276,425","300,070","5,265","2,784","2,481",-,-,2.43,"60,330"
2016,강남구,"234,080","572,140","274,217","297,923","567,115","271,604","295,511","5,025","2,613","2,412",-,-,2.42,"61,931"
2017,강남구,"231,612","561,052","268,941","292,111","556,164","266,442","289,722","4,888","2,499","2,389",-,-,2.4,"65,060"
2018,강남구,"228,775","547,453","262,203","285,250","542,364","259,611","282,753","5,089","2,592","2,497",-,-,2.37,"67,085"
2019,강남구,"232,981","550,209","263,345","286,864","545,169","260,806","284,363","5,040","2,539","2,501",-,-,2.34,"71,025"
