"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,강서구,"121,174","408,676","205,712","202,964",…,…,…,…,…,…,"9,862",41.44,3.37,…
1992,강서구,"132,114","437,932","219,591","218,341","437,330","219,251","218,079",602,340,262,"10,573",41.42,3.31,"16,907"
1993,강서구,"144,770","474,434","237,793","236,641","473,643","237,427","236,216",791,366,425,"11,454",41.42,3.28,"18,774"
1994,강서구,"157,418","508,345","254,121","254,224","507,409","253,636","253,773",936,485,451,"12,276",41.41,3.23,"20,872"
1995,강서구,"165,058","523,606","261,503","262,103","522,409","260,888","261,521","1,197",615,582,"12,644",41.41,3.17,"22,066"
1996,강서구,"167,739","524,006","261,657","262,349","522,640","260,946","261,694","1,366",711,655,"12,657",41.4,3.12,"22,690"
1997,강서구,"169,412","519,554","259,169","260,385","518,067","258,356","259,711","1,487",813,674,"12,550",41.4,3.07,"23,383"
1998,강서구,"168,867","517,881","257,979","259,902","516,590","257,304","259,286","1,291",675,616,"12,512",41.39,3.07,"24,492"
1999,강서구,"171,724","521,284","259,385","261,899","519,786","258,623","261,163","1,498",762,736,"12,594",41.39,3.03,"25,811"
2000,강서구,"173,789","522,962","260,121","262,841","521,231","259,235","261,996","1,731",886,845,"12,635",41.39,3,"26,882"
2001,강서구,"175,849","523,542","260,181","263,361","521,489","259,108","262,381","2,053","1,073",980,"12,649",41.39,2.97,"27,910"
2002,강서구,"181,422","530,169","263,064","267,105","528,321","262,185","266,136","1,848",879,969,"12,806",41.4,2.91,"29,465"
2003,강서구,"189,521","539,673","267,797","271,876","537,003","266,490","270,513","2,670","1,307","1,363","13,037",41.4,2.85,"31,595"
2004,강서구,"193,973","544,762","270,057","274,705","541,671","268,424","273,247","3,091","1,633","1,458","13,159",41.4,2.81,"33,752"
2005,강서구,"202,052","557,373","276,000","281,373","553,660","274,159","279,501","3,713","1,841","1,872","13,464",41.4,2.76,"36,223"
2006,강서구,"208,347","559,845","276,968","282,877","554,945","274,528","280,417","4,900","2,440","2,460","13,515",41.43,2.69,"38,662"
2007,강서구,"213,893","566,495","279,974","286,521","560,424","276,977","283,447","6,071","2,997","3,074","13,677",41.42,2.65,"42,075"
2008,강서구,"223,026","583,545","288,063","295,482","576,848","284,817","292,031","6,697","3,246","3,451","14,086",41.43,2.59,"45,762"
2009,강서구,"221,975","579,196","285,597","293,599","572,836","282,529","290,307","6,360","3,068","3,292","13,983",41.42,2.58,"47,657"
2010,강서구,"225,313","580,506","286,324","294,182","574,127","283,248","290,879","6,379","3,076","3,303","14,015",41.42,2.55,"50,349"
2011,강서구,"223,490","575,846","283,662","292,184","569,072","280,274","288,798","6,774","3,388","3,386","13,901",41.43,2.55,"52,314"
2012,강서구,"223,708","573,794","282,185","291,609","567,431","278,969","288,462","6,363","3,216","3,147","13,851",41.43,2.54,"55,821"
2013,강서구,"226,607","575,236","282,287","292,949","569,070","279,207","289,863","6,166","3,080","3,086","13,885",41.43,2.51,"59,530"
2014,강서구,"234,378","591,653","289,841","301,812","585,160","286,644","298,516","6,493","3,197","3,296","14,281",41.43,2.5,"64,287"
2015,강서구,"238,952","595,691","291,216","304,475","589,074","287,947","301,127","6,617","3,269","3,348",-,-,2.47,"67,950"
2016,강서구,"245,045","602,104","293,734","308,370","595,485","290,478","305,007","6,619","3,256","3,363",-,-,2.43,"71,062"
2017,강서구,"254,257","608,255","296,175","312,080","601,691","292,989","308,702","6,564","3,186","3,378",-,-,2.37,"76,032"
2018,강서구,"258,503","603,611","293,289","310,322","596,949","290,079","306,870","6,662","3,210","3,452",-,-,2.31,"79,660"
2019,강서구,"262,708","598,273","289,691","308,582","591,796","286,563","305,233","6,477","3,128","3,349",-,-,2.25,"84,077"
