"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,관악구,"177,430","588,638","298,078","290,560",…,…,…,…,…,…,"19,855",29.65,3.32,…
1992,관악구,"181,386","589,655","299,359","290,296","589,171","299,093","290,078",484,266,218,"19,887",29.65,3.25,"20,460"
1993,관악구,"186,324","590,442","299,756","290,686","589,811","299,462","290,349",631,294,337,"19,914",29.65,3.17,"20,861"
1994,관악구,"186,689","578,658","293,796","284,862","577,977","293,459","284,519",681,337,344,"19,569",29.57,3.1,"21,075"
1995,관악구,"183,849","558,462","283,658","274,804","557,653","283,279","274,374",809,379,430,"18,886",29.57,3.04,"20,959"
1996,관악구,"181,947","543,314","275,959","267,355","542,325","275,499","266,826",989,460,529,"18,374",29.57,2.99,"21,093"
1997,관악구,"182,821","534,620","271,830","262,790","533,577","271,337","262,240","1,043",493,550,"18,086",29.56,2.92,"21,748"
1998,관악구,"181,105","526,742","267,808","258,934","525,729","267,308","258,421","1,013",500,513,"17,819",29.56,2.91,"22,637"
1999,관악구,"181,196","518,774","263,927","254,847","517,552","263,353","254,199","1,222",574,648,"17,550",29.56,2.86,"23,496"
2000,관악구,"186,734","525,926","267,989","257,937","524,404","267,272","257,132","1,522",717,805,"17,786",29.57,2.81,"25,208"
2001,관악구,"192,531","529,741","270,515","259,226","527,764","269,604","258,160","1,977",911,"1,066","17,915",29.57,2.74,"26,697"
2002,관악구,"197,578","524,560","267,856","256,704","522,207","266,951","255,256","2,353",905,"1,448","17,740",29.57,2.64,"28,096"
2003,관악구,"206,087","526,971","268,960","258,011","522,456","266,908","255,548","4,515","2,052","2,463","17,821",29.57,2.56,"30,187"
2004,관악구,"214,261","535,688","272,997","262,691","530,156","270,391","259,765","5,532","2,606","2,926","18,116",29.57,2.5,"32,830"
2005,관악구,"220,879","537,235","273,470","263,765","530,020","270,064","259,956","7,215","3,406","3,809","18,168",29.57,2.43,"35,252"
2006,관악구,"230,093","545,995","277,400","268,595","535,217","272,339","262,878","10,778","5,061","5,717","18,463",29.57,2.37,"38,358"
2007,관악구,"236,544","550,766","279,947","270,819","535,571","272,618","262,953","15,195","7,329","7,866","18,626",29.57,2.33,"42,214"
2008,관악구,"241,511","551,873","279,975","271,898","534,556","271,762","262,794","17,317","8,213","9,104","18,664",29.57,2.21,"44,843"
2009,관악구,"241,873","547,311","277,269","270,042","529,869","269,023","260,846","17,442","8,246","9,196","18,510",29.57,2.19,"47,311"
2010,관악구,"247,588","549,736","278,445","271,291","531,434","269,783","261,651","18,302","8,662","9,640","18,592",29.57,2.15,"50,663"
2011,관악구,"246,979","546,350","276,675","269,675","526,397","267,145","259,252","19,953","9,530","10,423","18,478",29.57,2.13,"53,022"
2012,관악구,"247,598","540,520","273,640","266,880","523,029","265,281","257,748","17,491","8,359","9,132","18,280",29.57,2.11,"56,620"
2013,관악구,"248,006","535,128","270,512","264,616","518,028","262,248","255,780","17,100","8,264","8,836","18,097",29.57,2.09,"59,705"
2014,관악구,"248,180","531,960","268,683","263,277","513,186","259,631","253,555","18,774","9,052","9,722","17,990",29.57,2.07,"62,577"
2015,관악구,"249,191","529,031","266,773","262,258","509,663","257,491","252,172","19,368","9,282","10,086",-,-,2.05,"64,985"
2016,관악구,"251,955","525,607","265,034","260,573","506,851","256,143","250,708","18,756","8,891","9,865",-,-,2.01,"66,952"
2017,관악구,"255,352","520,929","262,006","258,923","503,297","253,661","249,636","17,632","8,345","9,287",-,-,1.97,"70,046"
2018,관악구,"262,222","520,040","260,742","259,298","501,957","252,160","249,797","18,083","8,582","9,501",-,-,1.91,"72,249"
2019,관악구,"268,559","517,334","259,194","258,140","500,094","251,009","249,085","17,240","8,185","9,055",-,-,1.86,"75,194"
