"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1995,금천구,"94,341","284,609","146,001","138,608","283,089","145,344","137,745","1,520",657,863,"21,759",13.08,3.02,"9,616"
1996,금천구,"92,406","273,867","140,227","133,640","271,718","139,214","132,504","2,149","1,013","1,136","21,067",13,2.96,"9,674"
1997,금천구,"93,448","272,740","139,616","133,124","270,764","138,710","132,054","1,976",906,"1,070","20,964",13.01,2.92,"10,082"
1998,금천구,"91,842","273,712","140,008","133,704","272,276","139,298","132,978","1,436",710,726,"21,055",13,2.98,"10,779"
1999,금천구,"91,493","270,458","138,340","132,118","268,629","137,454","131,175","1,829",886,943,"20,804",13,2.94,"11,299"
2000,금천구,"91,827","268,768","137,672","131,096","266,431","136,559","129,872","2,337","1,113","1,224","20,674",13,2.9,"12,020"
2001,금천구,"91,035","263,061","134,788","128,273","260,476","133,523","126,953","2,585","1,265","1,320","20,235",13,2.86,"12,613"
2002,금천구,"93,056","264,004","135,105","128,899","261,413","133,805","127,608","2,591","1,300","1,291","20,308",13,2.81,"13,563"
2003,금천구,"95,608","267,355","136,807","130,548","261,224","133,379","127,845","6,131","3,428","2,703","20,561",13,2.8,"14,690"
2004,금천구,"96,632","266,047","135,963","130,084","259,633","132,390","127,243","6,414","3,573","2,841","20,456",13.01,2.75,"15,919"
2005,금천구,"98,179","263,936","134,619","129,317","256,902","130,883","126,019","7,034","3,736","3,298","20,279",13.02,2.69,"17,153"
2006,금천구,"99,193","263,989","134,694","129,295","253,243","129,041","124,202","10,746","5,653","5,093","20,287",13.01,2.66,"18,508"
2007,금천구,"99,299","264,323","135,135","129,188","249,108","126,977","122,131","15,215","8,158","7,057","20,317",13.01,2.66,"20,353"
2008,금천구,"100,138","265,244","135,337","129,907","247,320","125,931","121,389","17,924","9,406","8,518","20,396",13.01,2.47,"21,649"
2009,금천구,"100,285","263,116","134,341","128,775","244,835","124,836","119,999","18,281","9,505","8,776","20,240",13,2.44,"22,695"
2010,금천구,"103,412","264,544","135,717","128,827","245,195","125,528","119,667","19,349","10,189","9,160","20,350",13,2.37,"23,995"
2011,금천구,"103,600","264,256","135,604","128,652","243,438","124,665","118,773","20,818","10,939","9,879","20,326",13,2.35,"25,089"
2012,금천구,"104,357","260,734","133,834","126,900","243,288","124,675","118,613","17,446","9,159","8,287","20,055",13,2.33,"26,848"
2013,금천구,"104,179","258,254","132,742","125,512","241,020","123,462","117,558","17,234","9,280","7,954","19,840",13.02,2.31,"28,310"
2014,금천구,"103,940","258,030","132,476","125,554","238,463","121,878","116,585","19,567","10,598","8,969","19,818",13.02,2.29,"29,553"
2015,금천구,"103,847","256,167","131,346","124,821","236,284","120,604","115,680","19,883","10,742","9,141",-,-,2.28,"31,070"
2016,금천구,"104,483","254,654","130,429","124,225","235,386","119,885","115,501","19,268","10,544","8,724",-,-,2.25,"32,279"
2017,금천구,"106,066","253,491","129,775","123,716","235,154","119,497","115,657","18,337","10,278","8,059",-,-,2.22,"34,170"
2018,금천구,"107,971","254,021","130,398","123,623","233,917","118,915","115,002","20,104","11,483","8,621",-,-,2.17,"35,739"
2019,금천구,"110,622","251,820","128,954","122,866","232,810","118,209","114,601","19,010","10,745","8,265",-,-,2.1,"37,660"
