"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,성동구,"244,272","789,014","401,375","387,639",…,…,…,…,…,…,"23,273",33.9,3.23,…
1992,성동구,"244,888","780,526","397,121","383,405","778,385","395,977","382,408","2,141","1,144",997,"22,991",33.95,3.19,"28,493"
1993,성동구,"245,399","767,976","390,698","377,278","765,944","389,602","376,342","2,032","1,096",936,"22,627",33.94,3.13,"28,993"
1994,성동구,"244,808","753,072","382,753","370,319","750,814","381,520","369,294","2,258","1,233","1,025","22,221",33.89,3.08,"29,570"
1995,성동구,"113,262","342,648","174,128","168,520","341,582","173,541","168,041","1,066",587,479,"20,347",16.84,3.03,"15,036"
1996,성동구,"110,970","331,206","168,073","163,133","329,914","167,374","162,540","1,292",699,593,"19,668",16.84,2.98,"15,102"
1997,성동구,"111,887","326,026","165,350","160,676","324,615","164,551","160,064","1,411",799,612,"19,360",16.84,2.91,"15,756"
1998,성동구,"110,157","323,230","163,630","159,600","321,945","162,866","159,079","1,285",764,521,"19,194",16.84,2.93,"16,448"
1999,성동구,"117,701","340,704","172,208","168,496","339,175","171,322","167,853","1,529",886,643,"20,232",16.84,2.88,"18,142"
2000,성동구,"119,842","342,508","173,244","169,264","340,790","172,246","168,544","1,718",998,720,"20,339",16.84,2.84,"19,155"
2001,성동구,"121,565","343,471","173,713","169,758","341,375","172,553","168,822","2,096","1,160",936,"20,396",16.84,2.81,"20,345"
2002,성동구,"123,394","343,018","173,092","169,926","340,773","171,866","168,907","2,245","1,226","1,019","20,357",16.85,2.76,"21,473"
2003,성동구,"126,592","343,929","173,182","170,747","339,368","170,817","168,551","4,561","2,365","2,196","20,416",16.85,2.72,"22,803"
2004,성동구,"128,964","343,992","173,076","170,916","339,113","170,565","168,548","4,879","2,511","2,368","20,419",16.85,2.67,"24,423"
2005,성동구,"131,725","342,691","171,858","170,833","337,744","169,346","168,398","4,947","2,512","2,435","20,341",16.85,2.6,"25,904"
2006,성동구,"133,864","340,895","170,965","169,930","334,437","167,763","166,674","6,458","3,202","3,256","20,234",16.85,2.55,"27,412"
2007,성동구,"135,655","341,620","171,404","170,216","333,535","167,424","166,111","8,085","3,980","4,105","20,274",16.85,2.52,"29,691"
2008,성동구,"128,658","322,679","161,744","160,935","314,212","157,602","156,610","8,467","4,142","4,325","19,151",16.85,2.44,"29,525"
2009,성동구,"126,670","316,064","158,203","157,861","308,058","154,333","153,725","8,006","3,870","4,136","18,759",16.85,2.43,"30,300"
2010,성동구,"129,644","316,892","158,771","158,121","309,093","155,067","154,026","7,799","3,704","4,095","18,808",16.85,2.38,"32,094"
2011,성동구,"126,148","308,767","154,511","154,256","300,711","150,655","150,056","8,056","3,856","4,200","18,325",16.85,2.38,"32,767"
2012,성동구,"125,848","306,868","153,272","153,596","299,604","149,832","149,772","7,264","3,440","3,824","18,214",16.85,2.38,"34,180"
2013,성동구,"126,447","306,571","152,809","153,762","299,337","149,304","150,033","7,234","3,505","3,729","18,190",16.85,2.37,"35,421"
2014,성동구,"125,814","303,891","151,149","152,742","296,086","147,363","148,723","7,805","3,786","4,019","18,035",16.85,2.35,"36,684"
2015,성동구,"126,714","305,065","151,459","153,606","297,003","147,570","149,433","8,062","3,889","4,173",-,-,2.34,"38,164"
2016,성동구,"128,727","307,161","152,006","155,155","299,259","148,326","150,933","7,902","3,680","4,222",-,-,2.32,"39,262"
2017,성동구,"132,902","312,711","154,077","158,634","304,808","150,368","154,440","7,903","3,709","4,194",-,-,2.29,"41,273"
2018,성동구,"137,209","316,463","155,091","161,372","308,221","151,359","156,862","8,242","3,732","4,510",-,-,2.25,"42,767"
2019,성동구,"135,838","308,979","150,861","158,118","300,889","147,273","153,616","8,090","3,588","4,502",-,-,2.22,"43,947"
