"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,양천구,"150,598","508,001","255,927","252,074",…,…,…,…,…,…,"28,921",17.57,3.37,…
1992,양천구,"150,749","508,096","255,938","252,158","507,141","255,440","251,701",955,498,457,"28,918",17.57,3.37,"18,625"
1993,양천구,"150,976","499,848","252,251","247,597","498,727","251,684","247,043","1,121",567,554,"28,449",17.57,3.31,"18,572"
1994,양천구,"151,076","492,449","248,530","243,919","491,279","247,922","243,357","1,170",608,562,"28,302",17.4,3.26,"18,702"
1995,양천구,"150,868","487,130","245,734","241,396","485,777","245,022","240,755","1,353",712,641,"27,996",17.4,3.23,"19,038"
1996,양천구,"151,955","486,839","245,520","241,319","485,497","244,806","240,691","1,342",714,628,"27,963",17.41,3.2,"19,569"
1997,양천구,"153,792","485,914","245,073","240,841","484,538","244,360","240,178","1,376",713,663,"27,926",17.4,3.16,"20,381"
1998,양천구,"152,339","484,907","244,244","240,663","483,674","243,631","240,043","1,233",613,620,"27,852",17.41,3.18,"21,131"
1999,양천구,"152,133","481,622","242,592","239,030","480,313","241,943","238,370","1,309",649,660,"27,664",17.41,3.16,"21,811"
2000,양천구,"155,521","488,282","246,010","242,272","486,781","245,288","241,493","1,501",722,779,"28,062",17.4,3.13,"23,155"
2001,양천구,"156,180","486,095","244,793","241,302","484,345","243,971","240,374","1,750",822,928,"27,936",17.4,3.1,"24,076"
2002,양천구,"158,639","486,350","244,649","241,701","484,518","243,807","240,711","1,832",842,990,"27,951",17.4,3.05,"24,898"
2003,양천구,"163,755","489,257","245,379","243,878","486,962","244,369","242,593","2,295","1,010","1,285","28,118",17.4,2.99,"26,211"
2004,양천구,"169,326","497,642","249,311","248,331","495,098","248,169","246,929","2,544","1,142","1,402","28,600",17.4,2.94,"28,170"
2005,양천구,"174,368","502,788","251,369","251,419","499,755","250,040","249,715","3,033","1,329","1,704","28,890",17.4,2.88,"29,840"
2006,양천구,"178,984","505,606","252,271","253,335","501,717","250,479","251,238","3,889","1,792","2,097","29,051",17.4,2.82,"31,600"
2007,양천구,"181,977","508,566","253,616","254,950","503,650","251,355","252,295","4,916","2,261","2,655","29,228",17.4,2.79,"33,961"
2008,양천구,"183,002","507,899","253,061","254,838","502,343","250,516","251,827","5,556","2,545","3,011","29,183",17.4,2.75,"35,573"
2009,양천구,"182,363","506,684","251,971","254,713","501,395","249,567","251,828","5,289","2,404","2,885","29,104",17.41,2.75,"37,132"
2010,양천구,"183,718","505,223","251,368","253,855","500,001","249,024","250,977","5,222","2,344","2,878","29,020",17.41,2.72,"39,067"
2011,양천구,"182,677","505,605","251,346","254,259","500,210","248,927","251,283","5,395","2,419","2,976","29,049",17.41,2.74,"41,110"
2012,양천구,"181,135","500,533","248,683","251,850","495,911","246,637","249,274","4,622","2,046","2,576","28,769",17.4,2.74,"43,514"
2013,양천구,"180,443","496,934","246,723","250,211","492,528","244,742","247,786","4,406","1,981","2,425","28,554",17.4,2.73,"46,026"
2014,양천구,"179,069","490,708","243,091","247,617","486,221","241,020","245,201","4,487","2,071","2,416","28,202",17.4,2.72,"48,175"
2015,양천구,"179,512","489,010","242,074","246,936","484,532","239,995","244,537","4,478","2,079","2,399",-,-,2.7,"50,398"
2016,양천구,"177,434","481,845","238,163","243,682","477,739","236,290","241,449","4,106","1,873","2,233",-,-,2.69,"52,063"
2017,양천구,"176,649","475,018","234,279","240,739","471,154","232,518","238,636","3,864","1,761","2,103",-,-,2.67,"55,234"
2018,양천구,"176,498","468,145","230,457","237,688","464,185","228,634","235,551","3,960","1,823","2,137",-,-,2.63,"58,045"
2019,양천구,"177,256","462,285","227,019","235,266","458,165","225,186","232,979","4,120","1,833","2,287",-,-,2.58,"61,264"
