"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,은평구,"147,331","495,530","245,477","250,053",…,…,…,…,…,…,"16,699",29.67,3.36,…
1992,은평구,"153,700","507,551","251,514","256,037","506,694","251,084","255,610",857,430,427,"17,107",29.67,3.3,"20,672"
1993,은평구,"157,781","512,196","253,810","258,386","511,461","253,436","258,025",735,374,361,"17,257",29.68,3.25,"21,266"
1994,은평구,"161,212","511,788","253,362","258,426","510,944","252,938","258,006",844,424,420,"17,261",29.65,3.17,"21,674"
1995,은평구,"161,512","503,272","249,383","253,889","502,310","248,884","253,426",962,499,463,"16,939",29.71,3.12,"22,036"
1996,은평구,"162,474","498,532","247,166","251,366","497,417","246,605","250,812","1,115",561,554,"16,780",29.71,3.07,"22,668"
1997,은평구,"163,671","491,677","243,817","247,860","490,500","243,235","247,265","1,177",582,595,"16,555",29.7,3,"23,607"
1998,은평구,"159,865","480,974","238,713","242,261","479,841","238,157","241,684","1,133",556,577,"16,184",29.72,3.01,"24,667"
1999,은평구,"158,681","473,716","235,465","238,251","472,464","234,867","237,597","1,252",598,654,"15,939",29.72,2.98,"25,967"
2000,은평구,"158,856","470,747","234,001","236,746","469,417","233,400","236,017","1,330",601,729,"15,839",29.72,2.95,"27,282"
2001,은평구,"160,274","469,242","233,493","235,749","467,719","232,828","234,891","1,523",665,858,"15,789",29.72,2.92,"28,984"
2002,은평구,"164,981","471,873","234,603","237,270","470,205","233,910","236,295","1,668",693,975,"15,877",29.72,2.85,"30,841"
2003,은평구,"172,761","476,843","236,811","240,032","474,778","235,970","238,808","2,065",841,"1,224","16,047",29.72,2.76,"33,084"
2004,은평구,"177,305","480,320","238,149","242,171","478,087","237,265","240,822","2,233",884,"1,349","16,164",29.71,2.71,"35,800"
2005,은평구,"178,816","473,456","234,477","238,979","470,751","233,418","237,333","2,705","1,059","1,646","15,934",29.71,2.65,"37,760"
2006,은평구,"180,503","467,940","231,462","236,478","464,580","230,143","234,437","3,360","1,319","2,041","15,750",29.71,2.59,"40,148"
2007,은평구,"181,551","463,473","229,054","234,419","459,196","227,286","231,910","4,277","1,768","2,509","15,600",29.71,2.55,"43,414"
2008,은평구,"182,762","463,364","228,740","234,624","458,401","226,636","231,765","4,963","2,104","2,859","15,607",29.69,2.51,"46,002"
2009,은평구,"185,701","470,782","231,849","238,933","465,895","229,728","236,167","4,887","2,121","2,766","15,855",29.69,2.51,"48,979"
2010,은평구,"196,390","492,925","242,564","250,361","488,109","240,536","247,573","4,816","2,028","2,788","16,601",29.69,2.49,"53,779"
2011,은평구,"197,582","498,350","244,730","253,620","493,634","242,779","250,855","4,716","1,951","2,765","16,782",29.69,2.5,"56,595"
2012,은평구,"200,502","505,902","248,150","257,752","501,480","246,318","255,162","4,422","1,832","2,590","17,035",29.7,2.5,"60,776"
2013,은평구,"202,487","508,111","248,722","259,389","503,660","246,858","256,802","4,451","1,864","2,587","17,107",29.7,2.49,"64,328"
2014,은평구,"202,187","503,243","245,946","257,297","498,644","243,977","254,667","4,599","1,969","2,630","16,944",29.7,2.47,"67,002"
2015,은평구,"203,410","502,578","244,964","257,614","497,920","242,975","254,945","4,658","1,989","2,669",-,-,2.45,"69,753"
2016,은평구,"201,891","495,937","241,048","254,889","491,476","239,183","252,293","4,461","1,865","2,596",-,-,2.43,"71,457"
2017,은평구,"202,839","491,202","238,223","252,979","486,794","236,353","250,441","4,408","1,870","2,538",-,-,2.4,"74,559"
2018,은평구,"205,001","487,666","235,600","252,066","483,197","233,702","249,495","4,469","1,898","2,571",-,-,2.36,"77,420"
2019,은평구,"207,681","484,546","233,360","251,186","480,032","231,528","248,504","4,514","1,832","2,682",-,-,2.31,"80,738"
