"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,중랑구,"132,908","450,728","227,075","223,653",…,…,…,…,…,…,"24,866",18.13,3.39,…
1992,중랑구,"136,876","458,391","230,937","227,454","458,109","230,799","227,310",282,138,144,"25,284",18.13,3.35,"15,849"
1993,중랑구,"140,153","460,157","232,055","228,102","459,818","231,890","227,928",339,165,174,"25,381",18.13,3.28,"16,205"
1994,중랑구,"141,855","457,749","230,709","227,040","457,347","230,522","226,825",402,187,215,"24,716",18.52,3.23,"16,539"
1995,중랑구,"142,869","454,951","229,048","225,903","454,534","228,850","225,684",417,198,219,"24,565",18.52,3.18,"17,130"
1996,중랑구,"152,349","478,390","240,512","237,878","477,850","240,260","237,590",540,252,288,"25,817",18.53,3.14,"18,694"
1997,중랑구,"154,699","475,662","239,097","236,565","475,089","238,830","236,259",573,267,306,"25,698",18.51,3.07,"19,512"
1998,중랑구,"152,846","467,538","234,830","232,708","467,001","234,583","232,418",537,247,290,"25,259",18.51,3.06,"20,344"
1999,중랑구,"152,485","462,434","232,430","230,004","461,737","232,135","229,602",697,295,402,"24,983",18.51,3.03,"21,227"
2000,중랑구,"153,386","459,255","231,171","228,084","458,440","230,852","227,588",815,319,496,"24,811",18.51,2.99,"22,469"
2001,중랑구,"152,708","449,965","226,046","223,919","448,928","225,653","223,275","1,037",393,644,"24,322",18.5,2.94,"23,493"
2002,중랑구,"154,085","443,246","222,571","220,675","442,125","222,179","219,946","1,121",392,729,"23,959",18.5,2.87,"24,470"
2003,중랑구,"156,511","438,011","219,652","218,359","436,089","218,949","217,140","1,922",703,"1,219","23,672",18.5,2.8,"25,819"
2004,중랑구,"158,283","436,063","218,049","218,014","433,858","217,271","216,587","2,205",778,"1,427","23,567",18.5,2.75,"27,793"
2005,중랑구,"159,674","429,922","214,675","215,247","427,373","213,775","213,598","2,549",900,"1,649","23,236",18.5,2.69,"29,434"
2006,중랑구,"163,509","429,404","214,111","215,293","426,078","212,918","213,160","3,326","1,193","2,133","23,211",18.5,2.63,"31,992"
2007,중랑구,"167,665","431,406","215,356","216,050","427,071","213,662","213,409","4,335","1,694","2,641","23,319",18.5,2.57,"34,951"
2008,중랑구,"171,183","432,845","216,344","216,501","427,871","214,351","213,520","4,974","1,993","2,981","23,399",18.5,2.5,"37,180"
2009,중랑구,"171,448","429,700","214,546","215,154","424,761","212,576","212,185","4,939","1,970","2,969","23,232",18.5,2.48,"39,191"
2010,중랑구,"176,096","432,302","216,255","216,047","427,455","214,383","213,072","4,847","1,872","2,975","23,373",18.5,2.43,"41,887"
2011,중랑구,"175,115","428,672","214,258","214,414","423,706","212,291","211,415","4,966","1,967","2,999","23,175",18.5,2.42,"43,745"
2012,중랑구,"174,313","423,655","211,708","211,947","419,295","210,043","209,252","4,360","1,665","2,695","22,904",18.5,2.41,"46,476"
2013,중랑구,"174,938","421,237","210,390","210,847","416,798","208,641","208,157","4,439","1,749","2,690","22,773",18.5,2.38,"48,998"
2014,중랑구,"176,714","423,411","211,178","212,233","418,836","209,323","209,513","4,575","1,855","2,720","22,887",18.5,2.37,"51,995"
2015,중랑구,"176,390","418,620","208,393","210,227","413,909","206,505","207,404","4,711","1,888","2,823",-,-,2.35,"54,095"
2016,중랑구,"177,400","415,677","206,772","208,905","411,005","204,900","206,105","4,672","1,872","2,800",-,-,2.32,"55,914"
2017,중랑구,"179,132","412,780","205,125","207,655","408,226","203,325","204,901","4,554","1,800","2,754",-,-,2.28,"59,262"
2018,중랑구,"180,511","408,147","202,448","205,699","403,209","200,419","202,790","4,938","2,029","2,909",-,-,2.23,"61,830"
2019,중랑구,"181,579","402,024","199,006","203,018","397,015","196,959","200,056","5,009","2,047","2,962",-,-,2.19,"65,164"
