"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
2003,합계,"21,089,844","15,713,964","5,375,880","22,918,734","17,359,178","5,559,556","17,909,422","13,727,413","4,182,009"
2003,본청,"15,323,872","10,591,389","4,732,483","16,845,100","11,924,702","4,920,398","13,618,643","9,681,242","3,937,401"
2003,자치구,"5,765,972","5,122,575","643,397","6,073,634","5,434,476","639,158","4,290,779","4,046,171","244,608"
2003,종로구,"224,622","194,600","30,022","234,600","202,852","31,748","151,919","147,257","4,662"
2003,중구,"220,169","192,310","27,859","235,976","207,829","28,147","152,602","142,170","10,432"
2003,용산구,"216,550","190,407","26,143","228,738","201,293","27,445","150,311","143,690","6,621"
2003,성동구,"219,904","196,300","23,604","221,528","198,108","23,420","185,659","169,282","16,377"
2003,광진구,"187,331","170,371","16,960","206,150","187,096","19,054","162,246","151,321","10,925"
2003,동대문구,"271,968","225,896","46,072","277,475","234,760","42,715","168,961","158,132","10,829"
2003,중랑구,"187,285","169,440","17,845","212,713","195,831","16,882","151,599","142,901","8,698"
2003,성북구,"255,846","242,805","13,041","272,797","259,416","13,381","207,834","200,252","7,582"
2003,강북구,"219,510","199,322","20,188","224,452","204,153","20,299","153,732","148,999","4,733"
2003,도봉구,"197,238","188,022","9,216","201,946","193,750","8,196","141,403","136,666","4,737"
2003,노원구,"279,171","256,346","22,825","284,876","262,932","21,944","201,891","197,101","4,790"
2003,은평구,"225,555","212,690","12,865","231,675","218,966","12,709","162,483","153,549","8,934"
2003,서대문구,"194,658","180,695","13,963","220,726","204,668","16,058","152,601","144,700","7,901"
2003,마포구,"252,758","215,633","37,125","263,741","227,401","36,340","180,221","171,841","8,380"
2003,양천구,"209,994","189,103","20,891","237,128","214,953","22,175","153,206","148,118","5,088"
2003,강서구,"271,503","251,611","19,892","280,592","260,843","19,749","210,018","197,175","12,843"
2003,구로구,"212,407","191,721","20,686","214,914","196,590","18,324","169,868","156,203","13,665"
2003,금천구,"172,926","155,558","17,368","177,125","159,724","17,401","127,210","119,992","7,218"
2003,영등포구,"244,414","204,032","40,382","252,329","211,879","40,450","164,615","152,784","11,831"
2003,동작구,"183,577","169,993","13,584","221,000","207,375","13,625","141,270","137,094","4,176"
2003,관악구,"227,828","203,040","24,788","231,476","207,475","24,001","176,550","169,248","7,302"
2003,서초구,"240,390","183,177","57,213","264,752","207,926","56,826","161,976","143,988","17,988"
2003,강남구,"363,093","315,634","47,459","369,617","324,612","45,005","301,974","276,300","25,674"
2003,송파구,"250,217","225,191","25,026","260,392","236,799","23,593","185,440","172,417","13,023"
2003,강동구,"237,058","198,678","38,380","246,916","207,245","39,671","175,190","164,991","10,199"
