"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,강서구,"145,139","122,363","22,776","147,699","129,820","17,879","107,777","95,383","12,394"
1997,강서구,"157,382","139,460","17,922","158,528","141,725","16,803","119,996","110,437","9,559"
1998,강서구,"154,471","134,046","20,425","154,790","133,774","21,016","128,628","117,237","11,391"
1999,강서구,"165,339","135,488","29,851","174,326","143,616","30,710","133,244","114,248","18,996"
2000,강서구,"203,333","169,133","34,200","212,030","177,570","34,460","159,869","136,445","23,424"
2001,강서구,"232,718","185,339","47,379","242,491","194,680","47,811","184,118","149,366","34,752"
2002,강서구,"225,320","201,788","23,532","233,210","209,804","23,406","182,518","163,796","18,722"
2003,강서구,"271,503","251,611","19,892","280,592","260,843","19,749","210,018","197,175","12,843"
2004,강서구,"301,901","282,121","19,780","310,027","291,385","18,642","236,740","226,662","10,078"
2005,강서구,"300,572","281,642","18,930","306,572","289,362","17,210","246,286","233,638","12,648"
2006,강서구,"305,660","290,042","15,618","307,980","294,662","13,318","264,934","252,953","11,981"
2007,강서구,"328,758","312,682","16,076","347,710","330,619","17,091","295,296","284,965","10,331"
2008,강서구,"384,911","360,803","24,108","401,737","376,664","25,073","323,162","309,004","14,158"
2009,강서구,"511,631","469,174","42,457","510,634","466,813","43,821","349,214","329,751","19,463"
2010,강서구,"478,722","438,796","39,926","466,219","426,538","39,681","409,221","391,391","17,830"
2011,강서구,"468,853","424,075","44,778","477,992","430,486","47,506","412,581","386,323","26,258"
2012,강서구,"515,840","474,593","41,247","510,901","470,613","40,288","455,856","425,339","30,517"
2013,강서구,"542,365","520,802","21,563","533,186","511,569","21,617","488,217","469,957","18,260"
2014,강서구,"572,790","559,206","13,584","580,283","565,180","15,102","527,942","517,303","10,640"
2015,강서구,"639,639","625,093","14,547","647,214","630,439","16,775","589,319","578,386","10,932"
2016,강서구,"702,742","683,935","18,807","725,428","705,985","19,444","637,512","625,471","12,042"
2017,강서구,"820,026","800,472","19,554","832,564","811,984","20,580","701,024","687,984","13,040"
2018,강서구,"916,322","896,264","20,058","938,453","916,987","21,466","777,674","761,165","16,510"
2019,강서구,"1,072,060","1,052,243","19,817","1,094,382","1,072,495","21,887","925,288","909,391","15,897"
