"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,관악구,"129,152","116,978","12,174","133,209","119,096","14,113","95,669","91,035","4,634"
1997,관악구,"152,199","136,225","15,974","163,134","145,577","17,557","125,239","115,587","9,652"
1998,관악구,"149,492","135,267","14,225","150,595","136,126","14,469","121,926","114,540","7,386"
1999,관악구,"164,358","147,181","17,177","166,181","148,546","17,635","134,140","125,521","8,619"
2000,관악구,"190,925","166,740","24,185","197,026","170,475","26,551","163,003","147,105","15,898"
2001,관악구,"198,121","167,997","30,124","201,861","171,257","30,604","169,291","148,851","20,440"
2002,관악구,"195,739","174,559","21,180","198,383","176,969","21,414","168,258","157,326","10,932"
2003,관악구,"227,828","203,040","24,788","231,476","207,475","24,001","176,550","169,248","7,302"
2004,관악구,"271,824","240,674","31,150","274,891","244,185","30,706","203,896","191,676","12,220"
2005,관악구,"318,749","239,507","79,242","317,984","237,455","80,529","241,003","209,681","31,322"
2006,관악구,"295,789","225,315","70,474","297,208","227,697","69,511","241,207","207,144","34,063"
2007,관악구,"327,127","265,143","61,984","334,997","272,424","62,573","282,413","233,485","48,928"
2008,관악구,"373,239","339,265","33,974","381,461","346,399","35,062","292,654","269,456","23,198"
2009,관악구,"439,941","412,853","27,088","453,965","423,856","30,109","363,571","346,676","16,895"
2010,관악구,"406,989","379,683","27,306","401,376","372,986","28,390","351,670","338,064","13,606"
2011,관악구,"369,488","347,272","22,216","373,855","347,693","26,162","330,974","317,526","13,448"
2012,관악구,"406,134","381,671","24,463","417,194","392,339","24,855","360,473","349,429","11,044"
2013,관악구,"451,739","425,333","26,406","453,509","425,481","28,028","400,323","389,221","11,102"
2014,관악구,"520,770","492,597","28,172","518,433","490,046","28,387","459,232","442,550","16,683"
2015,관악구,"546,452","521,683","24,769","554,894","529,681","25,213","483,421","471,572","11,850"
2016,관악구,"591,498","568,014","23,484","618,343","593,662","24,681","525,377","513,877","11,500"
2017,관악구,"669,134","642,511","26,622","686,142","658,152","27,990","572,576","558,482","14,095"
2018,관악구,"729,688","700,731","28,957","748,480","717,826","30,654","628,958","615,126","13,833"
2019,관악구,"825,655","797,791","27,864","866,258","838,061","28,196","723,660","709,809","13,851"
