"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,금천구,"80,922","76,742","4,180","84,779","80,051","4,728","64,355","62,489","1,866"
1997,금천구,"103,602","97,381","6,221","106,608","99,704","6,904","80,286","77,089","3,197"
1998,금천구,"110,682","103,032","7,650","111,840","103,942","7,898","93,922","89,769","4,153"
1999,금천구,"103,734","93,798","9,936","106,851","96,152","10,699","84,460","76,122","8,338"
2000,금천구,"129,299","118,062","11,237","132,884","121,176","11,708","106,337","96,702","9,635"
2001,금천구,"134,995","120,506","14,489","138,932","123,638","15,294","111,135","97,875","13,260"
2002,금천구,"136,008","126,715","9,293","138,424","128,083","10,341","109,197","105,251","3,946"
2003,금천구,"172,926","155,558","17,368","177,125","159,724","17,401","127,210","119,992","7,218"
2004,금천구,"204,967","187,479","17,488","207,715","190,372","17,343","152,838","144,481","8,357"
2005,금천구,"218,003","201,098","16,905","224,045","207,576","16,469","171,926","162,732","9,194"
2006,금천구,"227,378","213,347","14,031","234,901","221,162","13,739","191,716","182,059","9,657"
2007,금천구,"254,361","243,285","11,076","259,176","246,972","12,204","209,389","203,470","5,919"
2008,금천구,"287,757","274,136","13,621","293,929","279,351","14,578","245,806","238,846","6,960"
2009,금천구,"307,162","294,290","12,872","321,718","308,705","13,013","262,566","256,399","6,167"
2010,금천구,"301,199","285,007","16,192","304,066","287,614","16,452","247,991","236,687","11,304"
2011,금천구,"288,130","276,814","11,316","299,558","288,293","11,265","241,020","236,355","4,665"
2012,금천구,"310,566","298,451","12,115","313,312","300,320","12,992","266,310","260,626","5,684"
2013,금천구,"331,894","319,083","12,812","329,992","316,112","13,879","293,187","285,462","7,725"
2014,금천구,"328,946","313,774","15,172","337,233","321,138","16,095","294,659","286,196","8,463"
2015,금천구,"359,088","345,544","13,544","367,086","352,669","14,417","319,335","312,519","6,815"
2016,금천구,"403,687","389,691","13,996","411,908","397,168","14,740","348,664","343,196","5,469"
2017,금천구,"464,599","448,937","15,661","474,527","458,607","15,920","380,318","372,932","7,386"
2018,금천구,"523,234","508,337","14,897","546,935","532,061","14,875","420,363","414,870","5,493"
2019,금천구,"608,957","590,785","18,172","643,165","624,730","18,435","502,826","495,031","7,796"
