"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,동작구,"115,965","101,568","14,397","118,355","103,187","15,168","88,761","77,103","11,658"
1997,동작구,"139,067","120,483","18,584","148,237","129,345","18,892","109,428","92,828","16,600"
1998,동작구,"143,922","126,281","17,641","144,434","127,420","17,014","116,303","101,923","14,380"
1999,동작구,"136,509","124,291","12,218","143,217","130,691","12,526","107,533","99,668","7,865"
2000,동작구,"159,667","145,020","14,647","165,017","150,071","14,946","116,031","106,435","9,596"
2001,동작구,"180,253","161,324","18,929","187,956","168,055","19,901","138,232","124,156","14,076"
2002,동작구,"171,053","158,641","12,412","182,469","169,937","12,532","137,669","132,696","4,973"
2003,동작구,"183,577","169,993","13,584","221,000","207,375","13,625","141,270","137,094","4,176"
2004,동작구,"235,809","218,155","17,654","271,509","253,749","17,760","183,261","177,227","6,034"
2005,동작구,"261,648","240,968","20,680","281,112","260,295","20,817","202,596","194,090","8,506"
2006,동작구,"276,293","239,677","36,616","278,842","248,297","30,545","226,180","212,790","13,390"
2007,동작구,"268,737","242,813","25,924","303,007","276,223","26,784","221,979","211,526","10,453"
2008,동작구,"331,857","307,588","24,269","344,732","318,006","26,726","262,867","247,721","15,146"
2009,동작구,"360,142","339,458","20,684","380,963","360,000","20,963","307,664","297,108","10,556"
2010,동작구,"341,248","319,125","22,123","346,554","323,461","23,093","290,889","280,830","10,059"
2011,동작구,"327,042","304,338","22,704","319,696","296,522","23,174","281,578","273,187","8,391"
2012,동작구,"347,053","324,528","22,524","338,274","314,912","23,362","302,548","291,094","11,454"
2013,동작구,"381,883","361,917","19,966","364,275","344,233","20,042","336,734","323,984","12,750"
2014,동작구,"398,246","382,197","16,048","382,856","366,079","16,777","357,570","345,273","12,297"
2015,동작구,"440,062","426,611","13,451","458,528","444,062","14,467","387,065","377,443","9,621"
2016,동작구,"521,333","509,177","12,156","541,915","527,877","14,038","446,230","437,091","9,139"
2017,동작구,"555,941","542,829","13,112","581,919","566,975","14,944","489,267","482,075","7,192"
2018,동작구,"615,976","600,741","15,235","648,190","631,646","16,544","526,097","518,691","7,406"
2019,동작구,"695,039","677,895","17,144","733,942","716,407","17,535","600,939","593,139","7,800"
