"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,마포구,"122,159","109,869","12,290","128,266","116,189","12,077","86,612","82,654","3,958"
1997,마포구,"157,651","141,510","16,141","162,247","146,083","16,164","110,421","104,952","5,469"
1998,마포구,"160,752","141,499","19,253","165,208","145,811","19,397","128,238","120,852","7,386"
1999,마포구,"153,482","130,557","22,925","159,891","136,968","22,923","104,480","97,374","7,106"
2000,마포구,"194,396","166,652","27,744","206,376","177,731","28,645","125,973","118,476","7,497"
2001,마포구,"225,494","187,004","38,490","232,763","193,375","39,388","163,784","147,051","16,733"
2002,마포구,"210,384","175,990","34,394","222,096","189,268","32,828","157,627","148,780","8,847"
2003,마포구,"252,758","215,633","37,125","263,741","227,401","36,340","180,221","171,841","8,380"
2004,마포구,"287,847","244,159","43,688","294,806","251,948","42,858","226,941","199,548","27,393"
2005,마포구,"260,262","232,774","27,488","271,857","244,833","27,024","202,853","192,184","10,669"
2006,마포구,"261,133","234,466","26,667","268,450","242,385","26,065","221,338","208,827","12,511"
2007,마포구,"285,402","261,260","24,142","310,144","283,483","26,661","239,919","231,569","8,350"
2008,마포구,"361,765","321,953","39,812","379,442","336,794","42,648","281,785","258,720","23,065"
2009,마포구,"404,221","365,754","38,466","418,009","376,546","41,463","325,037","307,087","17,950"
2010,마포구,"377,212","334,047","43,165","382,123","336,752","45,371","298,294","287,661","10,634"
2011,마포구,"369,814","315,879","53,935","383,023","328,680","54,343","303,014","289,935","13,079"
2012,마포구,"378,486","316,375","62,111","386,184","325,140","61,044","306,049","293,249","12,800"
2013,마포구,"436,512","370,036","66,476","444,083","376,479","67,604","347,872","333,489","14,383"
2014,마포구,"486,396","414,370","72,027","494,050","420,861","73,189","399,305","370,879","28,426"
2015,마포구,"519,092","448,850","70,242","543,458","473,262","70,197","427,615","411,311","16,304"
2016,마포구,"572,364","490,710","81,654","593,941","510,397","83,544","466,066","441,532","24,534"
2017,마포구,"620,245","533,265","86,979","655,827","565,745","90,082","494,098","471,923","22,175"
2018,마포구,"679,344","588,498","90,846","701,909","608,721","93,187","529,466","506,562","22,903"
2019,마포구,"753,052","655,814","97,238","785,912","686,432","99,480","609,457","580,893","28,564"
